actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
59,PT07M49.00S,2020-07-29T00:12:28.3Z,1,REGULAR,rebound,defensive,[],200782,,,1610612745,7,13,2020-07-29T00:14:01Z,590000,,,0,,P. Tucker REBOUND (Off:0 Def:3),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,58.0,3.0,3.0,0.0,,,,,,,,,,
60,PT07M45.00S,2020-07-29T00:14:04.2Z,1,REGULAR,2pt,jumpshot,"['fastbreak', 'pointsinthepaint']",201566,81.553876478318,62.56893382352941,1610612745,9,13,2020-07-29T00:14:17Z,600000,63.0,121.0,1,right,R. Westbrook 14' jumpshot (2 PTS),[201566],1610612745.0,HOU,pullup,,,Westbrook,R. Westbrook,,,,,14.11,Made,2.0,,,,,,,,,,,,,,,,,
61,PT07M31.00S,2020-07-29T00:14:23.6Z,1,REGULAR,foul,personal,[],203496,,,1610612738,9,13,2020-07-29T00:14:28Z,610000,,,0,,R. Covington FOUL personal (1 PF),"[203496, 1629057]",1610612745.0,HOU,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,202037.0,1.0,0.0,Williams III,1629057.0,,
63,PT07M27.00S,2020-07-29T00:14:40.6Z,1,REGULAR,3pt,jumpshot,[],202954,27.54599211563732,19.921875,1610612738,9,13,2020-07-29T00:14:45Z,630000,150.0,206.0,1,left,MISS B. Wanamaker 26' 3PT,[202954],1610612738.0,BOS,stepback,,,Wanamaker,B. Wanamaker,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,
64,PT07M24.00S,2020-07-29T00:14:43.6Z,1,REGULAR,rebound,defensive,[],201566,,,1610612745,9,13,2020-07-29T00:14:45Z,640000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,
65,PT07M20.00S,2020-07-29T00:14:47.7Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203496,82.07950065703022,91.98069852941177,1610612745,12,13,2020-07-29T00:15:34Z,650000,210.0,116.0,1,right,R. Covington 24' 3PT  (3 PTS) (R. Westbrook 2 AST),"[203496, 201566]",1610612745.0,HOU,,,,Covington,R. Covington,,,,,24.25,Made,3.0,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,,
67,PT07M03.00S,2020-07-29T00:15:07.6Z,1,REGULAR,turnover,lostball,[],202954,,,1610612738,12,13,2020-07-29T00:15:18Z,670000,,,0,,B. Wanamaker TURNOVER lostball (1 TOV) Stolen,"[202954, 201566]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,1.0,Westbrook,201566.0,,,,,,,
68,PT07M03.00S,2020-07-29T00:15:07.6Z,1,REGULAR,steal,,[],201566,,,1610612745,12,13,2020-07-29T00:16:07Z,680000,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M03.00S,2020-07-29T00:15:16.3Z,1,REGULAR,foul,personal,[],1629057,,,1610612745,12,13,2020-07-29T00:15:26Z,690000,,,0,,R. Williams III FOUL personal (2 PF),"[1629057, 201935]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,202037.0,2.0,0.0,Harden,201935.0,,
71,PT06M55.00S,2020-07-29T00:15:50.7Z,1,REGULAR,foul,offensive,[],200782,,,1610612745,12,13,2020-07-29T00:16:25Z,710000,,,0,,P. Tucker FOUL offensive (1 PF),"[200782, 202954]",1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Wanamaker,202954.0,,
73,PT06M55.00S,2020-07-29T00:15:50.7Z,1,REGULAR,turnover,offensivefoul,[],200782,,,1610612745,12,13,2020-07-29T00:16:25Z,730000,,,0,,P. Tucker TURNOVER offensivefoul (1 TOV),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,1.0,,,204059.0,,,,,,
74,PT06M55.00S,2020-07-29T00:16:36.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,13,2020-07-29T00:16:36Z,740000,,,0,,timeout full,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M55.00S,2020-07-29T00:17:28.4Z,1,REGULAR,substitution,out,[],201566,,,1610612738,12,13,2020-07-29T00:18:07Z,750000,,,0,,substitution out Westbrook,[201566],1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M55.00S,2020-07-29T00:17:28.4Z,1,REGULAR,substitution,out,[],200782,,,1610612738,12,13,2020-07-29T00:18:07Z,760000,,,0,,substitution out Tucker,[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M55.00S,2020-07-29T00:17:28.4Z,1,REGULAR,substitution,out,[],201569,,,1610612738,12,13,2020-07-29T00:18:07Z,770000,,,0,,substitution out Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M55.00S,2020-07-29T00:17:28.4Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,12,13,2020-07-29T00:18:07Z,780000,,,0,,substitution out Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M55.00S,2020-07-29T00:17:28.4Z,1,REGULAR,substitution,in,[],1627863,,,1610612738,12,13,2020-07-29T00:18:07Z,790000,,,0,,substitution in House Jr.,[1627863],1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M55.00S,2020-07-29T00:17:28.4Z,1,REGULAR,substitution,in,[],203463,,,1610612738,12,13,2020-07-29T00:18:07Z,800000,,,0,,substitution in McLemore,[203463],1610612745.0,HOU,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M55.00S,2020-07-29T00:17:28.4Z,1,REGULAR,substitution,in,[],201145,,,1610612738,12,13,2020-07-29T00:18:07Z,810000,,,0,,substitution in Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M55.00S,2020-07-29T00:17:28.4Z,1,REGULAR,substitution,in,[],1629738,,,1610612738,12,13,2020-07-29T00:18:07Z,820000,,,0,,substitution in Poirier,[1629738],1610612738.0,BOS,,,,Poirier,V. Poirier,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M48.00S,2020-07-29T00:18:49.6Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,12,13,2020-07-29T00:18:49Z,830000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M41.00S,2020-07-29T00:19:05.2Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover']",1629738,8.492115637319317,49.333639705882355,1610612738,12,13,2020-07-29T00:19:10Z,840000,3.0,27.0,1,left,MISS V. Poirier dunk Blocked,"[1629738, 203496]",1610612738.0,BOS,cutting,,,Poirier,V. Poirier,,,,,3.3,Missed,,,,,,,,,,,,,,,,,Covington,203496.0
85,PT06M41.00S,2020-07-29T00:19:05.2Z,1,REGULAR,block,,[],203496,,,1610612738,12,13,2020-07-29T00:19:08Z,850000,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612745.0,HOU,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,
