actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,subsInPlayerName,subsInPersonId,blockPlayerName,blockPersonId,blockTotal,value
438,PT04M26.00S,2020-02-23T22:13:59.4Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612747,72,79,2020-02-23T22:14:05Z,4320000,,[LAL] Team defensive rebound,[],1610612747.0,LAL,,,,,,,,,,,,,,,,437.0,,,,,,,,,,,,,,,,,,
439,PT04M26.00S,2020-02-23T22:14:03.6Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612747,72,79,2020-02-23T22:14:10Z,4330000,,[BOS] Williams foul personal (2 PF) (Davis inpenalty),"[1629684, 203076]",1610612738.0,BOS,looseball,,,Williams,G. Williams,,,,,,,,,,,,,,,2529.0,2.0,0.0,Davis,203076.0,,,,,,,,,,
441,PT04M26.00S,2020-02-23T22:14:43.6Z,3,REGULAR,freethrow,1of2,[],203076,,,1610612747,73,79,2020-02-23T22:14:43Z,4350000,,[LAL] Davis freethrow 1of2: Made (18 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,: Made,18.0,,,,,,,,,,,,,,,,,,,,,,
442,PT04M26.00S,2020-02-23T22:15:01.3Z,3,REGULAR,freethrow,2of2,[],203076,,,1610612747,74,79,2020-02-23T22:15:01Z,4360000,,[LAL] Davis freethrow 2of2: Made (19 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,: Made,19.0,,,,,,,,,,,,,,,,,,,,,,
443,PT04M12.00S,2020-02-23T22:15:18.0Z,3,REGULAR,turnover,lostball,[],1628369,,,1610612738,74,79,2020-02-23T22:15:21Z,4370000,,[BOS] Tatum lostball turnover (1 TO) Steal: Bradley (1 STL),"[1628369, 202340]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,1.0,Bradley,202340.0,1.0,,,,,,
445,PT04M07.00S,2020-02-23T22:15:23.8Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629641,,,1610612747,74,79,2020-02-23T22:15:32Z,4390000,,[BOS] Langford foul personal (1 PF) (Kuzma inpenalty),"[1629641, 1628398]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,,,,,,,,,,,203592.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,
447,PT04M07.00S,2020-02-23T22:15:56.5Z,3,REGULAR,freethrow,1of2,"['fromturnover', 'fastbreak']",1628398,,,1610612747,74,79,2020-02-23T22:15:56Z,4410000,,[LAL] Kuzma freethrow 1of2: Missed,[1628398],1610612747.0,LAL,,,,Kuzma,K. Kuzma,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
448,PT04M07.00S,2020-02-23T22:15:56.5Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,74,79,2020-02-23T22:15:56Z,4420000,,[LAL] Team offensive rebound,[],1610612747.0,LAL,,,,,,,,,,,,,,,,447.0,,,,,,,,,,,,,,,,,,
449,PT04M07.00S,2020-02-23T22:16:14.5Z,3,REGULAR,freethrow,2of2,"['fastbreak', 'fromturnover']",1628398,,,1610612747,75,79,2020-02-23T22:16:14Z,4430000,,[LAL] Kuzma freethrow 2of2: Made (12 PTS),[1628398],1610612747.0,LAL,,,,Kuzma,K. Kuzma,,,,,,: Made,12.0,,,,,,,,,,,,,,,,,,,,,,
450,PT03M53.00S,2020-02-23T22:16:32.5Z,3,REGULAR,2pt,jumpshot,[],202954,25.804862023653087,74.9310661764706,1610612738,75,79,2020-02-23T22:16:38Z,4440000,left,[BOS] Wanamaker jumpshot: Missed Block: Davis (2 BLK),"[202954, 203076]",1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,23.2,: Missed,,,,,,,,,,,,,,,,,,,,Davis,203076.0,2.0,
452,PT03M50.00S,2020-02-23T22:16:35.5Z,3,REGULAR,rebound,offensive,[],202954,,,1610612738,75,79,2020-02-23T22:16:38Z,4460000,,[BOS] Wanamaker offensive rebound (Off:1 Def:2),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,450.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
