actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
270,PT03M33.00S,2020-09-18T00:03:56.5Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,56,41,2020-09-18T00:04:16Z,2700000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
271,PT03M33.00S,2020-09-18T00:03:56.5Z,2,REGULAR,substitution,in,[],201609,,,1610612738,56,41,2020-09-18T00:04:16Z,2710000,,,0,,substitution in Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
272,PT03M19.00S,2020-09-18T00:04:25.2Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,80.1084099868594,62.814031862745104,1610612738,58,41,2020-09-18T00:04:31Z,2720000,64.0,134.0,1,right,J. Brown 15' jumpshot (6 PTS) (D. Theis 3 AST),"[1627759, 1628464]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,15.4,Made,6.0,,,,,,,D. Theis,1628464.0,3.0,,,,,,,,
274,PT03M03.00S,2020-09-18T00:04:40.5Z,2,REGULAR,2pt,jumpshot,[],202710,15.588042049934298,27.76501225490196,1610612748,58,43,2020-09-18T00:04:44Z,2740000,111.0,94.0,1,left,J. Butler 15' jumpshot (4 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,14.92,Made,4.0,,,,,,,,,,,,,,,,,
275,PT02M45.00S,2020-09-18T00:04:58.4Z,2,REGULAR,2pt,jumpshot,[],202689,82.60512483574244,24.57873774509804,1610612738,58,43,2020-09-18T00:05:04Z,2750000,-127.0,111.0,1,right,MISS K. Walker 17' jumpshot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,17.24,Missed,,,,,,,,,,,,,,,,,,
276,PT02M40.00S,2020-09-18T00:05:03.4Z,2,REGULAR,rebound,offensive,[],1627759,,,1610612738,58,43,2020-09-18T00:05:04Z,2760000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,275.0,2.0,1.0,1.0,,,,,,,,,,,,,
277,PT02M31.00S,2020-09-18T00:05:11.8Z,2,REGULAR,2pt,jumpshot,['2ndchance'],1627759,90.62089356110381,82.17677696078431,1610612738,60,43,2020-09-18T00:05:17Z,2770000,161.0,36.0,1,right,J. Brown 17' jumpshot (8 PTS) (J. Tatum 3 AST),"[1627759, 1628369]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,16.61,Made,8.0,,,,,,,J. Tatum,1628369.0,3.0,,,,,,,,
279,PT02M24.00S,2020-09-18T00:05:22.6Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612748,60,43,2020-09-18T00:05:22Z,2790000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT02M24.00S,2020-09-18T00:05:25.8Z,2,REGULAR,substitution,out,[],202954,,,1610612748,60,43,2020-09-18T00:05:32Z,2800000,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
281,PT02M24.00S,2020-09-18T00:05:25.8Z,2,REGULAR,substitution,in,[],203935,,,1610612748,60,43,2020-09-18T00:05:32Z,2810000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
282,PT02M16.00S,2020-09-18T00:05:48.5Z,2,REGULAR,3pt,jumpshot,[],1629130,28.33442838370565,19.676776960784316,1610612748,60,43,2020-09-18T00:05:53Z,2820000,152.0,214.0,1,left,MISS D. Robinson 27' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,
283,PT02M12.00S,2020-09-18T00:05:52.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,60,43,2020-09-18T00:05:53Z,2830000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,282.0,4.0,4.0,0.0,,,,,,,,,,,,,
284,PT01M52.00S,2020-09-18T00:06:13.0Z,2,REGULAR,3pt,jumpshot,[],202689,95.3515111695138,3.7454044117647056,1610612738,60,43,2020-09-18T00:06:19Z,2840000,-231.0,-9.0,1,right,MISS K. Walker 23' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,23.13,Missed,,,,,,,,,,,,,,,,,,
285,PT01M47.00S,2020-09-18T00:06:18.0Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,60,43,2020-09-18T00:08:45Z,2850000,,,0,,B. Adebayo REBOUND (Off:2 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,284.0,5.0,3.0,2.0,,,,,,,,,,,,,
286,PT01M41.00S,2020-09-18T00:06:25.9Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612748,60,43,2020-09-18T00:06:25Z,2860000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT01M41.00S,2020-09-18T00:06:31.9Z,2,REGULAR,substitution,out,[],202689,,,1610612748,60,43,2020-09-18T00:06:38Z,2870000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
288,PT01M41.00S,2020-09-18T00:06:31.9Z,2,REGULAR,substitution,in,[],202954,,,1610612748,60,43,2020-09-18T00:06:38Z,2880000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
289,PT01M26.00S,2020-09-18T00:07:02.5Z,2,REGULAR,turnover,shotclock,['team'],0,,,1610612748,60,43,2020-09-18T00:07:12Z,2890000,,,0,,Team TURNOVER shotclock,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT01M14.00S,2020-09-18T00:07:28.1Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",203935,85.49605781865965,41.98069852941176,1610612738,60,43,2020-09-18T00:07:37Z,2900000,-40.0,84.0,1,right,MISS M. Smart 10' jumpshot,[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,9.79,Missed,,,,,,,,,,,,,,,,,,
292,PT01M10.00S,2020-09-18T00:07:32.1Z,2,REGULAR,rebound,defensive,[],203109,,,1610612748,60,43,2020-09-18T00:07:33Z,2920000,,,0,,J. Crowder REBOUND (Off:0 Def:3),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,290.0,3.0,3.0,0.0,,,,,,,,,,,,,
293,PT01M02.00S,2020-09-18T00:07:40.1Z,2,REGULAR,2pt,jumpshot,[],201609,12.959921156373195,67.9610906862745,1610612748,60,45,2020-09-18T00:07:44Z,2930000,-90.0,69.0,1,left,G. Dragic 12' jumpshot (9 PTS) (B. Adebayo 4 AST),"[201609, 1628389]",1610612748.0,MIA,pullup,,,Dragic,G. Dragic,,,,,11.69,Made,9.0,,,,,,,B. Adebayo,1628389.0,4.0,,,,,,,,
295,PT00M37.80S,2020-09-18T00:08:06.1Z,2,REGULAR,3pt,jumpshot,[],202954,91.67214191852825,95.65716911764706,1610612738,60,45,2020-09-18T00:08:10Z,2950000,228.0,26.0,1,right,MISS B. Wanamaker 23' 3PT,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,
296,PT00M34.80S,2020-09-18T00:08:09.1Z,2,REGULAR,rebound,defensive,[],203109,,,1610612748,60,45,2020-09-18T00:08:10Z,2960000,,,0,,J. Crowder REBOUND (Off:0 Def:4),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,295.0,4.0,4.0,0.0,,,,,,,,,,,,,
297,PT00M20.50S,2020-09-18T00:08:25.4Z,2,REGULAR,foul,personal,[],1628369,,,1610612748,60,45,2020-09-18T00:08:31Z,2970000,,,0,,J. Tatum FOUL personal (2 PF),"[1628369, 202710]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,2714.0,,,,,2.0,0.0,Butler,202710.0,,,,
299,PT00M09.10S,2020-09-18T00:08:58.7Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],202710,6.1268068331143235,63.549325980392155,1610612748,60,47,2020-09-18T00:09:05Z,2990000,-68.0,5.0,1,left,J. Butler 7' jumpshot (6 PTS) (D. Robinson 1 AST),"[202710, 1629130]",1610612748.0,MIA,fadeaway,,,Butler,J. Butler,,,,,6.85,Made,6.0,,,,,,,D. Robinson,1629130.0,1.0,,,,,,,,
301,PT00M00.40S,2020-09-18T00:09:12.8Z,2,REGULAR,3pt,jumpshot,[],1628369,67.36202365308804,66.49050245098039,1610612738,60,47,2020-09-18T00:09:20Z,3010000,82.0,254.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,27.26,Missed,,,,,,,,,,,,,,,,,,
302,PT00M00.40S,2020-09-18T00:09:12.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,60,47,2020-09-18T00:09:20Z,3020000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,
303,PT00M00.00S,2020-09-18T00:09:17.3Z,2,REGULAR,period,end,[],0,,,1610612738,60,47,2020-09-18T00:09:17Z,3030000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT12M00.00S,2020-09-18T00:23:43.5Z,3,REGULAR,substitution,out,['startperiod'],202954,,,1610612738,60,47,2020-09-18T00:24:33Z,3040000,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
305,PT12M00.00S,2020-09-18T00:23:43.5Z,3,REGULAR,substitution,in,['startperiod'],202689,,,1610612738,60,47,2020-09-18T00:24:33Z,3050000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
306,PT12M00.00S,2020-09-18T00:24:38.9Z,3,REGULAR,period,start,[],0,,,1610612748,60,47,2020-09-18T00:24:38Z,3060000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT11M36.00S,2020-09-18T00:25:02.4Z,3,REGULAR,2pt,dunk,['pointsinthepaint'],1628389,93.51182654402102,49.82383578431372,1610612748,60,49,2020-09-18T00:25:07Z,3070000,-1.0,8.0,1,right,B. Adebayo dunk (6 PTS) (G. Dragic 3 AST),"[1628389, 201609]",1610612748.0,MIA,alleyoop,,,Adebayo,B. Adebayo,,,,,1.4,Made,6.0,,,,,,,G. Dragic,201609.0,3.0,,,,,,,,
309,PT11M17.00S,2020-09-18T00:25:21.7Z,3,REGULAR,2pt,dunk,['pointsinthepaint'],1628464,7.5722733245729295,48.59834558823529,1610612738,62,49,2020-09-18T00:25:26Z,3090000,7.0,19.0,1,left,D. Theis dunk (6 PTS) (M. Smart 2 AST),"[1628464, 203935]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,2.52,Made,6.0,,,,,,,M. Smart,203935.0,2.0,,,,,,,,
311,PT10M51.00S,2020-09-18T00:25:46.2Z,3,REGULAR,3pt,jumpshot,[],203109,71.82982917214193,19.921875,1610612748,62,49,2020-09-18T00:25:51Z,3110000,-150.0,212.0,1,right,MISS J. Crowder 26' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,
312,PT10M48.00S,2020-09-18T00:25:49.2Z,3,REGULAR,rebound,defensive,[],203935,,,1610612738,62,49,2020-09-18T00:25:51Z,3120000,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,311.0,3.0,3.0,0.0,,,,,,,,,,,,,
313,PT10M42.00S,2020-09-18T00:25:56.4Z,3,REGULAR,2pt,layup,['pointsinthepaint'],203935,9.149145860709593,43.451286764705884,1610612738,64,49,2020-09-18T00:26:53Z,3130000,33.0,34.0,1,left,M. Smart layup (12 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,5.09,Made,12.0,,,,,,,,,,,,,,,,,
314,PT10M31.00S,2020-09-18T00:26:11.3Z,3,REGULAR,foul,personal,[],1627759,,,1610612748,64,49,2020-09-18T00:26:17Z,3140000,,,0,,J. Brown FOUL personal (1 PF),"[1627759, 1629130]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,1148.0,,,,,1.0,0.0,Robinson,1629130.0,,,,
316,PT10M25.00S,2020-09-18T00:26:32.5Z,3,REGULAR,2pt,jumpshot,[],202710,94.95729303547962,68.45128676470588,1610612748,64,49,2020-09-18T00:26:37Z,3160000,92.0,-5.0,1,right,MISS J. Butler 9' jumpshot,[202710],1610612748.0,MIA,turnaroundfadeaway,,,Butler,J. Butler,,,,,9.23,Missed,,,,,,,,,,,,,,,,,,
317,PT10M22.00S,2020-09-18T00:26:35.5Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,64,49,2020-09-18T00:26:37Z,3170000,,,0,,D. Theis REBOUND (Off:0 Def:6),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,316.0,6.0,6.0,0.0,,,,,,,,,,,,,
318,PT10M13.00S,2020-09-18T00:26:44.4Z,3,REGULAR,3pt,jumpshot,[],203935,33.590670170827856,23.353247549019606,1610612738,64,49,2020-09-18T00:26:48Z,3180000,133.0,263.0,1,left,MISS M. Smart 30' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,30.0,Missed,,,,,,,,,,,,,,,,,,
319,PT10M10.00S,2020-09-18T00:26:47.4Z,3,REGULAR,rebound,defensive,[],1628389,,,1610612748,64,49,2020-09-18T00:26:48Z,3190000,,,0,,B. Adebayo REBOUND (Off:2 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,318.0,6.0,4.0,2.0,,,,,,,,,,,,,
320,PT10M00.00S,2020-09-18T00:26:57.5Z,3,REGULAR,3pt,jumpshot,[],201609,91.40932982917214,3.010110294117647,1610612748,64,52,2020-09-18T00:27:02Z,3200000,-235.0,28.0,1,right,G. Dragic 24' 3PT  (12 PTS) (D. Robinson 2 AST),"[201609, 1629130]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,23.73,Made,12.0,,,,,,,D. Robinson,1629130.0,2.0,,,,,,,,
322,PT09M43.00S,2020-09-18T00:27:16.1Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,15.850854139290407,48.353247549019606,1610612738,66,52,2020-09-18T00:27:23Z,3220000,8.0,96.0,1,left,J. Tatum 10' jumpshot (11 PTS) (M. Smart 3 AST),"[1628369, 203935]",1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,10.23,Made,11.0,,,,,,,M. Smart,203935.0,3.0,,,,,,,,
324,PT09M43.00S,2020-09-18T00:27:19.6Z,3,REGULAR,foul,personal,['1freethrow'],201609,,,1610612738,66,52,2020-09-18T00:27:28Z,3240000,,,0,,G. Dragic FOUL personal (1 PF) (Tatum 1freethrow),"[201609, 1628369]",1610612748.0,MIA,shooting,,,Dragic,G. Dragic,,,,,,,,,,,,2529.0,,,,,1.0,0.0,Tatum,1628369.0,,,,
326,PT09M43.00S,2020-09-18T00:27:51.7Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,66,52,2020-09-18T00:31:48Z,3260000,,,0,,timeout full,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT09M43.00S,2020-09-18T00:27:53.7Z,3,REGULAR,instantreplay,challenge,[],0,,,1610612738,66,52,2020-09-18T00:31:48Z,3270000,,,0,,,[],1610612748.0,MIA,stands,,,,,,,,,,,,,,,,1148.0,,,,,,,,,,,,
328,PT09M43.00S,2020-09-18T00:31:30.9Z,3,REGULAR,freethrow,1of1,[],1628369,,,1610612738,67,52,2020-09-18T00:31:30Z,3280000,,,0,,J. Tatum freethrow 1of1 (12 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
329,PT09M30.00S,2020-09-18T00:31:44.4Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628389,82.34231274638634,48.59834558823529,1610612748,67,52,2020-09-18T00:31:50Z,3290000,-7.0,113.0,1,right,MISS B. Adebayo 12' jumpshot,[1628389],1610612748.0,MIA,drivingfloating,,,Adebayo,B. Adebayo,,,,,11.92,Missed,,,,,,,,,,,,,,,,,,
330,PT09M26.00S,2020-09-18T00:31:48.2Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,67,52,2020-09-18T00:31:48Z,3300000,,,0,,D. Theis REBOUND (Off:0 Def:7),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,329.0,7.0,7.0,0.0,,,,,,,,,,,,,
331,PT09M12.00S,2020-09-18T00:32:02.9Z,3,REGULAR,turnover,lostball,[],203935,,,1610612738,67,52,2020-09-18T00:32:10Z,3310000,,,0,,M. Smart TURNOVER lostball (1 TOV) Stolen,"[203935, 203109]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,1.0,,,,,,,,Crowder,203109.0,,
332,PT09M12.00S,2020-09-18T00:32:02.9Z,3,REGULAR,steal,,[],203109,,,1610612748,67,52,2020-09-18T00:32:05Z,3320000,,,0,,J. Crowder STEAL (2 STL),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,
333,PT09M09.00S,2020-09-18T00:32:08.2Z,3,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612748,67,52,2020-09-18T00:32:18Z,3330000,,,0,,J. Brown FOUL personal (2 PF) (Butler 2freethrow),"[1627759, 202710]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,2529.0,,,,,2.0,0.0,Butler,202710.0,,,,
335,PT09M09.00S,2020-09-18T00:32:31.9Z,3,REGULAR,freethrow,1of2,"['fromturnover', 'fastbreak']",202710,,,1610612748,67,53,2020-09-18T00:32:31Z,3350000,,,0,,J. Butler freethrow 1of2 (7 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
336,PT09M09.00S,2020-09-18T00:32:42.8Z,3,REGULAR,freethrow,2of2,"['fastbreak', 'fromturnover']",202710,,,1610612748,67,54,2020-09-18T00:32:42Z,3360000,,,0,,J. Butler freethrow 2of2 (8 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
337,PT08M59.00S,2020-09-18T00:32:58.3Z,3,REGULAR,foul,offensive,[],1628369,,,1610612738,67,54,2020-09-18T00:33:05Z,3370000,,,0,,J. Tatum FOUL offensive (3 PF),"[1628369, 201609]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,2714.0,,,,,3.0,0.0,Dragic,201609.0,,,,
339,PT08M59.00S,2020-09-18T00:32:58.3Z,3,REGULAR,turnover,offensivefoul,[],1628369,,,1610612738,67,54,2020-09-18T00:32:58Z,3390000,,,0,,J. Tatum TURNOVER offensivefoul (2 TOV),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,2714.0,2.0,,,,,,,,,,,
340,PT08M50.00S,2020-09-18T00:33:28.0Z,3,REGULAR,3pt,jumpshot,['fromturnover'],1629130,67.23061760840999,52.27481617647059,1610612748,67,57,2020-09-18T00:33:32Z,3400000,11.0,256.0,1,right,D. Robinson 26' 3PT  (15 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,26.12,Made,15.0,,,,,,,J. Butler,202710.0,1.0,,,,,,,,
342,PT08M35.00S,2020-09-18T00:33:43.5Z,3,REGULAR,2pt,layup,['pointsinthepaint'],1628464,7.440867279894875,41.98069852941176,1610612738,67,57,2020-09-18T00:33:49Z,3420000,40.0,17.0,1,left,MISS D. Theis layup Blocked,"[1628464, 1628389]",1610612738.0,BOS,driving,,,Theis,D. Theis,,,,,4.62,Missed,,,,,,,,,,,,,,,,,Adebayo,1628389.0
343,PT08M35.00S,2020-09-18T00:33:43.5Z,3,REGULAR,block,,[],1628389,,,1610612738,67,57,2020-09-18T00:33:45Z,3430000,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
344,PT08M34.00S,2020-09-18T00:33:44.5Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612748,67,57,2020-09-18T00:33:49Z,3440000,,,0,,Team defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,342.0,,,,,,,,,,,,,,,,
345,PT08M34.00S,2020-09-18T00:33:49.0Z,3,REGULAR,foul,personal,[],1628464,,,1610612748,67,57,2020-09-18T00:33:58Z,3450000,,,0,,D. Theis FOUL personal (3 PF),"[1628464, 1628389]",1610612738.0,BOS,looseball,,,Theis,D. Theis,,,,,,,,,,,,2529.0,,,,,3.0,0.0,Adebayo,1628389.0,,,,
347,PT08M20.00S,2020-09-18T00:34:20.0Z,3,REGULAR,3pt,jumpshot,[],201609,92.9862023653088,95.41207107843137,1610612748,67,57,2020-09-18T00:34:24Z,3470000,227.0,13.0,1,right,MISS G. Dragic 23' 3PT,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,
348,PT08M17.00S,2020-09-18T00:34:23.0Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,67,57,2020-09-18T00:34:24Z,3480000,,,0,,D. Theis REBOUND (Off:0 Def:8),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,347.0,8.0,8.0,0.0,,,,,,,,,,,,,
375,PT08M17.00S,2020-09-18T00:34:26.5Z,3,REGULAR,stoppage,other,[],0,,,1610612738,67,57,2020-09-18T00:43:16Z,3485000,,,0,,stoppage other,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT08M17.00S,2020-09-18T00:34:33.1Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,67,57,2020-09-18T00:34:33Z,3490000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,PT08M07.00S,2020-09-18T00:38:18.4Z,3,REGULAR,foul,personal,['2freethrow'],203109,,,1610612738,67,57,2020-09-18T00:38:31Z,3520000,,,0,,J. Crowder FOUL personal (2 PF) (Tatum 2freethrow),"[203109, 1628369]",1610612748.0,MIA,shooting,,,Crowder,J. Crowder,,,,,,,,,,,,2714.0,,,,,2.0,0.0,Tatum,1628369.0,,,,
354,PT08M07.00S,2020-09-18T00:38:44.1Z,3,REGULAR,freethrow,1of2,[],1628369,,,1610612738,68,57,2020-09-18T00:38:44Z,3540000,,,0,,J. Tatum freethrow 1of2 (13 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
355,PT08M07.00S,2020-09-18T00:39:02.6Z,3,REGULAR,freethrow,2of2,[],1628369,,,1610612738,69,57,2020-09-18T00:39:02Z,3550000,,,0,,J. Tatum freethrow 2of2 (14 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,14.0,,,,,,,,,,,,,,,,,
356,PT08M04.00S,2020-09-18T00:39:14.6Z,3,REGULAR,foul,personal,[],203935,,,1610612748,69,57,2020-09-18T00:39:22Z,3560000,,,0,,M. Smart FOUL personal (3 PF),"[203935, 202710]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,2529.0,,,,,3.0,0.0,Butler,202710.0,,,,
358,PT07M51.00S,2020-09-18T00:39:44.4Z,3,REGULAR,2pt,dunk,['pointsinthepaint'],1628389,93.9060446780552,48.84344362745098,1610612748,69,59,2020-09-18T00:39:48Z,3580000,-6.0,5.0,1,right,B. Adebayo dunk (8 PTS) (J. Crowder 1 AST),"[1628389, 203109]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,1.18,Made,8.0,,,,,,,J. Crowder,203109.0,1.0,,,,,,,,
360,PT07M28.00S,2020-09-18T00:40:08.5Z,3,REGULAR,turnover,outofbounds,[],202689,,,1610612738,69,59,2020-09-18T00:40:13Z,3600000,,,0,,K. Walker TURNOVER outofbounds (4 TOV),[202689],1610612738.0,BOS,badpass,,,Walker,K. Walker,,,,,,,,,,,,2529.0,4.0,,,,,,,,,,,
361,PT07M12.00S,2020-09-18T00:40:34.9Z,3,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",201609,90.09526938239159,64.77481617647058,1610612748,69,59,2020-09-18T00:40:39Z,3610000,74.0,41.0,1,right,MISS G. Dragic 9' jumpshot,[201609],1610612748.0,MIA,drivingfloatingbank,,,Dragic,G. Dragic,,,,,8.71,Missed,,,,,,,,,,,,,,,,,,
362,PT07M09.00S,2020-09-18T00:40:37.9Z,3,REGULAR,rebound,defensive,[],202689,,,1610612738,69,59,2020-09-18T00:40:39Z,3620000,,,0,,K. Walker REBOUND (Off:2 Def:4),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,361.0,6.0,4.0,2.0,,,,,,,,,,,,,
392,PT07M04.00S,2020-09-18T00:40:39.5Z,3,REGULAR,turnover,outofbounds,[],1628369,,,1610612738,69,59,2020-09-18T00:45:21Z,3625000,,,0,,J. Tatum TURNOVER outofbounds (3 TOV),[1628369],1610612738.0,BOS,lostball,,,Tatum,J. Tatum,,,,,,,,,,,,2529.0,3.0,,,,,,,,,,,
366,PT07M04.00S,2020-09-18T00:40:48.8Z,3,REGULAR,stoppage,outofbounds,[],0,,,1610612748,69,59,2020-09-18T00:40:48Z,3660000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,PT06M47.00S,2020-09-18T00:41:09.0Z,3,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover']",1628389,93.38042049934296,49.57873774509804,1610612748,69,61,2020-09-18T00:45:24Z,3670000,-2.0,10.0,1,right,B. Adebayo dunk (10 PTS) (G. Dragic 4 AST),"[1628389, 201609]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,1.53,Made,10.0,,,,,,,G. Dragic,201609.0,4.0,,,,,,,,
