actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
74,PT06M37.00S,2020-08-30T17:29:47.7Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover']",1627759,93.11760840998686,53.01011029411765,1610612738,5,11,2020-08-30T17:29:54Z,740000,15.0,12.0,1,right,MISS J. Brown dunk,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.33,Missed,,,,,,,,,,,,,,,,,,,
75,PT06M36.00S,2020-08-30T17:29:48.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,5,11,2020-08-30T17:29:54Z,750000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,
76,PT06M36.00S,2020-08-30T17:29:52.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,5,11,2020-08-30T17:29:52Z,760000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M25.00S,2020-08-30T17:30:08.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627783,9.280551905387648,48.10814950980392,1610612761,5,11,2020-08-30T17:30:12Z,770000,9.0,35.0,1,left,MISS P. Siakam layup,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,4.13,Missed,,,,,,,,,,,,,,,,,,,
78,PT06M24.00S,2020-08-30T17:30:09.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,5,11,2020-08-30T17:30:12Z,780000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
79,PT06M17.00S,2020-08-30T17:30:16.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,93.9060446780552,54.23560049019608,1610612738,5,13,2020-08-30T17:30:25Z,790000,21.0,5.0,1,right,K. Walker layup (2 PTS) (J. Brown 2 AST),"[202689, 1627759]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.36,Made,,,,,2.0,J. Brown,1627759.0,2.0,,,,,,,,,,,
81,PT06M08.00S,2020-08-30T17:30:25.7Z,1,REGULAR,3pt,jumpshot,[],201586,33.590670170827856,55.951286764705884,1610612761,8,13,2020-08-30T17:30:31Z,810000,-30.0,263.0,1,left,S. Ibaka 27' 3PT  (3 PTS) (K. Lowry 2 AST),"[201586, 200768]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,27.04,Made,,,,,3.0,K. Lowry,200768.0,2.0,,,,,,,,,,,
83,PT05M52.00S,2020-08-30T17:30:41.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203935,92.72339027595268,53.255208333333336,1610612738,8,15,2020-08-30T17:30:46Z,830000,16.0,16.0,1,right,M. Smart layup (5 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,2.69,Made,,,,,5.0,,,,,,,,,,,,,,
84,PT05M40.00S,2020-08-30T17:30:53.4Z,1,REGULAR,3pt,jumpshot,[],201586,30.699737187910642,78.74540441176471,1610612761,11,15,2020-08-30T17:30:58Z,840000,-144.0,236.0,1,left,S. Ibaka 28' 3PT  (6 PTS) (F. VanVleet 1 AST),"[201586, 1627832]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,28.11,Made,,,,,6.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,
86,PT05M26.00S,2020-08-30T17:31:08.3Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1629057,93.11760840998686,46.88265931372549,1610612738,11,17,2020-08-30T17:31:13Z,860000,-16.0,12.0,1,right,R. Williams III dunk (2 PTS) (K. Walker 2 AST),"[1629057, 202689]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,2.36,Made,,,,,2.0,K. Walker,202689.0,2.0,,,,,,,,,,,
