actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
52,PT08M12.00S,2020-01-07T00:16:28.8Z,1,REGULAR,freethrow,2of2,[],202330,,,1610612738,7,6,2020-01-07T00:16:28Z,520000,,,0,,G. Hayward freethrow 2of2 (1 PTS),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
53,PT07M54.00S,2020-01-07T00:16:49.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202738,8.754927726675426,50.55912990196079,1610612764,9,6,2020-01-07T00:16:52Z,530000,-3.0,30.0,1,left,I. Thomas layup (5 PTS) (J. McRae 1 AST),"[202738, 203895]",1610612764.0,WAS,drivingfingerroll,,,Thomas,I. Thomas,,,,,3.54,Made,,,,,,,5.0,J. McRae,203895.0,1.0,,,,,,,,,
55,PT07M40.00S,2020-01-07T00:17:02.6Z,1,REGULAR,3pt,jumpshot,[],203935,67.23061760840999,47.127757352941174,1610612738,9,6,2020-01-07T00:17:07Z,550000,-14.0,256.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M37.00S,2020-01-07T00:17:05.6Z,1,REGULAR,rebound,defensive,[],101133,,,1610612764,9,6,2020-01-07T00:17:07Z,560000,,,0,,I. Mahinmi REBOUND (Off:0 Def:2),[101133],1610612764.0,WAS,,,,Mahinmi,I. Mahinmi,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,
57,PT07M31.00S,2020-01-07T00:17:13.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],101133,9.806176084099869,55.4610906862745,1610612764,9,6,2020-01-07T00:17:17Z,570000,-27.0,40.0,1,left,MISS I. Mahinmi layup,[101133],1610612764.0,WAS,cutting,,,Mahinmi,I. Mahinmi,,,,,5.28,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M27.00S,2020-01-07T00:17:17.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,6,2020-01-07T00:17:17Z,580000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,57.0,3.0,2.0,1.0,,,,,,,,,,,,,
59,PT07M24.00S,2020-01-07T00:17:19.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1627759,94.1688567674113,49.08854166666667,1610612738,9,8,2020-01-07T00:17:26Z,590000,-5.0,2.0,1,right,J. Brown layup (7 PTS),[1627759],1610612738.0,BOS,runningfingerroll,,,Brown,J. Brown,,,,,0.91,Made,,,,,,,7.0,,,,,,,,,,,,
60,PT07M05.00S,2020-01-07T00:17:40.5Z,1,REGULAR,foul,personal,['2freethrow'],202683,,,1610612764,9,8,2020-01-07T00:17:46Z,600000,,,0,,E. Kanter FOUL personal (1 PF) (Mahinmi 2freethrow),"[202683, 101133]",1610612738.0,BOS,shooting,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Mahinmi,101133.0,
62,PT07M05.00S,2020-01-07T00:18:02.6Z,1,REGULAR,freethrow,1of2,[],101133,,,1610612764,10,8,2020-01-07T00:18:02Z,620000,,,0,,I. Mahinmi freethrow 1of2 (3 PTS),[101133],1610612764.0,WAS,,,,Mahinmi,I. Mahinmi,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
63,PT07M05.00S,2020-01-07T00:18:17.5Z,1,REGULAR,freethrow,2of2,[],101133,,,1610612764,10,8,2020-01-07T00:18:17Z,630000,,,0,,MISS I. Mahinmi freethrow 2of2,[101133],1610612764.0,WAS,,,,Mahinmi,I. Mahinmi,,,,,,Missed,,,,,,,,,,,,,,,,,,,
