actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
71,PT06M05.00S,2020-01-16T00:22:24.6Z,1,REGULAR,substitution,in,[],202683,,,1610612765,11,16,2020-01-16T00:22:28Z,710000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M55.00S,2020-01-16T00:22:47.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201565,20.05584756898817,35.60814950980392,1610612765,11,18,2020-01-16T00:22:57Z,720000,72.0,136.0,1,left,D. Rose 16' jumpshot (8 PTS),[201565],1610612765.0,DET,floating,,,Rose,D. Rose,,,,,15.88,Made,8.0,,,,,,,,,,,,,,,,,,
73,PT05M36.00S,2020-01-16T00:23:05.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,86.07095926412615,42.34834558823529,1610612738,11,18,2020-01-16T00:23:12Z,730000,-38.0,78.0,1,right,MISS M. Smart 9' jumpshot,[203935],1610612738.0,BOS,turnaroundfadeaway,,,Smart,M. Smart,,,,,9.22,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M33.00S,2020-01-16T00:23:08.0Z,1,REGULAR,rebound,defensive,[],203083,,,1610612765,11,18,2020-01-16T00:27:31Z,740000,,,0,,A. Drummond REBOUND (Off:0 Def:4),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,73.0,4.0,4.0,0.0,,,,,,
75,PT05M15.00S,2020-01-16T00:23:27.5Z,1,REGULAR,turnover,lostball,[],203083,,,1610612765,11,18,2020-01-16T00:23:33Z,750000,,,0,,A. Drummond TURNOVER lostball (1 TOV) Stolen,"[203083, 202689]",1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,1.0,Walker,202689.0,,,
76,PT05M15.00S,2020-01-16T00:23:27.5Z,1,REGULAR,steal,,[],202689,,,1610612738,11,18,2020-01-16T00:29:08Z,760000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M07.00S,2020-01-16T00:23:35.1Z,1,REGULAR,3pt,jumpshot,"['fastbreak', 'fromturnover']",202689,66.48735216819975,44.213388480392155,1610612738,14,18,2020-01-16T00:28:52Z,770000,-29.0,263.0,1,right,K. Walker 27' 3PT  (6 PTS) (M. Smart 1 AST),"[202689, 203935]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.96,Made,6.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
79,PT04M53.00S,2020-01-16T00:23:48.8Z,1,REGULAR,3pt,jumpshot,[],201565,22.946780551905388,88.05912990196079,1610612765,14,18,2020-01-16T00:28:59Z,790000,-190.0,163.0,1,left,MISS D. Rose 25' 3PT,[201565],1610612765.0,DET,pullup,,,Rose,D. Rose,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M50.00S,2020-01-16T00:23:51.4Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,14,18,2020-01-16T00:23:51Z,800000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,79.0,1.0,1.0,0.0,,,,,,
81,PT04M40.00S,2020-01-16T00:24:01.9Z,1,REGULAR,3pt,jumpshot,[],202689,67.22445795006571,36.72257965686275,1610612738,14,18,2020-01-16T00:29:16Z,810000,-66.0,256.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.94,Missed,,,,,,,,,,,,,,,,,,,
