actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
67,PT08M09.00S,2020-01-12T00:17:01.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,89.30683311432325,42.470894607843135,1610612738,9,7,2020-01-12T00:17:05Z,660000,-38.0,48.0,1,right,J. Tatum 7' layup (5 PTS),[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,,,,6.54,Made,5.0,,,,,,,,,,,,,,,
68,PT07M55.00S,2020-01-12T00:17:14.7Z,1,REGULAR,3pt,jumpshot,[],1628404,25.312089356110377,13.304227941176471,1610612740,9,7,2020-01-12T00:17:19Z,670000,183.0,185.0,1,left,MISS J. Hart 26' 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,26.48,Missed,,,,,,,,,,,,,,,,
69,PT07M53.00S,2020-01-12T00:17:16.7Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,9,7,2020-01-12T00:17:19Z,680000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,68.0,2.0,2.0,0.0,,,
70,PT07M39.00S,2020-01-12T00:17:31.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,93.9060446780552,53.255208333333336,1610612738,11,7,2020-01-12T00:17:35Z,690000,16.0,5.0,1,right,J. Tatum layup (7 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,1.93,Made,7.0,,,,,,,,,,,,,,,
71,PT07M29.00S,2020-01-12T00:17:45.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,11,7,2020-01-12T00:17:45Z,700000,,,0,,timeout full,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M19.00S,2020-01-12T00:20:52.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628404,18.347568988173457,62.07873774509803,1610612740,11,7,2020-01-12T00:21:00Z,710000,-60.0,120.0,1,left,MISS J. Hart 14' jumpshot,[1628404],1610612740.0,NOP,fadeaway,,,Hart,J. Hart,,,,,,,,13.93,Missed,,,,,,,,,,,,,,,,
73,PT07M17.00S,2020-01-12T00:20:54.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,11,7,2020-01-12T00:20:54Z,720000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,72.0,2.0,1.0,1.0,,,
74,PT07M09.00S,2020-01-12T00:21:03.3Z,1,REGULAR,3pt,jumpshot,[],202689,71.82982917214193,80.21599264705883,1610612738,14,7,2020-01-12T00:21:08Z,730000,151.0,212.0,1,right,K. Walker 27' 3PT  (5 PTS) (J. Tatum 1 AST),"[202689, 1628369]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,26.51,Made,5.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,
76,PT06M56.00S,2020-01-12T00:21:16.5Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1629637,7.703679369250986,49.333639705882355,1610612740,14,9,2020-01-12T00:21:20Z,750000,3.0,20.0,1,left,J. Hayes dunk (7 PTS) (B. Ingram 2 AST),"[1629637, 1627742]",1610612740.0,NOP,cutting,,,Hayes,J. Hayes,,,,,,,,2.56,Made,7.0,B. Ingram,1627742.0,2.0,,,,,,,,,,,,
78,PT06M40.00S,2020-01-12T00:21:32.0Z,1,REGULAR,2pt,jumpshot,[],1628464,82.07950065703022,25.559129901960787,1610612738,16,9,2020-01-12T00:21:40Z,770000,-122.0,116.0,1,right,D. Theis 17' jumpshot (2 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,17.23,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,,
