actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,stealPlayerName,stealPersonId,stealTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,blockPersonId,blockPlayerName
353,PT08M02.00S,2020-08-17T23:59:02Z,3,REGULAR,substitution,out,,[],1627759,,,1610612755,65,58,0001-01-01T00:00:00,3510000,0,-80,,SUB: Smart FOR Brown,[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,PT08M02.00S,2020-08-17T23:59:25Z,3,REGULAR,freethrow,2of2,,[],203954,,,1610612755,65,59,0001-01-01T00:00:00,3530000,250,-52,left,Embiid Free Throw 2 of 2 (17 PTS),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,17.0,Made,,,,,,,,,,,,,,,,,,,
356,PT07M50.00S,2020-08-17T23:59:39Z,3,REGULAR,2pt,jumpshot,pullup,[],202689,76.43,46.88,1610612738,65,59,2020-08-17T23:59:44,3540000,-16,169,right,MISS Walker 17' Pullup Jump Shot,[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,0.0,Missed,16.98,,,,,,,,,,,,,,,,,,
357,PT07M48.00S,2020-08-17T23:59:41Z,3,REGULAR,rebound,defensive,,[],203954,,,1610612755,65,59,2020-08-17T23:59:44,3550000,-16,169,right,Embiid REBOUND (Off:2 Def:9),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,11.0,9.0,2.0,356.0,,,,,,,,,,,,,,
358,PT07M35.00S,2020-08-17T23:59:57Z,3,REGULAR,turnover,badpass,,[],201143,,,1610612755,65,59,2020-08-18T00:00:06,3560000,-73,19,left,Horford Bad Pass Turnover (P3.T14),[201143],1610612755,PHI,0,Horford,A. Horford,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
359,PT07M35.00S,2020-08-18T00:00:06Z,3,REGULAR,foul,personal,looseball,[],201143,,,1610612738,65,59,2020-08-18T00:00:19,3570000,68,829,right,Horford L.B.FOUL (P3.T1),"[201143, 202330]",1610612755,PHI,0,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,Hayward,202330.0,3.0,0.0,2534.0,,
361,PT07M19.00S,2020-08-18T00:00:28Z,3,REGULAR,2pt,hook,drivingbank,"['pointsinthepaint', 'fromturnover']",1628369,92.46,60.12,1610612738,67,59,2020-08-18T00:00:34,3590000,51,18,right,Tatum 5' Driving Bank Hook Shot (27 PTS),[1628369],1610612738,BOS,1,Tatum,J. Tatum,,,,,,,27.0,Made,5.41,,,,,,,,,,,,,,,,,,
362,PT06M56.00S,2020-08-18T00:00:54Z,3,REGULAR,turnover,lostball,,[],1626196,,,1610612755,67,59,2020-08-18T00:01:05,3600000,74,190,left,Richardson Lost Ball Turnover (P3.T15) Stolen,"[1626196, 202689]",1610612755,PHI,0,Richardson,J. Richardson,,,,,,,,,,,,,,3.0,,,,Walker,202689.0,1.0,,,,,,,
363,PT06M56.00S,2020-08-18T00:00:54Z,3,REGULAR,steal,,,[],202689,,,1610612738,67,59,2020-08-18T00:01:05,3610000,74,190,left, STEAL ,[202689],1610612738,BOS,0,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,PT06M53.00S,2020-08-18T00:00:59Z,3,REGULAR,foul,personal,shooting,['2freethrow'],1629003,,,1610612738,67,59,2020-08-18T00:01:15,3620000,15,1,right,Milton S.FOUL (P2.T2),"[1629003, 1628369]",1610612755,PHI,0,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,Tatum,1628369.0,2.0,0.0,1151.0,,
366,PT06M53.00S,2020-08-18T00:01:13Z,3,REGULAR,timeout,full,,"['team', 'mandatory']",0,,,1610612738,67,59,0001-01-01T00:00:00,3640000,0,-80,,CELTICS Timeout: Regular (Full 3 Short 0),[],1610612738,BOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
