actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,assistPlayerName,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,turnoverTotal,blockPersonId,blockPlayerName,stealPlayerName,stealPersonId,stealTotal
248,PT03M32.00S,2020-08-19T23:36:14Z,2,REGULAR,foul,personal,shooting,['1freethrow'],1629684,,,1610612755,54,43,2020-08-19T23:36:19,2410000,-11,44,right,Williams S.FOUL (P2.T3),"[1629684, 1629003]",1610612738,BOS,0,Williams,G. Williams,,,,,,,,,,,,,,,,,Milton,1629003.0,2.0,0.0,2529.0,,,,,,
250,PT03M32.00S,2020-08-19T23:36:38Z,2,REGULAR,freethrow,1of1,,[],1629003,,,1610612755,54,44,0001-01-01T00:00:00,2430000,-250,888,right,Milton Free Throw 1 of 1 (10 PTS),[1629003],1610612755,PHI,0,Milton,S. Milton,,,,,,,10.0,Made,,,,,,,,,,,,,,,,,,,
251,PT03M21.00S,2020-08-19T23:36:50Z,2,REGULAR,2pt,jumpshot,pullup,[],202689,25.18,43.7,1610612738,56,44,2020-08-19T23:36:54,2440000,31,184,left,Walker 19' Pullup Jump Shot (8 PTS),[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,8.0,Made,18.66,,,,,,,,,,,,,,,,,,
252,PT03M03.00S,2020-08-19T23:37:08Z,2,REGULAR,2pt,jumpshot,drivingfloating,[],202699,76.43,41.74,1610612755,56,46,2020-08-19T23:37:11,2450000,-41,169,right,Harris 17' Driving Floating Jump Shot (6 PTS),[202699],1610612755,PHI,1,Harris,T. Harris,,,,,,,6.0,Made,17.39,,,,,,,,,,,,,,,,,,
253,PT02M47.00S,2020-08-19T23:37:23Z,2,REGULAR,3pt,jumpshot,pullup,[],202689,33.2,39.04,1610612738,56,46,2020-08-19T23:37:28,2460000,55,260,left,MISS Walker 27' 3PT Pullup Jump Shot,[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,0.0,Missed,26.58,,,,,,,,,,,,,,,,,,
254,PT02M46.00S,2020-08-19T23:37:24Z,2,REGULAR,rebound,defensive,,[],202699,,,1610612755,56,46,2020-08-19T23:37:28,2470000,55,260,left,Harris REBOUND (Off:1 Def:5),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,6.0,5.0,1.0,253.0,,,,,,,,,,,,,,
255,PT02M41.00S,2020-08-19T23:37:33Z,2,REGULAR,foul,personal,shooting,['2freethrow'],203935,,,1610612755,56,46,2020-08-19T23:37:50,2480000,66,101,right,Smart S.FOUL (P2.T4),"[203935, 202699]",1610612738,BOS,0,Smart,M. Smart,,,,,,,,,,,,,,,,,Harris,202699.0,2.0,0.0,101284.0,,,,,,
257,PT02M41.00S,2020-08-19T23:38:08Z,2,REGULAR,freethrow,1of2,,['fastbreak'],202699,,,1610612755,56,46,2020-08-19T23:38:08,2500000,-250,888,right,MISS Harris Free Throw 1 of 2,[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,6.0,Missed,,,,,,,,,,,,,,,,,,,
258,PT02M41.00S,2020-08-19T23:38:08Z,2,REGULAR,rebound,offensive,,"['deadball', 'team']",0,,,1610612755,56,46,0001-01-01T00:00:00,2510000,-250,888,right,76ers Rebound,[],1610612755,PHI,0,,,,,,,,,,,,0.0,0.0,0.0,257.0,,,,,,,,,,,,,,
259,PT02M41.00S,2020-08-19T23:38:08Z,2,REGULAR,substitution,out,,[],1629641,,,1610612755,56,46,0001-01-01T00:00:00,2520000,0,-80,,SUB: Tatum FOR Langford,[1629641],1610612738,BOS,0,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT02M41.00S,2020-08-19T23:38:08Z,2,REGULAR,substitution,out,,[],202692,,,1610612755,56,46,0001-01-01T00:00:00,2530000,0,-80,,SUB: Thybulle FOR Burks,[202692],1610612755,PHI,0,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT02M41.00S,2020-08-19T23:38:31Z,2,REGULAR,freethrow,2of2,,['fastbreak'],202699,,,1610612755,56,47,0001-01-01T00:00:00,2560000,-250,888,right,Harris Free Throw 2 of 2 (7 PTS),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,7.0,Made,,,,,,,,,,,,,,,,,,,
264,PT02M29.00S,2020-08-19T23:38:49Z,2,REGULAR,foul,personal,,"['inpenalty', '2freethrow']",1629003,,,1610612738,56,47,2020-08-19T23:38:55,2570000,142,171,left,Milton P.FOUL (P2.PN),"[1629003, 1629684]",1610612755,PHI,0,Milton,S. Milton,,,,,,,,,,,,,,,,,Williams,1629684.0,2.0,0.0,2529.0,,,,,,
266,PT02M29.00S,2020-08-19T23:39:14Z,2,REGULAR,freethrow,1of2,,[],1629684,,,1610612738,57,47,0001-01-01T00:00:00,2590000,250,-52,left,Williams Free Throw 1 of 2 (4 PTS),[1629684],1610612738,BOS,0,Williams,G. Williams,,,,,,,4.0,Made,,,,,,,,,,,,,,,,,,,
267,PT02M29.00S,2020-08-19T23:39:15Z,2,REGULAR,substitution,out,,[],201143,,,1610612738,57,47,0001-01-01T00:00:00,2600000,0,-80,,SUB: Embiid FOR Horford,[201143],1610612755,PHI,0,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT02M29.00S,2020-08-19T23:39:34Z,2,REGULAR,freethrow,2of2,,[],1629684,,,1610612738,58,47,0001-01-01T00:00:00,2620000,250,-52,left,Williams Free Throw 2 of 2 (5 PTS),[1629684],1610612738,BOS,0,Williams,G. Williams,,,,,,,5.0,Made,,,,,,,,,,,,,,,,,,,
