actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
99,PT05M08.00S,2020-07-31T23:05:02.7Z,1,REGULAR,substitution,in,[],202683,,,1610612738,25,18,2020-07-31T23:05:10Z,950000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M08.00S,2020-07-31T23:05:20.9Z,1,REGULAR,freethrow,2of2,[],1627759,,,1610612738,25,19,2020-07-31T23:05:21Z,960000,,,0,,J. Brown freethrow 2of2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
101,PT04M57.00S,2020-07-31T23:05:33.5Z,1,REGULAR,turnover,lostball,[],201588,,,1610612749,25,19,2020-07-31T23:05:38Z,970000,,,0,,G. Hill TURNOVER lostball (1 TOV) Stolen,"[201588, 202683]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,1.0,Kanter,202683.0,
102,PT04M57.00S,2020-07-31T23:05:33.5Z,1,REGULAR,steal,,[],202683,,,1610612738,25,19,2020-07-31T23:05:35Z,980000,,,0,,E. Kanter STEAL (1 STL),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M45.00S,2020-07-31T23:05:44.5Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202954,78.53153745072274,90.51011029411765,1610612738,25,19,2020-07-31T23:05:48Z,990000,203.0,149.0,1,right,MISS B. Wanamaker 26' 3PT,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,,
104,PT04M44.00S,2020-07-31T23:05:45.5Z,1,REGULAR,rebound,defensive,[],101141,,,1610612749,25,19,2020-07-31T23:05:48Z,1000000,,,0,,E. Ilyasova REBOUND (Off:0 Def:1),[101141],1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,,103.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
105,PT04M37.00S,2020-07-31T23:05:52.9Z,1,REGULAR,turnover,badpass,[],101141,,,1610612749,25,19,2020-07-31T23:05:57Z,1010000,,,0,,E. Ilyasova TURNOVER badpass (1 TOV) Stolen,"[101141, 203935]",1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,
106,PT04M37.00S,2020-07-31T23:05:52.9Z,1,REGULAR,steal,,[],203935,,,1610612738,25,19,2020-07-31T23:05:55Z,1020000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M33.00S,2020-07-31T23:05:56.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203935,92.85479632063075,54.970894607843135,1610612738,25,21,2020-07-31T23:06:01Z,1030000,25.0,15.0,1,right,M. Smart layup (5 PTS),[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,3.21,Made,,,,,5.0,,,,,,,,,,,,,,
108,PT04M16.00S,2020-07-31T23:06:13.7Z,1,REGULAR,turnover,badpass,[],201588,,,1610612749,25,21,2020-07-31T23:06:17Z,1040000,,,0,,G. Hill TURNOVER badpass (2 TOV) Stolen,"[201588, 1627759]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,2.0,Brown,1627759.0,
109,PT04M16.00S,2020-07-31T23:06:13.7Z,1,REGULAR,steal,,[],1627759,,,1610612738,25,21,2020-07-31T23:06:15Z,1050000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M15.00S,2020-07-31T23:06:18.7Z,1,REGULAR,foul,personal,['2freethrow'],201588,,,1610612738,25,21,2020-07-31T23:06:36Z,1060000,,,0,,G. Hill FOUL personal (1 PF) (Brown 2freethrow),"[201588, 1627759]",1610612749.0,MIL,shooting,,,Hill,G. Hill,,,,,,,,,,,,,,,202041.0,1.0,0.0,Brown,1627759.0,,,,,,
112,PT04M15.00S,2020-07-31T23:06:43.2Z,1,REGULAR,freethrow,1of2,['fromturnover'],1627759,,,1610612738,25,22,2020-07-31T23:06:58Z,1080000,,,0,,J. Brown freethrow 1of2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
