actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,blockPlayerName,blockPersonId,blockTotal,value
513,PT06M24.00S,2020-03-05T01:59:26.6Z,4,REGULAR,2pt,jumpshot,[],1628400,22.28975032851511,29.725796568627448,1610612738,89,90,2020-03-05T01:59:34Z,5120000,left,[BOS] Ojeleye jumpshot: Made (19 PTS),[1628400],1610612738.0,BOS,stepback,,,Ojeleye,S. Ojeleye,,,,,19.15,: Made,,,,,19.0,,,,,,,,,,,,,,,,,,
515,PT06M03.00S,2020-03-05T01:59:48.0Z,4,REGULAR,3pt,jumpshot,[],1629012,71.43561103810775,19.921875,1610612739,89,90,2020-03-05T01:59:52Z,5140000,right,[CLE] Sexton 3pt jumpshot: Missed,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,26.77,: Missed,,,,,,,,,,,,,,,,,,,,,,,
516,PT06M00.00S,2020-03-05T01:59:51.0Z,4,REGULAR,rebound,offensive,[],201567,,,1610612739,89,90,2020-03-05T01:59:52Z,5150000,,[CLE] Love offensive rebound (Off:5 Def:9),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,515.0,14.0,9.0,5.0,,,,,,,,,,,,,,,,,,,
517,PT05M59.00S,2020-03-05T01:59:54.0Z,4,REGULAR,stoppage,outofbounds,[],0,,,1610612739,89,90,2020-03-05T01:59:54Z,5160000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,PT05M51.00S,2020-03-05T02:00:14.6Z,4,REGULAR,3pt,jumpshot,['2ndchance'],1626204,93.9060446780552,3.010110294117647,1610612739,89,90,2020-03-05T02:00:19Z,5170000,right,[CLE] Nance Jr. 3pt jumpshot: Missed,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,23.51,: Missed,,,,,,,,,,,,,,,,,,,,,,,
519,PT05M49.00S,2020-03-05T02:00:16.6Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,89,90,2020-03-05T02:00:19Z,5180000,,[BOS] Tatum defensive rebound (Off:0 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,518.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,
520,PT05M42.00S,2020-03-05T02:00:22.8Z,4,REGULAR,turnover,badpass,[],203935,,,1610612738,89,90,2020-03-05T02:00:28Z,5190000,,[BOS] Smart badpass turnover (4 TO) Steal: Nance Jr. (4 STL),"[203935, 1626204]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,4.0,Nance Jr.,1626204.0,4.0,,,,
522,PT05M37.00S,2020-03-05T02:00:27.6Z,4,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1629012,93.11760840998686,49.333639705882355,1610612739,89,90,2020-03-05T02:00:48Z,5210000,right,[CLE] Sexton layup: Missed Block: Tatum (1 BLK),"[1629012, 1628369]",1610612739.0,CLE,driving,,,Sexton,C. Sexton,,,,,1.8,: Missed,,,,,,,,,,,,,,,,,,,,Tatum,1628369.0,1.0,
524,PT05M34.00S,2020-03-05T02:00:30.6Z,4,REGULAR,rebound,defensive,[],1628400,,,1610612738,89,90,2020-03-05T02:00:48Z,5230000,,[BOS] Ojeleye defensive rebound (Off:0 Def:5),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,522.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,
525,PT05M31.00S,2020-03-05T02:00:34.4Z,4,REGULAR,2pt,layup,['pointsinthepaint'],203935,6.783837056504599,49.08854166666667,1610612738,89,92,2020-03-05T02:02:47Z,5240000,left,[BOS] Smart layup: Made (8 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,1.74,: Made,,,,,8.0,,,,,,,,,,,,,,,,,,
