actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
64,PT07M42.00S,2019-12-19T02:49:15.0Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,8,5,2019-12-19T02:49:28Z,640000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
65,PT07M42.00S,2019-12-19T02:49:16.5Z,1,REGULAR,turnover,outofbounds,[],1628369,,,1610612738,8,5,2019-12-19T02:49:35Z,650000,,,0,,J. Tatum TURNOVER outofbounds (2 TOV),[1628369],1610612738.0,BOS,step,,,Tatum,J. Tatum,,,,,,,,,,,202026.0,2.0,,,,,,,,,,,,,
66,PT07M33.00S,2019-12-19T02:49:27.5Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1628973,22.158344283837057,72.37285539215686,1610612742,10,5,2019-12-19T02:49:48Z,660000,-112.0,156.0,1,left,J. Brunson 20' jumpshot (5 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,19.63,Made,,,,,,,5.0,,,,,,,,,,,,
67,PT07M19.00S,2019-12-19T02:49:41.5Z,1,REGULAR,3pt,jumpshot,[],1629684,87.99277266754271,3.2552083333333335,1610612738,10,5,2019-12-19T02:49:55Z,670000,-234.0,60.0,1,right,MISS G. Williams 24' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,24.28,Missed,,,,,,,,,,,,,,,,,,,
68,PT07M19.00S,2019-12-19T02:49:41.5Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,10,5,2019-12-19T02:49:55Z,680000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
69,PT07M09.00S,2019-12-19T02:49:56.6Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612742,10,5,2019-12-19T02:49:56Z,690000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M01.00S,2019-12-19T02:50:18.3Z,1,REGULAR,3pt,jumpshot,[],1627827,9.149145860709593,4.725796568627451,1610612742,13,5,2019-12-19T02:50:22Z,700000,226.0,34.0,1,left,D. Finney-Smith 23' 3PT  (3 PTS) (J. Brunson 1 AST),"[1627827, 1628973]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,22.97,Made,,,,,,,3.0,J. Brunson,1628973.0,1.0,,,,,,,,,
72,PT07M00.00S,2019-12-19T02:50:25.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,5,2019-12-19T02:50:25Z,720000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M41.00S,2019-12-19T02:54:08.1Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,81.02825229960578,52.27481617647059,1610612738,13,7,2019-12-19T02:55:55Z,730000,11.0,126.0,1,right,J. Brown 13' jumpshot (2 PTS) (K. Walker 2 AST),"[1627759, 202689]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,13.18,Made,,,,,,,2.0,K. Walker,202689.0,2.0,,,,,,,,,
75,PT06M22.00S,2019-12-19T02:54:30.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628464,,,1610612742,13,7,2019-12-19T02:54:37Z,750000,,,0,,D. Theis FOUL personal (1 PF) (Porzingis inpenalty),"[1628464, 204001]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,202056.0,,,,,,,,1.0,0.0,Porzingis,204001.0,,,
