actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
63,PT05M02.00S,2020-01-09T00:20:58.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1626168,92.85479632063075,46.88265931372549,1610612759,3,22,2020-01-09T00:21:07Z,630000,-16.0,15.0,1,right,T. Lyles layup (5 PTS) (B. Forbes 2 AST),"[1626168, 1627854]",1610612759.0,SAS,cuttingfingerroll,,,Lyles,T. Lyles,,,,,2.55,Made,5.0,,,,,B. Forbes,1627854.0,2.0,,,,,,,,,,,
65,PT04M46.00S,2020-01-09T00:21:12.9Z,1,REGULAR,2pt,jumpshot,[],202683,24.129434954007884,28.010110294117645,1610612738,5,22,2020-01-09T00:21:17Z,650000,110.0,174.0,1,left,E. Kanter 21' jumpshot (2 PTS) (G. Hayward 1 AST),"[202683, 202330]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,21.07,Made,2.0,,,,,G. Hayward,202330.0,1.0,,,,,,,,,,,
67,PT04M30.00S,2020-01-09T00:21:28.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1626168,89.48751642575559,58.86948529411765,1610612759,5,24,2020-01-09T00:21:39Z,670000,44.0,46.0,1,right,T. Lyles 7' jumpshot (7 PTS) (B. Forbes 3 AST),"[1626168, 1627854]",1610612759.0,SAS,drivingfloating,,,Lyles,T. Lyles,,,,,6.82,Made,7.0,,,,,B. Forbes,1627854.0,3.0,,,,,,,,,,,
69,PT04M16.00S,2020-01-09T00:21:45.6Z,1,REGULAR,foul,personal,['2freethrow'],1626168,,,1610612738,5,24,2020-01-09T00:21:57Z,690000,,,0,,T. Lyles FOUL personal (1 PF) (Smart 2freethrow),"[1626168, 203935]",1610612759.0,SAS,shooting,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,1628172.0,1.0,0.0,Smart,203935.0,,,
71,PT04M16.00S,2020-01-09T00:22:09.6Z,1,REGULAR,freethrow,1of2,[],203935,,,1610612738,6,24,2020-01-09T00:22:09Z,710000,,,0,,M. Smart freethrow 1of2 (1 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
72,PT04M16.00S,2020-01-09T00:22:31.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,6,24,2020-01-09T00:22:31Z,720000,,,0,,timeout full,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M16.00S,2020-01-09T00:24:29.5Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,6,24,2020-01-09T00:24:50Z,730000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M16.00S,2020-01-09T00:24:29.5Z,1,REGULAR,substitution,out,[],202330,,,1610612738,6,24,2020-01-09T00:24:50Z,740000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M16.00S,2020-01-09T00:24:29.5Z,1,REGULAR,substitution,out,[],1627749,,,1610612738,6,24,2020-01-09T00:24:50Z,750000,,,0,,substitution out Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M16.00S,2020-01-09T00:24:29.5Z,1,REGULAR,substitution,out,[],1627854,,,1610612738,6,24,2020-01-09T00:24:50Z,760000,,,0,,substitution out Forbes,[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,,,,,,,
