actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
65,PT06M20.00S,2020-09-07T22:53:35.1Z,1,REGULAR,turnover,outofbounds,[],1627832,,,1610612761,5,11,2020-09-07T22:53:39Z,650000,,,0,,F. VanVleet TURNOVER outofbounds (1 TOV),[1627832],1610612761.0,TOR,lostball,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,201640.0,1.0,,,,,,,,,
66,PT06M20.00S,2020-09-07T22:53:41.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,5,11,2020-09-07T22:53:41Z,660000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M20.00S,2020-09-07T22:56:44.3Z,1,REGULAR,substitution,out,[],1627832,,,1610612738,5,11,2020-09-07T22:57:18Z,670000,,,0,,substitution out VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M20.00S,2020-09-07T22:56:44.3Z,1,REGULAR,substitution,in,[],1626181,,,1610612738,5,11,2020-09-07T22:57:18Z,680000,,,0,,substitution in Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M01.00S,2020-09-07T22:57:39.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1628369,89.56964520367937,51.53952205882353,1610612738,5,11,2020-09-07T22:57:45Z,690000,8.0,46.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,5.16,Missed,,,,,,,,,,,,,,,,,,,
70,PT05M59.00S,2020-09-07T22:57:41.7Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,5,11,2020-09-07T22:59:31Z,700000,,,0,,M. Gasol REBOUND (Off:0 Def:4),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,69.0,4.0,4.0,0.0,,,,,,,,,,,
71,PT05M58.00S,2020-09-07T22:57:46.2Z,1,REGULAR,foul,offensive,[],1626181,,,1610612761,5,11,2020-09-07T22:57:52Z,710000,,,0,,N. Powell FOUL offensive (1 PF),"[1626181, 202689]",1610612761.0,TOR,charge,,,Powell,N. Powell,,,,,,,,,,,,,,,2715.0,,1.0,0.0,Walker,202689.0,,,,,
73,PT05M58.00S,2020-09-07T22:57:46.2Z,1,REGULAR,turnover,offensivefoul,[],1626181,,,1610612761,5,11,2020-09-07T22:57:46Z,730000,,,0,,N. Powell TURNOVER offensivefoul (1 TOV),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,2715.0,1.0,,,,,,,,,
74,PT05M44.00S,2020-09-07T22:58:14.2Z,1,REGULAR,3pt,jumpshot,['fromturnover'],203935,82.34231274638634,4.4806985294117645,1610612738,5,14,2020-09-07T22:58:17Z,740000,-228.0,113.0,1,right,M. Smart 26' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.68,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
76,PT05M22.00S,2020-09-07T22:58:35.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201188,7.5722733245729295,52.27481617647059,1610612761,5,14,2020-09-07T22:58:38Z,760000,-11.0,19.0,1,left,MISS M. Gasol layup,[201188],1610612761.0,TOR,cutting,,,Gasol,M. Gasol,,,,,2.68,Missed,,,,,,,,,,,,,,,,,,,
