actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
61,PT06M00.00S,2020-01-05T01:23:20.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,7.440867279894875,52.029718137254896,1610612738,18,8,2020-01-05T01:23:24Z,610000,-10.0,17.0,1,left,J. Tatum layup (6 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,2.5,Made,6.0,J. Brown,1627759.0,1.0,,,,,,,,,,,
63,PT05M45.00S,2020-01-05T01:23:35.1Z,1,REGULAR,turnover,badpass,[],1628976,,,1610612741,18,8,2020-01-05T01:23:38Z,630000,,,0,,W. Carter Jr. TURNOVER badpass (2 TOV) Stolen,"[1628976, 1628369]",1610612741.0,CHI,,,,Carter Jr.,W. Carter Jr.,,,,,2.0,Tatum,1628369.0,,,,,,,,,,,,,,,,,
64,PT05M45.00S,2020-01-05T01:23:35.1Z,1,REGULAR,steal,,[],1628369,,,1610612738,18,8,2020-01-05T01:23:36Z,640000,,,0,,J. Tatum STEAL (2 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M38.00S,2020-01-05T01:23:42.9Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202330,9.280551905387648,95.16697303921569,1610612738,18,11,2020-01-05T01:24:08Z,650000,-226.0,35.0,1,left,G. Hayward 23' 3PT  (5 PTS) (M. Smart 1 AST),"[202330, 203935]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,22.94,Made,5.0,M. Smart,203935.0,1.0,,,,,,,,,,,
67,PT05M36.00S,2020-01-05T01:23:48.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,18,11,2020-01-05T01:23:48Z,670000,,,0,,timeout full,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M36.00S,2020-01-05T01:25:58.8Z,1,REGULAR,substitution,out,[],203107,,,1610612741,18,11,2020-01-05T01:26:25Z,680000,,,0,,substitution out Satoransky,[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M36.00S,2020-01-05T01:25:58.8Z,1,REGULAR,substitution,out,[],1627739,,,1610612741,18,11,2020-01-05T01:26:25Z,690000,,,0,,substitution out Dunn,[1627739],1610612741.0,CHI,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M36.00S,2020-01-05T01:25:58.8Z,1,REGULAR,substitution,out,[],1628464,,,1610612741,18,11,2020-01-05T01:26:25Z,700000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M36.00S,2020-01-05T01:25:58.8Z,1,REGULAR,substitution,out,[],203935,,,1610612741,18,11,2020-01-05T01:26:25Z,710000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M36.00S,2020-01-05T01:25:58.8Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,18,11,2020-01-05T01:26:25Z,720000,,,0,,substitution in White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
