actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,stealPlayerName,stealPersonId,stealTotal,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,blockPersonId,blockPlayerName,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId
509,PT00M03.10S,2020-08-05T00:35:40Z,3,REGULAR,rebound,offensive,,"['deadball', 'team']",0,,,1610612748,90,80,0001-01-01T00:00:00,5060000,250,-52,left,HEAT Rebound,[],1610612748,MIA,0,,,,,,,,,,,,0.0,0.0,0.0,508.0,,,,,,,,,,,,,,
510,PT00M03.10S,2020-08-05T00:35:41Z,3,REGULAR,substitution,out,,[],201609,,,1610612748,90,80,0001-01-01T00:00:00,5070000,0,-80,,SUB: Crowder FOR Dragic,[201609],1610612748,MIA,0,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,PT00M03.10S,2020-08-05T00:35:41Z,3,REGULAR,substitution,out,,[],203482,,,1610612748,90,80,0001-01-01T00:00:00,5080000,0,-80,,SUB: Adebayo FOR Olynyk,[203482],1610612748,MIA,0,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,PT00M03.10S,2020-08-05T00:36:06Z,3,REGULAR,freethrow,2of2,,['2ndchance'],1627884,,,1610612748,91,80,0001-01-01T00:00:00,5110000,250,-52,left,Jones Jr. Free Throw 2 of 2 (6 PTS),[1627884],1610612748,MIA,0,Jones Jr.,D. Jones Jr.,,,,,,,6.0,Made,,,,,,,,,,,,,,,,,,,
515,PT00M00.00S,2020-08-05T00:36:12Z,3,REGULAR,3pt,jumpshot,,[],202689,51.46,69.92,1610612738,91,83,2020-08-05T00:36:22,5120000,100,404,right,Walker 42' 3PT Jump Shot (9 PTS),[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,9.0,Made,41.62,,,,,,,,,,,,,,,,,,
517,PT00M00.00S,2020-08-05T00:38:56Z,3,REGULAR,period,end,,[],0,,,1610612748,91,83,0001-01-01T00:00:00,5140000,0,-80,,End of 3rd Period (8:39 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,PT12M00.00S,2020-08-05T00:39:01Z,4,REGULAR,substitution,out,,['startperiod'],203109,,,1610612748,91,83,0001-01-01T00:00:00,5150000,0,-80,,,[203109],1610612748,MIA,0,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,PT12M00.00S,2020-08-05T00:39:01Z,4,REGULAR,substitution,out,,['startperiod'],1628389,,,1610612748,91,83,0001-01-01T00:00:00,5160000,0,-80,,,[1628389],1610612748,MIA,0,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,PT12M00.00S,2020-08-05T00:39:01Z,4,REGULAR,substitution,out,,['startperiod'],202330,,,1610612748,91,83,0001-01-01T00:00:00,5170000,0,-80,,,[202330],1610612738,BOS,0,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,PT12M00.00S,2020-08-05T00:39:53Z,4,REGULAR,period,start,,[],0,,,1610612748,91,83,0001-01-01T00:00:00,5210000,0,-80,,Start of 4th Period (8:40 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,PT11M41.00S,2020-08-05T00:40:12Z,4,REGULAR,2pt,layup,driving,['pointsinthepaint'],201609,6.92,56.93,1610612748,93,83,2020-08-05T00:40:17,5220000,-35,13,left,Dragic 4' Driving Layup (15 PTS) (Olynyk 7 AST),"[201609, 203482]",1610612748,MIA,1,Dragic,G. Dragic,,,,,,,15.0,Made,3.73,,,,,,,,,Olynyk,203482.0,7.0,,,,,,,
527,PT11M22.00S,2020-08-05T00:40:30Z,4,REGULAR,3pt,jumpshot,,[],1628400,69.99,19.43,1610612738,93,83,2020-08-05T00:40:35,5240000,-153,230,right,MISS Ojeleye 28' 3PT Jump Shot,[1628400],1610612738,BOS,1,Ojeleye,S. Ojeleye,,,,,,,0.0,Missed,27.62,,,,,,,,,,,,,,,,,,
528,PT11M20.00S,2020-08-05T00:40:32Z,4,REGULAR,rebound,defensive,,[],1629639,,,1610612748,93,83,2020-08-05T00:40:35,5250000,-153,230,right,Herro REBOUND (Off:0 Def:2),[1629639],1610612748,MIA,0,Herro,T. Herro,,,,,,,,,,2.0,2.0,0.0,527.0,,,,,,,,,,,,,,
529,PT11M11.00S,2020-08-05T00:40:41Z,4,REGULAR,3pt,jumpshot,,[],1629639,17.43,6.2,1610612748,93,83,2020-08-05T00:40:46,5260000,219,111,left,MISS Herro 25' 3PT Jump Shot,[1629639],1610612748,MIA,1,Herro,T. Herro,,,,,,,0.0,Missed,24.55,,,,,,,,,,,,,,,,,,
530,PT11M09.00S,2020-08-05T00:40:43Z,4,REGULAR,rebound,defensive,,[],202954,,,1610612738,93,83,2020-08-05T00:40:46,5270000,219,111,left,Wanamaker REBOUND (Off:0 Def:2),[202954],1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,2.0,2.0,0.0,529.0,,,,,,,,,,,,,,
531,PT10M53.00S,2020-08-05T00:41:00Z,4,REGULAR,2pt,hook,,['pointsinthepaint'],202683,92.33,41.98,1610612738,93,85,2020-08-05T00:41:05,5280000,-40,20,right,Kanter 4' Hook Shot (8 PTS),[202683],1610612738,BOS,1,Kanter,E. Kanter,,,,,,,8.0,Made,4.47,,,,,,,,,,,,,,,,,,
533,PT10M38.00S,2020-08-05T00:41:14Z,4,REGULAR,3pt,jumpshot,,[],1629639,30.04,30.22,1610612748,93,85,2020-08-05T00:41:20,5300000,99,230,left,MISS Herro 25' 3PT Jump Shot,[1629639],1610612748,MIA,1,Herro,T. Herro,,,,,,,0.0,Missed,25.04,,,,,,,,,,,,,,,,,,
