actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
55,PT06M08.00S,2020-09-24T00:56:21.0Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,15,10,2020-09-24T00:57:04Z,550000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M08.00S,2020-09-24T00:56:21.0Z,1,REGULAR,substitution,out,[],201609,,,1610612738,15,10,2020-09-24T00:57:04Z,560000,,,0,,SUB out: G. Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M08.00S,2020-09-24T00:56:21.0Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,15,10,2020-09-24T00:57:04Z,570000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M08.00S,2020-09-24T00:56:21.0Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,15,10,2020-09-24T00:57:04Z,580000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M08.00S,2020-09-24T00:56:21.0Z,1,REGULAR,substitution,in,[],1629639,,,1610612738,15,10,2020-09-24T00:57:04Z,590000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M08.00S,2020-09-24T00:56:21.0Z,1,REGULAR,substitution,in,[],2738,,,1610612738,15,10,2020-09-24T00:57:04Z,600000,,,0,,SUB in: A. Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M08.00S,2020-09-24T00:56:21.0Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,15,10,2020-09-24T00:57:04Z,610000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M08.00S,2020-09-24T00:56:21.0Z,1,REGULAR,substitution,in,[],202330,,,1610612738,15,10,2020-09-24T00:57:04Z,620000,,,0,,SUB in: G. Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M47.00S,2020-09-24T00:57:47.2Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,15,10,2020-09-24T00:57:53Z,630000,,,0,,M. Smart lost ball TURNOVER (1 TOV),"[203935, 1629130]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,1.0,,,,,Robinson,1629130.0,
67,PT05M47.00S,2020-09-24T00:57:47.2Z,1,REGULAR,steal,,[],1629130,,,1610612748,15,10,2020-09-24T00:57:48Z,640000,,,0,,D. Robinson STEAL (1 STL),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
