actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
64,PT05M48.00S,2019-12-13T01:27:00.3Z,1,REGULAR,substitution,out,[],202330,,,1610612755,15,12,2019-12-13T01:29:34Z,640000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M48.00S,2019-12-13T01:27:00.3Z,1,REGULAR,substitution,in,[],1628400,,,1610612755,15,12,2019-12-13T01:29:34Z,650000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M35.00S,2019-12-13T01:30:15.1Z,1,REGULAR,2pt,jumpshot,[],202699,79.31997371879106,68.2061887254902,1610612755,15,12,2019-12-13T01:30:21Z,660000,91.0,142.0,1,right,MISS T. Harris 17' jumpshot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,,,17.32,Missed,,,,,,,,,,,,,,,,,
67,PT05M34.00S,2019-12-13T01:30:16.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,15,12,2019-12-13T01:30:21Z,670000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,
68,PT05M20.00S,2019-12-13T01:30:30.2Z,1,REGULAR,3pt,jumpshot,[],202689,31.09395532194481,30.95128676470588,1610612738,18,12,2019-12-13T01:30:35Z,680000,95.0,240.0,1,left,K. Walker 26' 3PT  (8 PTS) (J. Brown 1 AST),"[202689, 1627759]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,26.31,Made,,,,,8.0,J. Brown,1627759.0,1.0,,,,,,,,,
70,PT04M58.00S,2019-12-13T01:30:51.4Z,1,REGULAR,3pt,jumpshot,[],202699,92.9862023653088,2.5199142156862746,1610612755,18,15,2019-12-13T01:30:54Z,700000,-237.0,13.0,1,right,T. Harris 24' 3PT  (3 PTS) (B. Simmons 1 AST),"[202699, 1627732]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,23.82,Made,,,,,3.0,B. Simmons,1627732.0,1.0,,,,,,,,,
72,PT04M46.00S,2019-12-13T01:31:04.0Z,1,REGULAR,3pt,jumpshot,[],202689,34.11629434954008,56.93167892156863,1610612738,18,15,2019-12-13T01:31:07Z,720000,-35.0,268.0,1,left,MISS K. Walker 28' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,27.59,Missed,,,,,,,,,,,,,,,,,
73,PT04M44.00S,2019-12-13T01:31:06.0Z,1,REGULAR,rebound,defensive,[],203516,,,1610612755,18,15,2019-12-13T01:31:07Z,730000,,,0,,J. Ennis III REBOUND (Off:0 Def:1),[203516],1610612755.0,PHI,,,,Ennis III,J. Ennis III,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,
74,PT04M33.00S,2019-12-13T01:31:18.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612755,18,15,2019-12-13T01:31:33Z,740000,,,0,,J. Tatum FOUL personal (1 PF),"[1628369, 202699]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,2534.0,,,,,,,,,,,,1.0,0.0,Harris,202699.0,,,,,
76,PT04M33.00S,2019-12-13T01:31:26.0Z,1,REGULAR,substitution,out,[],1627759,,,1610612755,18,15,2019-12-13T01:31:43Z,760000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M33.00S,2019-12-13T01:31:26.0Z,1,REGULAR,substitution,out,[],1628464,,,1610612755,18,15,2019-12-13T01:31:43Z,770000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M33.00S,2019-12-13T01:31:26.0Z,1,REGULAR,substitution,in,[],202683,,,1610612755,18,15,2019-12-13T01:31:43Z,780000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M33.00S,2019-12-13T01:31:26.0Z,1,REGULAR,substitution,in,[],1629750,,,1610612755,18,15,2019-12-13T01:31:43Z,790000,,,0,,substitution in Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M26.00S,2019-12-13T01:31:54.0Z,1,REGULAR,3pt,jumpshot,[],202699,73.80091984231275,16.735600490196077,1610612755,18,15,2019-12-13T01:32:00Z,800000,-166.0,194.0,1,right,MISS T. Harris 26' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,25.96,Missed,,,,,,,,,,,,,,,,,
81,PT04M25.00S,2019-12-13T01:31:55.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,18,15,2019-12-13T01:32:00Z,810000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,
82,PT04M25.00S,2019-12-13T01:31:59.5Z,1,REGULAR,foul,personal,[],203516,,,1610612738,18,15,2019-12-13T01:32:12Z,820000,,,0,,J. Ennis III FOUL personal (1 PF),"[203516, 1629750]",1610612755.0,PHI,looseball,,,Ennis III,J. Ennis III,,,,,1627961.0,,,,,,,,,,,,1.0,0.0,Green,1629750.0,,,,,
84,PT04M16.00S,2019-12-13T01:32:18.8Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],202683,5.732588699080158,52.029718137254896,1610612738,20,15,2019-12-13T01:32:48Z,840000,-10.0,1.0,1,left,E. Kanter dunk (2 PTS) (K. Walker 1 AST),"[202683, 202689]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,1.22,Made,,,,,2.0,K. Walker,202689.0,1.0,,,,,,,,,
86,PT04M00.00S,2019-12-13T01:32:34.0Z,1,REGULAR,3pt,jumpshot,[],203516,83.78777923784494,3.2552083333333335,1610612755,20,15,2019-12-13T01:32:40Z,860000,-234.0,100.0,1,right,MISS J. Ennis III 26' 3PT,[203516],1610612755.0,PHI,,,,Ennis III,J. Ennis III,,,,,,,25.64,Missed,,,,,,,,,,,,,,,,,
87,PT03M59.00S,2019-12-13T01:32:37.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,20,15,2019-12-13T01:32:37Z,870000,,,0,,Team offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,
