actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
408,PT04M19.00S,2020-09-28T01:15:07.8Z,3,REGULAR,substitution,in,[],202954,,,1610612738,82,74,2020-09-28T01:15:34Z,4010000,,,0,,SUB in: B. Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
409,PT04M19.00S,2020-09-28T01:15:07.8Z,3,REGULAR,substitution,in,[],1629684,,,1610612738,82,74,2020-09-28T01:15:34Z,4020000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
410,PT03M54.00S,2020-09-28T01:16:27.9Z,3,REGULAR,3pt,jumpshot,[],1628369,33.065045992115635,37.8140318627451,1610612738,82,74,2020-09-28T01:16:43Z,4030000,61.0,258.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,27.07,Missed,,,,,,,,,,,,,,,,,,
411,PT03M53.00S,2020-09-28T01:16:28.9Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612748,82,74,2020-09-28T01:16:43Z,4040000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,,,
412,PT03M53.00S,2020-09-28T01:16:33.6Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,82,74,2020-09-28T01:16:33Z,4050000,,,0,,Stoppage out-of-bounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,PT03M35.00S,2020-09-28T01:17:00.5Z,3,REGULAR,3pt,jumpshot,[],1629130,72.35545335085413,82.421875,1610612748,82,74,2020-09-28T01:17:04Z,4060000,162.0,207.0,1,right,MISS D. Robinson 27' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,26.76,Missed,,,,,,,,,,,,,,,,,,
414,PT03M34.00S,2020-09-28T01:17:01.5Z,3,REGULAR,rebound,defensive,[],1629684,,,1610612738,82,74,2020-09-28T01:17:07Z,4070000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,413.0,1.0,1.0,0.0,,,,,,,,,,,,,,
415,PT03M25.00S,2020-09-28T01:17:10.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202689,6.783837056504599,47.127757352941174,1610612738,82,76,2020-09-28T01:17:13Z,4080000,14.0,11.0,1,left,K. Walker Layup (11 PTS) (J. Tatum 10 AST),"[202689, 1628369]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.21,Made,,,,,,,,,,11.0,,,,,,J. Tatum,1628369.0,10.0
417,PT03M00.00S,2020-09-28T01:17:35.8Z,3,REGULAR,2pt,Jump Shot,[],1629639,75.50919842312747,47.372855392156865,1610612748,84,76,2020-09-28T01:17:39Z,4100000,-13.0,178.0,1,right,T. Herro 18' Jump Shot (8 PTS) (J. Butler 7 AST),"[1629639, 202710]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,18.37,Made,,,,,,,,,,8.0,,,,,,J. Butler,202710.0,7.0
419,PT02M49.00S,2020-09-28T01:17:53.2Z,3,REGULAR,turnover,out-of-bounds,[],202954,,,1610612738,84,76,2020-09-28T01:18:03Z,4120000,,,0,,B. Wanamaker out-of-bounds TURNOVER (1 TOV),[202954],1610612738.0,BOS,badpass,,,Wanamaker,B. Wanamaker,,,,,,,,,,,1830.0,,,,,,,,1.0,,,,,
