actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,blockTotal,subsInPlayerName,subsInPersonId,value
658,PT02M16.00S,2020-02-12T05:03:32.5Z,4,REGULAR,3pt,jumpshot,[],201566,66.3107752956636,28.255208333333332,1610612745,113,98,2020-02-12T05:03:36Z,6500000,right,[HOU] Westbrook 3pt jumpshot: Missed,[201566],1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,29.08,: Missed,,,,,,,,,,,,,,,,,,,,,,,
659,PT02M12.00S,2020-02-12T05:03:36.5Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,113,98,2020-02-12T05:03:36Z,6510000,,[BOS] Tatum defensive rebound (Off:1 Def:8),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,658.0,,,,,9.0,8.0,1.0,,,,,,,,,,,
660,PT02M08.00S,2020-02-12T05:03:41.7Z,4,REGULAR,turnover,outofbounds,[],202330,,,1610612738,113,98,2020-02-12T05:03:48Z,6520000,,[BOS] Hayward outofbounds turnover (2 TO),[202330],1610612738.0,BOS,badpass,,,Hayward,G. Hayward,,,,,,,,,,,,2.0,,,,,,,201639.0,,,,,,,,,,
661,PT02M08.00S,2020-02-12T05:04:04.8Z,4,REGULAR,timeout,full,['team'],0,,,1610612745,113,98,2020-02-12T05:04:13Z,6530000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,PT02M08.00S,2020-02-12T05:04:58.5Z,4,REGULAR,substitution,out,[],1628369,,,1610612745,113,98,2020-02-12T05:05:21Z,6540000,,[BOS] substitution Tatum replaced by Ojeleye,"[1628369, 1628400]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,,Ojeleye,1628400.0,
663,PT02M08.00S,2020-02-12T05:04:58.5Z,4,REGULAR,substitution,out,[],202689,,,1610612745,113,98,2020-02-12T05:05:21Z,6550000,,[BOS] substitution Walker replaced by Langford,"[202689, 1629641]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,Langford,1629641.0,
664,PT02M08.00S,2020-02-12T05:04:58.5Z,4,REGULAR,substitution,out,[],202330,,,1610612745,113,98,2020-02-12T05:05:21Z,6560000,,[BOS] substitution Hayward replaced by Wanamaker,"[202330, 202954]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,Wanamaker,202954.0,
665,PT02M08.00S,2020-02-12T05:04:58.5Z,4,REGULAR,substitution,out,[],203935,,,1610612745,113,98,2020-02-12T05:05:21Z,6570000,,[BOS] substitution Smart replaced by Edwards,"[203935, 1629035]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,,Edwards,1629035.0,
666,PT02M08.00S,2020-02-12T05:04:58.5Z,4,REGULAR,substitution,out,[],1628464,,,1610612745,113,98,2020-02-12T05:05:21Z,6580000,,[BOS] substitution Theis replaced by Williams,"[1628464, 1629684]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,,Williams,1629684.0,
672,PT01M56.00S,2020-02-12T05:05:52.9Z,4,REGULAR,3pt,jumpshot,['fromturnover'],201935,66.5735873850197,46.63756127450981,1610612745,116,98,2020-02-12T05:06:04Z,6640000,right,[HOU] Harden 3pt shot: Made (42 PTS),[201935],1610612745.0,HOU,stepback,,,Harden,J. Harden,,,,,26.77,: Made,42.0,,,,,,,,,,,,,,,,,,,,,,
673,PT01M41.00S,2020-02-12T05:06:13.0Z,4,REGULAR,3pt,jumpshot,[],1629684,6.783837056504599,97.86305147058823,1610612738,116,101,2020-02-12T05:06:19Z,6650000,left,[BOS] Williams 3pt shot: Made (5 PTS) assist: Wanamaker (3 AST),"[1629684, 202954]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.99,: Made,5.0,Wanamaker,202954.0,3.0,,,,,,,,,,,,,,,,,,,
