actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
60,PT07M26.00S,2022-05-13T23:57:05.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201572,92.9862023653088,50.49019607843137,1610612749,10,15,2022-05-14T00:02:02Z,600000,2.0,13.0,1,right,B. Lopez turnaround Hook (2 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,turnaround,,,Lopez,B. Lopez,,,,,1.36,Made,2.0,,,,,,,,,,G. Antetokounmpo,203507.0,1.0,,,,,,
62,PT07M11.00S,2022-05-13T23:57:20.1Z,1,REGULAR,2pt,Jump Shot,[],1628369,28.86005256241787,41.17647058823529,1610612738,10,15,2022-05-14T00:02:34Z,620000,44.0,219.0,1,left,MISS J. Tatum 22' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,22.32,Missed,,,,,,,,,,,,,,,,,,,
63,PT07M08.00S,2022-05-13T23:57:23.7Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,10,15,2022-05-13T23:57:23Z,630000,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,,,
64,PT07M03.00S,2022-05-13T23:57:28.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,28.597240473061763,77.45098039215686,1610612738,10,15,2022-05-13T23:57:33Z,640000,-137.0,216.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M59.00S,2022-05-13T23:57:32.1Z,1,REGULAR,rebound,defensive,[],202083,,,1610612749,10,15,2022-05-13T23:57:33Z,650000,,,0,,W. Matthews REBOUND (Off:0 Def:2),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT06M50.00S,2022-05-13T23:57:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626192,91.80354796320631,57.107843137254896,1610612749,12,15,2022-05-13T23:57:46Z,660000,36.0,25.0,1,right,P. Connaughton driving Layup (2 PTS) (J. Holiday 1 AST),"[1626192, 201950]",1610612749.0,MIL,driving,,,Connaughton,P. Connaughton,,,,,4.31,Made,2.0,,,,,,,,,,J. Holiday,201950.0,1.0,,,,,,
68,PT06M35.00S,2022-05-13T23:57:56.4Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,12,15,2022-05-13T23:58:02Z,680000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 201572]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1.0,Lopez,201572.0,,,
69,PT06M35.00S,2022-05-13T23:57:56.4Z,1,REGULAR,steal,,[],201572,,,1610612749,12,15,2022-05-13T23:57:58Z,690000,,,0,,B. Lopez STEAL (1 STL),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M24.00S,2022-05-13T23:58:07.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203507,92.32917214191852,54.166666666666664,1610612749,14,15,2022-05-13T23:58:12Z,700000,21.0,20.0,1,right,G. Antetokounmpo driving Layup (10 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,2.86,Made,10.0,,,,,,,,,,,,,,,,,,
71,PT06M24.00S,2022-05-13T23:58:14.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,15,2022-05-13T23:58:14Z,710000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
