actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,value,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
73,PT06M03.00S,2022-04-23T23:56:52.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612751,14,15,2022-04-23T23:59:30Z,630000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M03.00S,2022-04-23T23:56:52.2Z,1,REGULAR,substitution,in,[],1628401,,,1610612751,14,15,2022-04-23T23:59:30Z,640000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M54.00S,2022-04-24T00:00:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,5.863994743758213,46.32352941176471,1610612751,16,15,2022-04-24T00:00:06Z,650000,18.0,3.0,1,left,K. Irving driving Layup (6 PTS),[202681],1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,,,,,,1.86,Made,,,,,,,,,6.0,,,,,
76,PT05M35.00S,2022-04-24T00:00:19.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,82.07950065703022,51.9607843137255,1610612738,16,17,2022-04-24T00:00:25Z,660000,10.0,116.0,1,right,J. Brown 11' turnaround fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,,,,,,11.64,Made,,,,,,,,,2.0,,,,,
77,PT05M18.00S,2022-04-24T00:00:38.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,6.1268068331143235,48.529411764705884,1610612751,18,17,2022-04-24T00:01:33Z,670000,7.0,5.0,1,left,N. Claxton alley-oop DUNK (2 PTS) (K. Irving 1 AST),"[1629651, 202681]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,,,,,,0.9,Made,,,,,,,,,2.0,K. Irving,202681.0,1.0,,
79,PT05M09.00S,2022-04-24T00:00:46.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.46452036793693,24.754901960784316,1610612738,18,17,2022-04-24T00:00:51Z,690000,-126.0,235.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,26.63,Missed,,,,,,,,,,,,,,
80,PT05M09.00S,2022-04-24T00:00:46.1Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,18,17,2022-04-24T00:00:51Z,700000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,79.0,1.0,0.0,1.0,,,,,,,,,,
81,PT04M58.00S,2022-04-24T00:01:00.5Z,1,REGULAR,foul,personal,[],203552,,,1610612738,18,17,2022-04-24T00:01:29Z,710000,,,0,,S. Curry personal FOUL (1 PF),"[203552, 1629684]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,200834.0,1.0,0.0,Williams,1629684.0,,,,,,,,,,,,,,,,
83,PT04M58.00S,2022-04-24T00:01:08.7Z,1,REGULAR,substitution,out,[],1628971,,,1610612738,18,17,2022-04-24T00:01:13Z,730000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M58.00S,2022-04-24T00:01:08.7Z,1,REGULAR,substitution,in,[],201609,,,1610612738,18,17,2022-04-24T00:01:13Z,740000,,,0,,SUB in: G. Dragic,[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M51.00S,2022-04-24T00:01:33.1Z,1,REGULAR,violation,kicked ball,[],203552,,,1610612738,18,17,2022-04-24T00:01:37Z,750000,,,0,,S. Curry kicked ball VIOLATION,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,200834.0,,,,,,,,,,,,,,,,,,,,
86,PT04M41.00S,2022-04-24T00:01:52.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629684,92.9862023653088,44.85294117647059,1610612738,18,19,2022-04-24T00:01:57Z,760000,-26.0,13.0,1,right,G. Williams cutting Layup (2 PTS) (A. Horford 1 AST),"[1629684, 201143]",1610612738.0,BOS,cutting,,,Williams,G. Williams,,,,,,,,,,2.9,Made,,,,,,,,,2.0,A. Horford,201143.0,1.0,,
