actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
65,PT06M51.00S,2022-05-15T19:53:10.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,13,2022-05-15T20:19:11Z,650000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,64.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
66,PT06M44.00S,2022-05-15T19:53:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,7.178055190538765,49.754901960784316,1610612738,11,13,2022-05-15T19:53:24Z,660000,1.0,15.0,1,left,J. Brown driving Layup (5 PTS) (M. Smart 3 AST),"[1627759, 203935]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.5,Made,,5.0,M. Smart,203935.0,3.0,,,,,,,,,,,,,,
68,PT06M29.00S,2022-05-15T19:53:33.2Z,1,REGULAR,turnover,lost ball,[],202083,,,1610612749,11,13,2022-05-15T19:53:37Z,680000,,,0,,W. Matthews lost ball TURNOVER (1 TO),"[202083, 1627759]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,1.0,,,Brown,1627759.0,
69,PT06M29.00S,2022-05-15T19:53:33.2Z,1,REGULAR,steal,,[],1627759,,,1610612738,11,13,2022-05-15T19:53:53Z,690000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M20.00S,2022-05-15T19:53:42.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,31.882391590013142,34.31372549019608,1610612738,11,13,2022-05-15T19:53:47Z,700000,78.0,247.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M17.00S,2022-05-15T19:53:45.3Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,11,13,2022-05-15T19:53:47Z,710000,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,70.0,,,,,2.0,2.0,0.0,,,,,,,,,,,
72,PT06M03.00S,2022-05-15T19:53:59.1Z,1,REGULAR,2pt,Jump Shot,[],201572,79.45137976346912,38.72549019607843,1610612749,11,15,2022-05-15T19:54:03Z,720000,-56.0,141.0,1,right,B. Lopez 15' fadeaway Jump Shot (5 PTS) (G. Antetokounmpo 4 AST),"[201572, 203507]",1610612749.0,MIL,fadeaway,,,Lopez,B. Lopez,,,,,15.16,Made,,5.0,G. Antetokounmpo,203507.0,4.0,,,,,,,,,,,,,,
74,PT05M47.00S,2022-05-15T19:54:14.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,23.209592641261498,11.029411764705882,1610612738,11,15,2022-05-15T19:54:19Z,740000,195.0,166.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,,
75,PT05M44.00S,2022-05-15T19:54:17.9Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,11,15,2022-05-15T19:54:19Z,750000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,74.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
76,PT05M39.00S,2022-05-15T19:54:23.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201572,71.04139290407359,8.333333333333332,1610612749,11,15,2022-05-15T19:54:29Z,760000,-208.0,220.0,1,right,MISS B. Lopez 30' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,30.27,Missed,,,,,,,,,,,,,,,,,,,
