actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
62,PT07M37.00S,2022-04-25T23:11:53.4Z,1,REGULAR,steal,,[],1629651,,,1610612751,7,10,2022-04-25T23:11:55Z,620000,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M31.00S,2022-04-25T23:11:59.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201142,4.944152431011826,95.83333333333334,1610612751,10,10,2022-04-25T23:12:11Z,630000,-229.0,-6.0,1,left,K. Durant 3PT  (7 PTS) (G. Dragic 1 AST),"[201142, 201609]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,22.93,Made,,,,,,,,,,7.0,G. Dragic,201609.0,1.0,,,,,,
65,PT07M20.00S,2022-04-25T23:12:13.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201142,,,1610612738,10,10,2022-04-25T23:12:28Z,650000,,,0,,K. Durant personal FOUL (2 PF) (Tatum 2 FT),"[201142, 1628369]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,2882.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,
67,PT07M20.00S,2022-04-25T23:12:34.6Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,10,11,2022-04-25T23:12:34Z,670000,,,0,,J. Tatum Free Throw 1 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
68,PT07M20.00S,2022-04-25T23:12:54.6Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,10,12,2022-04-25T23:12:54Z,680000,,,0,,J. Tatum Free Throw 2 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
69,PT07M02.00S,2022-04-25T23:13:13.9Z,1,REGULAR,2pt,Jump Shot,[],201988,16.63929040735874,24.509803921568626,1610612751,12,12,2022-04-25T23:13:18Z,690000,127.0,104.0,1,left,P. Mills 16' fadeaway Jump Shot (2 PTS) (N. Claxton 1 AST),"[201988, 1629651]",1610612751.0,BKN,fadeaway,,,Mills,P. Mills,,,,,16.45,Made,,,,,,,,,,2.0,N. Claxton,1629651.0,1.0,,,,,,
70,PT06M48.00S,2022-04-25T23:13:27.4Z,1,REGULAR,3pt,Jump Shot,[],201143,92.59198423127464,94.85294117647058,1610612738,12,15,2022-04-25T23:13:35Z,700000,224.0,17.0,1,right,A. Horford 3PT  (5 PTS) (J. Tatum 2 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,22.5,Made,,,,,,,,,,5.0,J. Tatum,1628369.0,2.0,,,,,,
72,PT06M36.00S,2022-04-25T23:13:41.6Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612751,12,15,2022-04-25T23:17:28Z,720000,,,0,,A. Horford shooting personal FOUL (2 PF) (Claxton 2 FT),"[201143, 1629651]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,1162.0,2.0,0.0,Claxton,1629651.0,,,,,,,,,,
74,PT06M36.00S,2022-04-25T23:13:53.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,12,15,2022-04-25T23:13:53Z,740000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M36.00S,2022-04-25T23:13:56.5Z,1,REGULAR,substitution,out,[],201143,,,1610612751,12,15,2022-04-25T23:17:18Z,750000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
