actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
65,PT07M29.00S,2022-04-20T23:25:35.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,6,11,2022-04-20T23:25:35Z,650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M24.00S,2022-04-20T23:25:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.59198423127464,53.18627450980392,1610612738,6,11,2022-04-20T23:25:56Z,660000,16.0,17.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.33,Missed,,,,,,,,,,,,,,,,,,,
67,PT07M22.00S,2022-04-20T23:25:53.9Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,6,11,2022-04-20T23:25:56Z,670000,,,0,,K. Irving REBOUND (Off:0 Def:2),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,,,,,,,,
68,PT07M12.00S,2022-04-20T23:26:06.0Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612751,6,11,2022-04-20T23:26:14Z,680000,,,0,,K. Irving lost ball out-of-bounds TURNOVER (1 TO),[202681],1610612751.0,BKN,lost ball,,,Irving,K. Irving,,,,,,,,,,,2715.0,1.0,,,,,,,,,,,,,
69,PT07M04.00S,2022-04-20T23:26:20.0Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,6,11,2022-04-20T23:26:23Z,690000,,,0,,J. Brown bad pass TURNOVER (2 TO),"[1627759, 201142]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,2.0,,,,,,,,,,,Durant,201142.0,
70,PT07M04.00S,2022-04-20T23:26:20.0Z,1,REGULAR,steal,,[],201142,,,1610612751,6,11,2022-04-20T23:26:21Z,700000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M59.00S,2022-04-20T23:26:25.4Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",202681,18.347568988173457,71.81372549019608,1610612751,6,13,2022-04-20T23:26:34Z,710000,-109.0,120.0,1,left,K. Irving 16' Jump Shot (2 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,16.22,Made,2.0,,,,,,,,,,,,,,,,,,
72,PT06M41.00S,2022-04-20T23:26:42.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,92.72339027595268,50.73529411764706,1610612738,8,13,2022-04-20T23:26:47Z,720000,4.0,16.0,1,right,D. Theis cutting DUNK (4 PTS) (M. Smart 1 AST),"[1628464, 203935]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,1.63,Made,4.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
74,PT06M28.00S,2022-04-20T23:26:55.6Z,1,REGULAR,3pt,Jump Shot,[],1628971,15.456636005256241,3.1862745098039214,1610612751,8,16,2022-04-20T23:27:00Z,740000,234.0,93.0,1,left,B. Brown 25' 3PT  (12 PTS) (A. Drummond 1 AST),"[1628971, 203083]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,25.18,Made,12.0,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,,
76,PT06M10.00S,2022-04-20T23:27:13.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,79.05716162943496,7.107843137254902,1610612738,8,16,2022-04-20T23:27:18Z,760000,-214.0,144.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
77,PT06M09.00S,2022-04-20T23:27:14.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,8,16,2022-04-20T23:27:18Z,770000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,
78,PT06M01.00S,2022-04-20T23:27:25.3Z,1,REGULAR,foul,personal,[],1628464,,,1610612751,8,16,2022-04-20T23:27:35Z,780000,,,0,,D. Theis personal FOUL (2 PF),"[1628464, 201142]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,2715.0,,,,,,2.0,0.0,Durant,201142.0,,,,,
80,PT06M01.00S,2022-04-20T23:27:35.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612751,8,16,2022-04-20T23:27:45Z,800000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M01.00S,2022-04-20T23:27:35.2Z,1,REGULAR,substitution,out,[],1628464,,,1610612751,8,16,2022-04-20T23:27:45Z,810000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M01.00S,2022-04-20T23:27:35.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612751,8,16,2022-04-20T23:27:45Z,820000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M01.00S,2022-04-20T23:27:35.2Z,1,REGULAR,substitution,in,[],1628401,,,1610612751,8,16,2022-04-20T23:27:45Z,830000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M54.00S,2022-04-20T23:27:59.9Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612751,8,16,2022-04-20T23:28:07Z,840000,,,0,,G. Williams shooting personal FOUL (1 PF) (Durant 2 FT),"[1629684, 201142]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,204059.0,,,,,,1.0,0.0,Durant,201142.0,,,,,
86,PT05M54.00S,2022-04-20T23:28:22.1Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,8,17,2022-04-20T23:28:22Z,860000,,,0,,K. Durant Free Throw 1 of 2 (3 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
