actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
55,PT06M13.00S,2022-05-26T00:55:31.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,91.01511169513797,55.63725490196079,1610612748,4,7,2022-05-26T00:58:17Z,550000,28.0,32.0,1,right,MISS J. Butler finger roll Layup,[202710],1610612748.0,MIA,finger roll,,,Butler,J. Butler,,,,,4.27,Missed,,,,,,,,,,,,,,,,,,
56,PT06M07.00S,2022-05-26T00:55:38.3Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,4,7,2022-05-26T00:55:38Z,560000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,55.0,1.0,0.0,1.0,,,,,,,,,,,,,,
57,PT06M07.00S,2022-05-26T00:55:38.3Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628389,94.40999984741211,50.0,1610612748,6,7,2022-05-26T00:55:45Z,570000,0.0,0.0,1,right,B. Adebayo tip DUNK (4 PTS),[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,0.0,Made,,,,,,,,,,4.0,,,,,,,,
58,PT06M03.00S,2022-05-26T00:55:42.8Z,1,REGULAR,2pt,Jump Shot,[],1628369,19.92444152431012,67.15686274509804,1610612738,6,7,2022-05-26T00:58:36Z,580000,-86.0,135.0,1,left,MISS J. Tatum 15' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,15.98,Missed,,,,,,,,,,,,,,,,,,
59,PT06M03.00S,2022-05-26T00:55:42.8Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,6,7,2022-05-26T00:55:50Z,590000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,
60,PT05M44.00S,2022-05-26T00:56:01.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,92.06636005256242,37.745098039215684,1610612748,6,7,2022-05-26T01:00:45Z,600000,-61.0,22.0,1,right,MISS B. Adebayo 6' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,6.52,Missed,,,,,,,,,,,,,,,,,,
61,PT05M42.00S,2022-05-26T00:56:03.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,7,2022-05-26T00:56:05Z,610000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT05M39.00S,2022-05-26T00:56:07.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201143,6.389618922470433,47.30392156862745,1610612738,6,9,2022-05-26T00:59:50Z,620000,13.0,8.0,1,left,A. Horford running alley-oop Layup (2 PTS) (D. White 1 AST),"[201143, 1628401]",1610612738.0,BOS,running alley-oop,,,Horford,A. Horford,,,,,1.55,Made,,,,,,,,,,2.0,D. White,1628401.0,1.0,,,,,
64,PT05M25.00S,2022-05-26T00:56:21.2Z,1,REGULAR,3pt,Jump Shot,[],200782,78.53153745072274,6.61764705882353,1610612748,6,9,2022-05-26T00:56:26Z,640000,-217.0,149.0,1,right,MISS P. Tucker 26' 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,
65,PT05M22.00S,2022-05-26T00:56:23.5Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,6,9,2022-05-26T00:56:23Z,650000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,64.0,4.0,3.0,1.0,,,,,,,,,,,,,,
66,PT05M18.00S,2022-05-26T00:56:29.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628401,8.623521681997373,48.28431372549019,1610612738,6,11,2022-05-26T00:59:21Z,660000,9.0,29.0,1,left,D. White driving floating Jump Shot (4 PTS) (J. Tatum 2 AST),"[1628401, 1628369]",1610612738.0,BOS,driving floating,,,White,D. White,,,,,2.99,Made,,,,,,,,,,4.0,J. Tatum,1628369.0,2.0,,,,,
