actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
67,PT07M02.00S,2022-06-11T01:15:54.2Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,12,6,2022-06-11T01:15:58Z,670000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M02.00S,2022-06-11T01:15:54.2Z,1,REGULAR,substitution,in,[],201143,,,1610612738,12,6,2022-06-11T01:15:58Z,680000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M41.00S,2022-06-11T01:16:22.9Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,12,6,2022-06-11T01:17:15Z,690000,,,0,,J. Tatum offensive FOUL (1 PF),"[1628369, 203952]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,1148.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,
71,PT06M41.00S,2022-06-11T01:16:22.9Z,1,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,12,6,2022-06-11T01:16:22Z,710000,,,0,,J. Tatum offensive foul TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,1148.0,,,,,,1.0,,,,,,,
72,PT06M41.00S,2022-06-11T01:16:36.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,12,6,2022-06-11T01:16:36Z,720000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M27.00S,2022-06-11T01:20:34.7Z,1,REGULAR,turnover,double dribble,[],202691,,,1610612744,12,6,2022-06-11T01:20:42Z,740000,,,0,,K. Thompson double dribble TURNOVER (1 TO),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,201640.0,,,,,,1.0,,,,,,,
75,PT06M12.00S,2022-06-11T01:21:05.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,91.27792378449409,36.51960784313725,1610612738,12,6,2022-06-11T01:21:11Z,750000,-67.0,29.0,1,right,MISS J. Brown 7' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,7.36,Missed,,,,,,,,,,,,,,,,,,
76,PT06M09.00S,2022-06-11T01:21:08.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,12,6,2022-06-11T01:21:11Z,760000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,75.0,,2.0,1.0,1.0,,,,
77,PT06M03.00S,2022-06-11T01:21:15.1Z,1,REGULAR,3pt,Jump Shot,[],202691,30.17411300919842,26.225490196078432,1610612744,12,9,2022-06-11T01:21:19Z,770000,119.0,231.0,1,left,K. Thompson 25' 3PT  (5 PTS) (D. Green 2 AST),"[202691, 203110]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,25.99,Made,5.0,D. Green,203110.0,2.0,,,,,,,,,,,,,,
79,PT05M46.00S,2022-06-11T01:21:30.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,93.9060446780552,65.44117647058823,1610612738,12,9,2022-06-11T01:21:35Z,790000,77.0,5.0,1,right,MISS D. White 7' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,7.73,Missed,,,,,,,,,,,,,,,,,,
