actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
272,PT01M43.00S,2021-02-10T04:07:17.7Z,2,REGULAR,freethrow,2 of 2,[],204060,,,1610612762,46,43,2021-02-10T04:07:17Z,2680000,,,0,,J. Ingles Free Throw 2 of 2 (11 PTS),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
273,PT01M29.00S,2021-02-10T04:07:34.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,91.14651773981603,38.30422794117647,1610612738,46,45,2021-02-10T04:07:41Z,2690000,-58.0,31.0,1,right,J. Tatum 6' step back Jump Shot (6 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,6.61,Made,,,,,6.0,,,,,,,,,,,,,
274,PT01M07.00S,2021-02-10T04:07:56.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,17.427726675427067,43.69638480392157,1610612762,46,45,2021-02-10T04:09:31Z,2700000,32.0,111.0,1,left,MISS D. Mitchell 11' floating Shot,[1628378],1610612762.0,UTA,floating,,,Mitchell,D. Mitchell,,,,,11.57,Missed,,,,,,,,,,,,,,,,,,
275,PT01M03.00S,2021-02-10T04:08:00.5Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,46,45,2021-02-10T04:08:02Z,2710000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,274.0,3.0,3.0,0.0,,,,,,,,,,,,,,
276,PT00M56.50S,2021-02-10T04:08:07.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,93.64323258869908,58.40226715686274,1610612738,46,45,2021-02-10T04:08:13Z,2720000,42.0,7.0,1,right,MISS T. Thompson Jump Shot - blocked,"[202684, 203497]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,4.26,Missed,,,,,,,,,,,Gobert,203497.0,,,,,,
277,PT00M56.50S,2021-02-10T04:08:07.4Z,2,REGULAR,block,,[],203497,,,1610612738,46,45,2021-02-10T04:08:10Z,2730000,,,0,,R. Gobert BLOCK (2 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
278,PT00M52.50S,2021-02-10T04:08:11.4Z,2,REGULAR,rebound,defensive,[],1628378,,,1610612762,46,45,2021-02-10T04:08:13Z,2740000,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,276.0,2.0,2.0,0.0,,,,,,,,,,,,,,
279,PT00M48.60S,2021-02-10T04:08:15.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202711,10.726018396846255,94.43167892156863,1610612762,46,45,2021-02-10T04:08:26Z,2750000,-222.0,48.0,1,left,MISS B. Bogdanovic step back 3PT,[202711],1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,22.74,Missed,,,,,,,,,,,,,,,,,,
280,PT00M46.50S,2021-02-10T04:08:17.4Z,2,REGULAR,rebound,offensive,[],203497,,,1610612762,46,45,2021-02-10T04:08:26Z,2760000,,,0,,R. Gobert REBOUND (Off:3 Def:4),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,279.0,7.0,4.0,3.0,,,,,,,,,,,,,,
281,PT00M46.50S,2021-02-10T04:08:23.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203497,5.590000152587891,50.0,1610612762,48,45,2021-02-10T04:08:23Z,2770000,0.0,0.0,1,left,R. Gobert tip DUNK (9 PTS),[203497],1610612762.0,UTA,tip,,,Gobert,R. Gobert,,,,,0.0,Made,,,,,9.0,,,,,,,,,,,,,
282,PT00M33.10S,2021-02-10T04:08:39.1Z,2,REGULAR,2pt,Jump Shot,[],1628369,86.94152431011827,69.18658088235294,1610612738,48,45,2021-02-10T04:10:29Z,2780000,96.0,70.0,1,right,MISS J. Tatum 11' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,11.88,Missed,,,,,,,,,,,,,,,,,,
283,PT00M26.90S,2021-02-10T04:08:45.3Z,2,REGULAR,rebound,offensive,[],202684,,,1610612738,48,45,2021-02-10T04:08:47Z,2790000,,,0,,T. Thompson REBOUND (Off:2 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,282.0,4.0,2.0,2.0,,,,,,,,,,,,,,
284,PT00M23.90S,2021-02-10T04:08:49.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,93.64323258869908,46.392463235294116,1610612738,48,47,2021-02-10T04:08:55Z,2800000,-18.0,7.0,1,right,J. Brown driving Layup (20 PTS) (T. Thompson 2 AST),"[1627759, 202684]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.94,Made,,,,,20.0,T. Thompson,202684.0,2.0,,,,,,,,,,
285,PT00M00.00S,2021-02-10T04:09:19.2Z,2,REGULAR,period,end,[],0,,,1610612762,48,47,2021-02-10T04:09:19Z,2810000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT12M00.00S,2021-02-10T04:26:03.3Z,3,REGULAR,period,start,[],0,,,1610612738,48,47,2021-02-10T04:26:03Z,2820000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT11M49.00S,2021-02-10T04:26:14.7Z,3,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612738,48,47,2021-02-10T04:26:36Z,2830000,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Walker 2 FT),"[1628378, 202689]",1610612762.0,UTA,shooting,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,1188.0,,,,,,1.0,0.0,Walker,202689.0
290,PT11M49.00S,2021-02-10T04:26:40.3Z,3,REGULAR,freethrow,1 of 2,[],202689,,,1610612738,48,48,2021-02-10T04:26:40Z,2850000,,,0,,K. Walker Free Throw 1 of 2 (4 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
291,PT11M49.00S,2021-02-10T04:26:59.1Z,3,REGULAR,freethrow,2 of 2,[],202689,,,1610612738,48,49,2021-02-10T04:26:59Z,2860000,,,0,,K. Walker Free Throw 2 of 2 (5 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
292,PT11M36.00S,2021-02-10T04:27:15.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,86.41590013140605,39.77481617647059,1610612762,50,49,2021-02-10T04:27:25Z,2870000,-51.0,75.0,1,right,D. Mitchell 9' driving floating Jump Shot (14 PTS),[1628378],1610612762.0,UTA,driving floating,,,Mitchell,D. Mitchell,,,,,9.09,Made,,,,,14.0,,,,,,,,,,,,,
293,PT11M24.00S,2021-02-10T04:27:27.6Z,3,REGULAR,3pt,Jump Shot,[],202689,24.129434954007884,86.34344362745098,1610612738,50,49,2021-02-10T04:29:19Z,2880000,-182.0,174.0,1,left,MISS K. Walker 25' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,
294,PT11M21.00S,2021-02-10T04:27:30.6Z,3,REGULAR,rebound,defensive,[],203497,,,1610612762,50,49,2021-02-10T04:27:33Z,2890000,,,0,,R. Gobert REBOUND (Off:3 Def:5),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,293.0,8.0,5.0,3.0,,,,,,,,,,,,,,
295,PT11M14.00S,2021-02-10T04:27:38.8Z,3,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612762,50,49,2021-02-10T04:27:53Z,2900000,,,0,,J. Brown shooting personal FOUL (2 PF) (Ingles 2 FT),"[1627759, 204060]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,1188.0,,,,,,2.0,0.0,Ingles,204060.0
297,PT11M14.00S,2021-02-10T04:28:09.7Z,3,REGULAR,freethrow,1 of 2,[],204060,,,1610612762,51,49,2021-02-10T04:28:09Z,2920000,,,0,,J. Ingles Free Throw 1 of 2 (12 PTS),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
298,PT11M14.00S,2021-02-10T04:28:26.4Z,3,REGULAR,freethrow,2 of 2,[],204060,,,1610612762,52,49,2021-02-10T04:28:26Z,2930000,,,0,,J. Ingles Free Throw 2 of 2 (13 PTS),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,Made,,,,,13.0,,,,,,,,,,,,,
299,PT10M57.00S,2021-02-10T04:28:46.5Z,3,REGULAR,3pt,Jump Shot,[],1628464,28.86005256241787,71.6375612745098,1610612738,52,52,2021-02-10T04:28:52Z,2940000,-108.0,219.0,1,left,D. Theis 24' 3PT  (9 PTS) (K. Walker 4 AST),"[1628464, 202689]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,24.41,Made,,,,,9.0,K. Walker,202689.0,4.0,,,,,,,,,,
301,PT10M32.00S,2021-02-10T04:29:13.2Z,3,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612762,52,52,2021-02-10T04:29:20Z,2960000,,,0,,D. Theis shooting personal FOUL (1 PF) (Ingles 2 FT),"[1628464, 204060]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,2148.0,,,,,,1.0,0.0,Ingles,204060.0
303,PT10M32.00S,2021-02-10T04:29:48.3Z,3,REGULAR,freethrow,1 of 2,[],204060,,,1610612762,52,52,2021-02-10T04:29:48Z,2980000,,,0,,MISS J. Ingles Free Throw 1 of 2,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,Missed,,,,,,,,,,,,,,,,,,
304,PT10M32.00S,2021-02-10T04:29:48.3Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,52,52,2021-02-10T04:29:48Z,2990000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,303.0,,,,,,,,,,,,,,,,,
305,PT10M32.00S,2021-02-10T04:30:03.4Z,3,REGULAR,freethrow,2 of 2,[],204060,,,1610612762,53,52,2021-02-10T04:30:03Z,3000000,,,0,,J. Ingles Free Throw 2 of 2 (14 PTS),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,Made,,,,,14.0,,,,,,,,,,,,,
306,PT10M18.00S,2021-02-10T04:30:20.2Z,3,REGULAR,foul,personal,['2freethrow'],203497,,,1610612738,53,52,2021-02-10T04:30:44Z,3010000,,,0,,R. Gobert shooting personal FOUL (2 PF) (Tatum 2 FT),"[203497, 1628369]",1610612762.0,UTA,shooting,,,Gobert,R. Gobert,,,,,,,,,,,,,,,2529.0,,,,,,2.0,0.0,Tatum,1628369.0
308,PT10M18.00S,2021-02-10T04:30:50.4Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,53,52,2021-02-10T04:30:50Z,3030000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT10M18.00S,2021-02-10T04:30:52.0Z,3,REGULAR,instantreplay,challenge,[],0,,,1610612738,53,52,2021-02-10T04:32:17Z,3040000,,,0,,,[],1610612762.0,UTA,stands,,,,,,,,,,,,,,,,,,,2148.0,,,,,,,,,
310,PT10M18.00S,2021-02-10T04:34:16.8Z,3,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,53,53,2021-02-10T04:34:16Z,3050000,,,0,,J. Tatum Free Throw 1 of 2 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
311,PT10M18.00S,2021-02-10T04:34:29.9Z,3,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,53,54,2021-02-10T04:34:30Z,3060000,,,0,,J. Tatum Free Throw 2 of 2 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
312,PT10M07.00S,2021-02-10T04:34:45.0Z,3,REGULAR,2pt,Jump Shot,[],202711,87.07293035479631,66.24540441176471,1610612762,55,54,2021-02-10T04:38:58Z,3070000,81.0,69.0,1,right,B. Bogdanovic 10' fadeaway Jump Shot (6 PTS) (D. Mitchell 4 AST),"[202711, 1628378]",1610612762.0,UTA,fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,10.66,Made,,,,,6.0,D. Mitchell,1628378.0,4.0,,,,,,,,,,
314,PT09M44.00S,2021-02-10T04:35:06.8Z,3,REGULAR,2pt,Jump Shot,[],202689,5.732588699080158,67.47089460784314,1610612738,55,54,2021-02-10T04:35:14Z,3090000,-87.0,1.0,1,left,MISS K. Walker 8' step back Shot,[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,8.74,Missed,,,,,,,,,,,,,,,,,,
315,PT09M44.00S,2021-02-10T04:35:06.8Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612762,55,54,2021-02-10T04:35:38Z,3100000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,314.0,,,,,,,,,,,,,,,,,
317,PT09M44.00S,2021-02-10T04:35:11.2Z,3,REGULAR,foul,personal,[],1628464,,,1610612762,55,54,2021-02-10T04:35:39Z,3120000,,,0,,D. Theis loose ball personal FOUL (2 PF),"[1628464, 202711]",1610612738.0,BOS,loose ball,,,Theis,D. Theis,,,,,,,,,,,,,,,2148.0,,,,,,2.0,0.0,Bogdanovic,202711.0
320,PT09M27.00S,2021-02-10T04:35:55.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,92.32917214191852,35.11795343137255,1610612762,57,54,2021-02-10T04:36:08Z,3150000,-74.0,20.0,1,right,B. Bogdanovic 7' Jump Shot (8 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,7.69,Made,,,,,8.0,,,,,,,,,,,,,
321,PT09M05.00S,2021-02-10T04:36:17.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,6.1268068331143235,34.872855392156865,1610612738,57,54,2021-02-10T04:41:04Z,3160000,76.0,5.0,1,left,MISS D. Theis 7' floating Shot,[1628464],1610612738.0,BOS,floating,,,Theis,D. Theis,,,,,7.58,Missed,,,,,,,,,,,,,,,,,,
322,PT09M02.00S,2021-02-10T04:36:20.8Z,3,REGULAR,rebound,defensive,[],203497,,,1610612762,57,54,2021-02-10T04:36:23Z,3170000,,,0,,R. Gobert REBOUND (Off:3 Def:6),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,321.0,9.0,6.0,3.0,,,,,,,,,,,,,,
323,PT08M59.00S,2021-02-10T04:36:33.3Z,3,REGULAR,foul,personal,[],202684,,,1610612762,57,54,2021-02-10T04:36:57Z,3180000,,,0,,T. Thompson personal FOUL (1 PF),"[202684, 203497]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,2148.0,,,,,,1.0,0.0,Gobert,203497.0
325,PT08M45.00S,2021-02-10T04:37:06.2Z,3,REGULAR,3pt,Jump Shot,[],1628378,73.40670170827858,17.96109068627451,1610612762,60,54,2021-02-10T04:37:14Z,3200000,-160.0,197.0,1,right,D. Mitchell 25' 3PT step back (17 PTS),[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,25.43,Made,,,,,17.0,,,,,,,,,,,,,
326,PT08M45.00S,2021-02-10T04:37:10.2Z,3,REGULAR,foul,personal,"['inpenalty', '1freethrow']",202684,,,1610612762,60,54,2021-02-10T04:37:14Z,3210000,,,0,,T. Thompson shooting personal FOUL (2 PF) (Mitchell 1 FT),"[202684, 1628378]",1610612738.0,BOS,shooting,,,Thompson,T. Thompson,,,,,,,,,,,,,,,2148.0,,,,,,2.0,0.0,Mitchell,1628378.0
328,PT08M45.00S,2021-02-10T04:37:48.4Z,3,REGULAR,freethrow,1 of 1,[],1628378,,,1610612762,61,54,2021-02-10T04:37:48Z,3230000,,,0,,D. Mitchell Free Throw 1 of 1 (18 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,,,,,18.0,,,,,,,,,,,,,
329,PT08M34.00S,2021-02-10T04:38:04.2Z,3,REGULAR,foul,personal,[],204060,,,1610612738,61,54,2021-02-10T04:38:30Z,3240000,,,0,,J. Ingles personal FOUL (1 PF),"[204060, 202684]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,1188.0,,,,,,1.0,0.0,Thompson,202684.0
331,PT08M29.00S,2021-02-10T04:38:23.0Z,3,REGULAR,2pt,Jump Shot,[],1627759,20.581471747700395,47.372855392156865,1610612738,61,56,2021-02-10T04:42:23Z,3260000,13.0,141.0,1,left,J. Brown 14' pullup Jump Shot (22 PTS) (T. Thompson 3 AST),"[1627759, 202684]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,14.16,Made,,,,,22.0,T. Thompson,202684.0,3.0,,,,,,,,,,
333,PT08M18.00S,2021-02-10T04:38:32.6Z,3,REGULAR,3pt,Jump Shot,[],1626220,85.62746386333771,3.7454044117647056,1610612762,61,56,2021-02-10T04:38:41Z,3280000,-231.0,83.0,1,right,MISS R. O'Neale 24' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,24.56,Missed,,,,,,,,,,,,,,,,,,
334,PT08M18.00S,2021-02-10T04:38:32.6Z,3,REGULAR,rebound,defensive,[],202689,,,1610612738,61,56,2021-02-10T04:38:41Z,3290000,,,0,,K. Walker REBOUND (Off:1 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,333.0,3.0,2.0,1.0,,,,,,,,,,,,,,
335,PT08M10.00S,2021-02-10T04:38:41.1Z,3,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627759,17.69053876478318,44.18658088235294,1610612738,61,56,2021-02-10T04:43:02Z,3300000,29.0,114.0,1,left,MISS J. Brown 11' driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,11.75,Missed,,,,,,,,,,,,,,,,,,
336,PT08M10.00S,2021-02-10T04:38:41.1Z,3,REGULAR,rebound,offensive,[],1627759,,,1610612738,61,56,2021-02-10T04:47:38Z,3310000,,,0,,J. Brown REBOUND (Off:2 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,335.0,3.0,1.0,2.0,,,,,,,,,,,,,,
337,PT08M01.00S,2021-02-10T04:38:49.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,5.590000152587891,50.0,1610612738,61,58,2021-02-10T04:40:43Z,3320000,0.0,0.0,1,left,J. Brown putback Layup (24 PTS),[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,0.0,Made,,,,,24.0,,,,,,,,,,,,,
338,PT07M57.00S,2021-02-10T04:38:54.5Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],202711,92.19776609724047,95.90226715686273,1610612762,64,58,2021-02-10T04:39:01Z,3330000,230.0,21.0,1,right,B. Bogdanovic 3PT  (11 PTS) (D. Mitchell 5 AST),"[202711, 1628378]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,23.04,Made,,,,,11.0,D. Mitchell,1628378.0,5.0,,,,,,,,,,
340,PT07M31.00S,2021-02-10T04:39:20.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,12.434296977660972,49.333639705882355,1610612738,64,58,2021-02-10T04:39:28Z,3350000,3.0,64.0,1,left,MISS T. Thompson 6' turnaround Shot,[202684],1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,6.45,Missed,,,,,,,,,,,,,,,,,,
341,PT07M29.00S,2021-02-10T04:39:22.1Z,3,REGULAR,rebound,defensive,[],203497,,,1610612762,64,58,2021-02-10T04:39:28Z,3360000,,,0,,R. Gobert REBOUND (Off:3 Def:7),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,340.0,10.0,7.0,3.0,,,,,,,,,,,,,,
342,PT07M22.00S,2021-02-10T04:39:29.2Z,3,REGULAR,2pt,Jump Shot,[],1628378,82.21090670170827,78.01011029411765,1610612762,66,58,2021-02-10T04:45:48Z,3370000,140.0,115.0,1,right,D. Mitchell 18' step back Jump Shot (20 PTS),[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,18.11,Made,,,,,20.0,,,,,,,,,,,,,
343,PT06M55.00S,2021-02-10T04:39:56.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,20.18725361366623,56.68658088235294,1610612738,66,58,2021-02-10T04:46:19Z,3380000,-33.0,137.0,1,left,MISS K. Walker 14' pullup Shot - blocked,"[202689, 1626220]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,14.13,Missed,,,,,,,,,,,O'Neale,1626220.0,,,,,,
344,PT06M55.00S,2021-02-10T04:39:56.0Z,3,REGULAR,block,,[],1626220,,,1610612738,66,58,2021-02-10T04:39:57Z,3390000,,,0,,R. O'Neale BLOCK (1 BLK),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
345,PT06M51.00S,2021-02-10T04:40:00.0Z,3,REGULAR,rebound,offensive,[],1627759,,,1610612738,66,58,2021-02-10T04:40:00Z,3400000,,,0,,J. Brown REBOUND (Off:3 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,343.0,4.0,1.0,3.0,,,,,,,,,,,,,,
346,PT06M49.00S,2021-02-10T04:40:01.5Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,32.14520367936925,48.353247549019606,1610612738,66,58,2021-02-10T04:40:07Z,3410000,8.0,250.0,1,left,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.98,Missed,,,,,,,,,,,,,,,,,,
347,PT06M46.00S,2021-02-10T04:40:06.1Z,3,REGULAR,rebound,defensive,[],1626220,,,1610612762,66,58,2021-02-10T04:40:06Z,3420000,,,0,,R. O'Neale REBOUND (Off:0 Def:3),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,346.0,3.0,3.0,0.0,,,,,,,,,,,,,,
348,PT06M39.00S,2021-02-10T04:40:12.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,91.27792378449409,48.84344362745098,1610612762,68,58,2021-02-10T04:40:17Z,3430000,-6.0,29.0,1,right,D. Mitchell driving Layup (22 PTS),[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,3.01,Made,,,,,22.0,,,,,,,,,,,,,
349,PT06M39.00S,2021-02-10T04:40:16.1Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,68,58,2021-02-10T04:40:16Z,3440000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,PT06M39.00S,2021-02-10T04:42:22.9Z,3,REGULAR,substitution,out,[],204060,,,1610612738,68,58,2021-02-10T04:43:36Z,3450000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
353,PT06M39.00S,2021-02-10T04:42:22.9Z,3,REGULAR,substitution,out,[],203497,,,1610612738,68,58,2021-02-10T04:43:36Z,3460000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
354,PT06M39.00S,2021-02-10T04:42:22.9Z,3,REGULAR,substitution,in,[],203903,,,1610612738,68,58,2021-02-10T04:43:36Z,3470000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,
355,PT06M39.00S,2021-02-10T04:42:22.9Z,3,REGULAR,substitution,in,[],202324,,,1610612738,68,58,2021-02-10T04:43:36Z,3480000,,,0,,SUB in: D. Favors,[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,
356,PT06M25.00S,2021-02-10T04:44:09.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,5.469776609724048,40.510110294117645,1610612738,68,58,2021-02-10T04:48:14Z,3490000,47.0,-1.0,1,left,MISS J. Tatum driving Layup - blocked,"[1628369, 1626220]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,4.74,Missed,,,,,,,,,,,O'Neale,1626220.0,,,,,,
357,PT06M25.00S,2021-02-10T04:44:09.0Z,3,REGULAR,block,,[],1626220,,,1610612738,68,58,2021-02-10T04:44:12Z,3500000,,,0,,R. O'Neale BLOCK (2 BLK),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
358,PT06M25.00S,2021-02-10T04:44:09.0Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612762,68,58,2021-02-10T04:44:15Z,3510000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,356.0,,,,,,,,,,,,,,,,,
359,PT06M25.00S,2021-02-10T04:44:13.9Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,68,58,2021-02-10T04:44:13Z,3520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,PT06M15.00S,2021-02-10T04:44:31.4Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628464,,,1610612762,68,58,2021-02-10T04:44:46Z,3530000,,,0,,D. Theis shooting personal FOUL (3 PF) (Bogdanovic 2 FT),"[1628464, 202711]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,1188.0,,,,,,3.0,0.0,Bogdanovic,202711.0
362,PT06M15.00S,2021-02-10T04:44:49.2Z,3,REGULAR,instantreplay,request,[],0,,,1610612762,68,58,2021-02-10T04:47:19Z,3550000,,,0,,,[],,,stands,,,,,,,,,,,,,,,,,,,2148.0,,,,,,,,,
363,PT06M15.00S,2021-02-10T04:46:13.1Z,3,REGULAR,substitution,out,[],1628369,,,1610612762,68,58,2021-02-10T04:46:28Z,3560000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
364,PT06M15.00S,2021-02-10T04:46:13.1Z,3,REGULAR,substitution,out,[],202684,,,1610612762,68,58,2021-02-10T04:46:28Z,3570000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
365,PT06M15.00S,2021-02-10T04:46:13.1Z,3,REGULAR,substitution,out,[],1628464,,,1610612762,68,58,2021-02-10T04:46:28Z,3580000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
