actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
64,PT07M11.00S,2021-05-30T23:14:28.3Z,1,REGULAR,2pt,Jump Shot,[],1628369,78.26872536136662,35.60814950980392,1610612738,19,13,2021-05-30T23:14:34Z,640000,-72.0,152.0,1,right,MISS J. Tatum 16' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,16.8,Missed,,,,,,,,,,,,,,,,,,,
65,PT07M09.00S,2021-05-30T23:14:30.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,19,13,2021-05-30T23:15:07Z,650000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,
66,PT07M02.00S,2021-05-30T23:14:37.3Z,1,REGULAR,3pt,Jump Shot,[],201935,33.196452036793694,47.61795343137255,1610612751,19,13,2021-05-30T23:15:31Z,660000,12.0,260.0,1,left,MISS J. Harden 25' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,,
67,PT07M00.00S,2021-05-30T23:14:39.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,19,13,2021-05-30T23:14:46Z,670000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,,,,,,,
68,PT06M54.00S,2021-05-30T23:14:45.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202684,93.11760840998686,51.53952205882353,1610612738,21,13,2021-05-30T23:14:55Z,680000,8.0,12.0,1,right,T. Thompson Layup (2 PTS) (E. Fournier 2 AST),"[202684, 203095]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,1.44,Made,2.0,E. Fournier,203095.0,2.0,,,,,,,,,,,,,,,
70,PT06M34.00S,2021-05-30T23:15:04.9Z,1,REGULAR,3pt,Jump Shot,[],202681,18.2161629434954,4.970894607843137,1610612751,21,13,2021-05-30T23:15:10Z,700000,225.0,119.0,1,left,MISS K. Irving 25' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2021-05-30T23:15:04.9Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,21,13,2021-05-30T23:15:10Z,710000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,
72,PT06M24.00S,2021-05-30T23:15:14.9Z,1,REGULAR,3pt,Jump Shot,[],203095,65.78515111695138,55.951286764705884,1610612738,21,13,2021-05-30T23:15:28Z,720000,30.0,269.0,1,right,MISS E. Fournier 27' pullup 3PT,[203095],1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,27.07,Missed,,,,,,,,,,,,,,,,,,,
73,PT06M22.00S,2021-05-30T23:15:17.7Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,21,13,2021-05-30T23:15:17Z,730000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,72.0,2.0,1.0,1.0,,,,,,,,
74,PT06M19.00S,2021-05-30T23:15:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,92.46057818659659,50.55912990196079,1610612738,21,13,2021-05-30T23:15:33Z,740000,3.0,18.0,1,right,MISS T. Thompson Layup - blocked,"[202684, 201935]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,1.86,Missed,,,,,,,,,,,,,,,,,Harden,201935.0,
