actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
67,PT05M54.00S,2021-03-24T23:56:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628464,8.229303547963205,50.06893382352941,1610612738,19,17,2021-03-24T23:56:55Z,580000,0.0,25.0,1,left,D. Theis cutting Layup (7 PTS) (K. Walker 2 AST),"[1628464, 202689]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,2.49,Made,7.0,K. Walker,202689.0,2.0,,,,,,,,,,,,,,
69,PT05M54.00S,2021-03-24T23:56:52.5Z,1,REGULAR,foul,personal,['1freethrow'],1626192,,,1610612738,19,17,2021-03-24T23:57:06Z,600000,,,0,,P. Connaughton shooting personal FOUL (1 PF) (Theis 1 FT),"[1626192, 1628464]",1610612749.0,MIL,shooting,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,201246.0,1.0,0.0,Theis,1628464.0,,,
71,PT05M54.00S,2021-03-24T23:57:07.3Z,1,REGULAR,substitution,out,[],203507,,,1610612738,19,17,2021-03-24T23:57:20Z,620000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M54.00S,2021-03-24T23:57:07.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,19,17,2021-03-24T23:57:20Z,630000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M54.00S,2021-03-24T23:57:07.3Z,1,REGULAR,substitution,in,[],200782,,,1610612738,19,17,2021-03-24T23:57:20Z,640000,,,0,,SUB in: P. Tucker,[200782],1610612749.0,MIL,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M54.00S,2021-03-24T23:57:07.3Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,19,17,2021-03-24T23:57:20Z,650000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M54.00S,2021-03-24T23:57:31.8Z,1,REGULAR,freethrow,1 of 1,[],1628464,,,1610612738,19,18,2021-03-24T23:57:31Z,660000,,,0,,D. Theis Free Throw 1 of 1 (8 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
76,PT05M31.00S,2021-03-24T23:57:54.7Z,1,REGULAR,3pt,Jump Shot,[],200782,94.1688567674113,95.65716911764706,1610612749,19,18,2021-03-24T23:57:58Z,670000,228.0,2.0,1,right,MISS P. Tucker 3PT,[200782],1610612749.0,MIL,,,,Tucker,P. Tucker,,,,,22.83,Missed,,,,,,,,,,,,,,,,,,
77,PT05M28.00S,2021-03-24T23:57:57.7Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,19,18,2021-03-24T23:57:58Z,680000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,
78,PT05M22.00S,2021-03-24T23:58:04.7Z,1,REGULAR,3pt,Jump Shot,[],203935,31.61957950065703,23.598345588235293,1610612738,19,18,2021-03-24T23:58:09Z,690000,132.0,245.0,1,left,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.8,Missed,,,,,,,,,,,,,,,,,,
79,PT05M19.00S,2021-03-24T23:58:07.7Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612749,19,18,2021-03-24T23:58:09Z,700000,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,
80,PT05M12.00S,2021-03-24T23:58:14.0Z,1,REGULAR,3pt,Jump Shot,[],1628978,68.67608409986859,72.37285539215686,1610612749,22,18,2021-03-24T23:58:20Z,710000,112.0,242.0,1,right,D. DiVincenzo 26' 3PT pullup (3 PTS),[1628978],1610612749.0,MIL,pullup,,,DiVincenzo,D. DiVincenzo,,,,,26.65,Made,3.0,,,,,,,,,,,,,,,,,
81,PT05M00.00S,2021-03-24T23:58:54.5Z,1,REGULAR,foul,personal,[],1628978,,,1610612738,22,18,2021-03-24T23:59:03Z,720000,,,0,,D. DiVincenzo personal FOUL (1 PF),"[1628978, 1628464]",1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,201246.0,1.0,0.0,Theis,1628464.0,,,
83,PT05M00.00S,2021-03-24T23:59:04.2Z,1,REGULAR,substitution,out,[],201572,,,1610612738,22,18,2021-03-24T23:59:11Z,740000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,
