actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
67,PT06M19.00S,2021-02-14T18:18:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,85.89027595269383,53.01011029411765,1610612738,13,8,2021-02-14T18:18:21Z,670000,15.0,80.0,1,right,MISS J. Brown 8' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,8.15,Missed,,,,,,,,,,,,,
68,PT06M15.00S,2021-02-14T18:18:19.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,13,8,2021-02-14T18:18:21Z,680000,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,67.0,2.0,2.0,0.0,,,,,
69,PT06M15.00S,2021-02-14T18:18:20.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203078,9.017739816031538,47.127757352941174,1610612764,15,8,2021-02-14T18:18:30Z,690000,14.0,32.0,1,left,B. Beal running Layup (7 PTS) (R. Hachimura 1 AST),"[203078, 1629060]",1610612764.0,WAS,running,,,Beal,B. Beal,,,,,,,,,,3.54,Made,7.0,R. Hachimura,1629060.0,1.0,,,,,,,,,
71,PT06M15.00S,2021-02-14T18:18:26.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,8,2021-02-14T18:18:26Z,710000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M15.00S,2021-02-14T18:20:17.0Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,15,8,2021-02-14T18:21:15Z,720000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M15.00S,2021-02-14T18:20:17.0Z,1,REGULAR,substitution,out,[],1628400,,,1610612738,15,8,2021-02-14T18:21:15Z,730000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M15.00S,2021-02-14T18:20:17.0Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,15,8,2021-02-14T18:21:15Z,740000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M15.00S,2021-02-14T18:20:17.0Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,15,8,2021-02-14T18:21:15Z,750000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M15.00S,2021-02-14T18:20:17.0Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,15,8,2021-02-14T18:21:15Z,760000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M15.00S,2021-02-14T18:20:17.0Z,1,REGULAR,substitution,in,[],202684,,,1610612738,15,8,2021-02-14T18:21:15Z,770000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M04.00S,2021-02-14T18:21:32.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.11760840998686,57.176776960784316,1610612738,15,10,2021-02-14T18:21:36Z,780000,36.0,12.0,1,right,J. Brown Layup (6 PTS) (G. Williams 1 AST),"[1627759, 1629684]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,3.79,Made,6.0,G. Williams,1629684.0,1.0,,,,,,,,,
81,PT05M50.00S,2021-02-14T18:21:46.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629021,9.937582128777924,45.166973039215684,1610612764,17,10,2021-02-14T18:24:17Z,800000,24.0,41.0,1,left,M. Wagner turnaround bank Hook (6 PTS) (R. Westbrook 4 AST),"[1629021, 201566]",1610612764.0,WAS,turnaround bank,,,Wagner,M. Wagner,,,,,,,,,,4.75,Made,6.0,R. Westbrook,201566.0,4.0,,,,,,,,,
83,PT05M28.00S,2021-02-14T18:22:08.8Z,1,REGULAR,turnover,lost ball,[],1629684,,,1610612738,17,10,2021-02-14T18:22:18Z,820000,,,0,,G. Williams lost ball TURNOVER (1 TO),"[1629684, 1629060]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,1.0,,,Hachimura,1629060.0
