actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
64,PT06M27.00S,2021-03-28T01:20:50.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629057,,,1610612738,14,6,2021-03-28T01:20:50Z,630000,,,0,,R. Williams III Free Throw 2 of 2 (2 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
65,PT06M09.00S,2021-03-28T01:21:13.6Z,1,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612760,14,6,2021-03-28T01:21:20Z,640000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Pokusevski 2 FT),"[1630202, 1630197]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,1627541.0,1.0,0.0,Pokusevski,1630197.0,,,,,
67,PT06M09.00S,2021-03-28T01:21:39.0Z,1,REGULAR,freethrow,1 of 2,[],1630197,,,1610612760,15,6,2021-03-28T01:21:39Z,660000,,,0,,A. Pokusevski Free Throw 1 of 2 (1 PTS),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
68,PT06M09.00S,2021-03-28T01:21:54.0Z,1,REGULAR,freethrow,2 of 2,[],1630197,,,1610612760,16,6,2021-03-28T01:21:54Z,670000,,,0,,A. Pokusevski Free Throw 2 of 2 (2 PTS),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
69,PT05M54.00S,2021-03-28T01:22:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,14.011169513797633,41.24540441176471,1610612738,16,8,2021-03-28T01:32:24Z,680000,44.0,79.0,1,left,M. Smart 9' turnaround Jump Shot (2 PTS),[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,9.05,Made,,,,,2.0,,,,,,,,,,,,,
70,PT05M39.00S,2021-03-28T01:22:24.1Z,1,REGULAR,3pt,Jump Shot,[],1630197,66.04796320630749,56.44148284313726,1610612760,16,8,2021-03-28T01:22:31Z,690000,32.0,267.0,1,right,MISS A. Pokusevski 26' 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,
71,PT05M35.00S,2021-03-28T01:22:28.1Z,1,REGULAR,rebound,offensive,[],1629676,,,1610612760,16,8,2021-03-28T01:22:31Z,700000,,,0,,I. Roby REBOUND (Off:1 Def:0),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,70.0,1.0,0.0,1.0,,,,,,,,,,,,,,
72,PT05M30.00S,2021-03-28T01:22:34.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,75.24638633377135,15.265012254901961,1610612760,16,8,2021-03-28T01:22:39Z,710000,-174.0,180.0,1,right,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,25.03,Missed,,,,,,,,,,,,,,,,,,
73,PT05M26.00S,2021-03-28T01:22:38.0Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,16,8,2021-03-28T01:22:39Z,720000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT05M17.00S,2021-03-28T01:22:47.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,22.421156373193167,89.5297181372549,1610612738,16,8,2021-03-28T01:23:07Z,730000,-198.0,158.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,
75,PT05M15.00S,2021-03-28T01:22:49.6Z,1,REGULAR,rebound,defensive,[],1630177,,,1610612760,16,8,2021-03-28T01:23:07Z,740000,,,0,,T. Maledon REBOUND (Off:0 Def:2),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,74.0,2.0,2.0,0.0,,,,,,,,,,,,,,
