actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
70,PT06M20.00S,2021-03-31T23:56:14.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629029,33.065045992115635,21.39246323529412,1610612742,7,14,2021-03-31T23:56:18Z,690000,143.0,258.0,1,left,L. Doncic 29' 3PT  (7 PTS) (K. Porzingis 1 AST),"[1629029, 204001]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,29.52,Made,,,,,7.0,K. Porzingis,204001.0,1.0,,,,,,,,,,
72,PT06M00.00S,2021-03-31T23:56:33.7Z,1,REGULAR,3pt,Jump Shot,[],203935,71.30420499342969,81.68658088235294,1610612738,7,14,2021-03-31T23:56:45Z,710000,158.0,217.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.88,Missed,,,,,,,,,,,,,,,,,,
73,PT05M59.00S,2021-03-31T23:56:39.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,7,14,2021-03-31T23:56:39Z,720000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,
75,PT05M59.00S,2021-03-31T23:56:41.3Z,1,REGULAR,foul,personal,[],1628467,,,1610612738,7,14,2021-03-31T23:56:52Z,730000,,,0,,M. Kleber personal FOUL (1 PF),"[1628467, 1629021]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Wagner,1629021.0
77,PT05M59.00S,2021-03-31T23:56:48.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,7,14,2021-03-31T23:57:09Z,750000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M59.00S,2021-03-31T23:56:48.3Z,1,REGULAR,substitution,out,[],1629029,,,1610612738,7,14,2021-03-31T23:57:09Z,760000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M59.00S,2021-03-31T23:56:48.3Z,1,REGULAR,substitution,out,[],1628467,,,1610612738,7,14,2021-03-31T23:57:09Z,770000,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M59.00S,2021-03-31T23:56:48.3Z,1,REGULAR,substitution,in,[],203095,,,1610612738,7,14,2021-03-31T23:57:09Z,780000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M59.00S,2021-03-31T23:56:48.3Z,1,REGULAR,substitution,in,[],1628973,,,1610612738,7,14,2021-03-31T23:57:09Z,790000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M59.00S,2021-03-31T23:56:48.3Z,1,REGULAR,substitution,in,[],203501,,,1610612738,7,14,2021-03-31T23:57:09Z,800000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M47.00S,2021-03-31T23:57:18.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203095,76.42904073587385,45.90226715686275,1610612738,9,14,2021-03-31T23:57:26Z,810000,-20.0,169.0,1,right,E. Fournier 17' step back Jump Shot (2 PTS),[203095],1610612738.0,BOS,step back,,,Fournier,E. Fournier,,,,,17.03,Made,,,,,2.0,,,,,,,,,,,,,
84,PT05M32.00S,2021-03-31T23:57:32.8Z,1,REGULAR,3pt,Jump Shot,[],204001,33.98488830486202,50.06893382352941,1610612742,9,14,2021-03-31T23:57:44Z,820000,0.0,267.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,26.7,Missed,,,,,,,,,,,,,,,,,,
