actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
631,PT04M58.00S,2021-04-29T01:39:29.9Z,4,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,105,98,2021-04-29T01:39:29Z,6140000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,
632,PT04M58.00S,2021-04-29T01:39:29.9Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,105,98,2021-04-29T01:39:29Z,6150000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,631.0,,,,,,,,,,,,,,,,,
633,PT04M58.00S,2021-04-29T01:39:39.7Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,105,98,2021-04-29T01:39:39Z,6160000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,PT04M58.00S,2021-04-29T01:42:38.0Z,4,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,106,98,2021-04-29T01:42:38Z,6170000,,,0,,J. Tatum Free Throw 2 of 2 (29 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,29.0,,,,,,,,,,,
635,PT04M37.00S,2021-04-29T01:42:59.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,92.19776609724047,55.4610906862745,1610612766,106,98,2021-04-29T01:43:05Z,6180000,27.0,21.0,1,right,MISS T. Rozier driving finger roll Layup,[1626179],1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,3.43,Missed,,,,,,,,,,,,,,,,,,
636,PT04M36.00S,2021-04-29T01:43:00.1Z,4,REGULAR,rebound,defensive,[],1630202,,,1610612738,106,98,2021-04-29T01:43:05Z,6190000,,,0,,P. Pritchard REBOUND (Off:0 Def:3),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,635.0,3.0,3.0,0.0,,,,,,,,,,,,,,
637,PT04M13.00S,2021-04-29T01:43:23.7Z,4,REGULAR,2pt,Jump Shot,[],1628369,27.151773981603156,55.21599264705882,1610612738,108,98,2021-04-29T01:43:31Z,6200000,-26.0,203.0,1,left,J. Tatum 20' fadeaway Jump Shot (31 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,20.44,Made,,,,,,,31.0,,,,,,,,,,,
638,PT03M59.00S,2021-04-29T01:43:40.4Z,4,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612766,108,98,2021-04-29T01:43:51Z,6210000,,,0,,A. Nesmith shooting personal FOUL (5 PF) (Graham 2 FT),"[1630174, 1628984]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,202049.0,5.0,0.0,Graham,1628984.0,,,,,,
640,PT03M59.00S,2021-04-29T01:44:08.8Z,4,REGULAR,freethrow,1 of 2,[],1628984,,,1610612766,108,98,2021-04-29T01:44:42Z,6230000,,,0,,MISS D. Graham Free Throw 1 of 2,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,Missed,,,,,,,,,,,,,,,,,,
641,PT03M59.00S,2021-04-29T01:44:08.8Z,4,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612766,108,98,2021-04-29T01:44:42Z,6240000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,640.0,,,,,,,,,,,,,,,,,
642,PT03M59.00S,2021-04-29T01:44:08.8Z,4,REGULAR,freethrow,2 of 2,[],1628984,,,1610612766,108,98,2021-04-29T01:44:42Z,6250000,,,0,,MISS D. Graham Free Throw 2 of 2,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,Missed,,,,,,,,,,,,,,,,,,
643,PT03M59.00S,2021-04-29T01:44:08.8Z,4,REGULAR,rebound,defensive,[],202684,,,1610612738,108,98,2021-04-29T01:44:42Z,6260000,,,0,,T. Thompson REBOUND (Off:7 Def:6),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,642.0,13.0,6.0,7.0,,,,,,,,,,,,,,
