actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
69,PT07M05.00S,2021-05-19T01:12:43.8Z,1,REGULAR,substitution,out,[],1629060,,,1610612738,10,7,2021-05-19T01:13:05Z,660000,,,0,,SUB out: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M05.00S,2021-05-19T01:12:43.8Z,1,REGULAR,substitution,out,[],203458,,,1610612738,10,7,2021-05-19T01:13:05Z,670000,,,0,,SUB out: A. Len,[203458],1610612764.0,WAS,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M05.00S,2021-05-19T01:12:43.8Z,1,REGULAR,substitution,in,[],1629655,,,1610612738,10,7,2021-05-19T01:13:05Z,680000,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M05.00S,2021-05-19T01:12:43.8Z,1,REGULAR,substitution,in,[],202722,,,1610612738,10,7,2021-05-19T01:13:05Z,690000,,,0,,SUB in: D. Bertans,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M58.00S,2021-05-19T01:13:25.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,73.80091984231275,14.529718137254902,1610612738,13,7,2021-05-19T01:13:35Z,700000,-177.0,194.0,1,right,J. Tatum 26' 3PT  (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,26.27,Made,,,,,3.0,,,,,,,,,,,,
74,PT06M40.00S,2021-05-19T01:13:42.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,7.703679369250986,52.76501225490197,1610612764,13,9,2021-05-19T01:13:47Z,710000,-14.0,20.0,1,left,D. Gafford alley-oop DUNK (2 PTS) (R. Westbrook 1 AST),"[1629655, 201566]",1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,,2.42,Made,,,,,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,
76,PT06M16.00S,2021-05-19T01:14:06.6Z,1,REGULAR,3pt,Jump Shot,[],203935,91.40932982917214,3.2552083333333335,1610612738,13,9,2021-05-19T01:14:13Z,730000,-234.0,28.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,23.54,Missed,,,,,,,,,,,,,,,,,
77,PT06M14.00S,2021-05-19T01:14:08.6Z,1,REGULAR,rebound,defensive,[],201566,,,1610612764,13,9,2021-05-19T01:14:13Z,740000,,,0,,R. Westbrook REBOUND (Off:2 Def:4),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,76.0,6.0,4.0,2.0,,,,,,,,,,,,,
78,PT06M10.00S,2021-05-19T01:14:13.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202722,6.915243101182654,3.2552083333333335,1610612764,13,9,2021-05-19T01:14:20Z,750000,234.0,13.0,1,left,MISS D. Bertans 3PT,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,23.4,Missed,,,,,,,,,,,,,,,,,
79,PT06M07.00S,2021-05-19T01:14:16.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,13,9,2021-05-19T01:14:20Z,760000,,,0,,R. Williams III REBOUND (Off:0 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,,
80,PT05M57.00S,2021-05-19T01:14:25.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629057,91.80354796320631,53.255208333333336,1610612738,15,9,2021-05-19T01:14:33Z,770000,16.0,25.0,1,right,R. Williams III turnaround Jump Shot (4 PTS) (E. Fournier 1 AST),"[1629057, 203095]",1610612738.0,BOS,turnaround,,,Williams III,R. Williams III,,,,,,2.94,Made,,,,,4.0,E. Fournier,203095.0,1.0,,,,,,,,,
82,PT05M44.00S,2021-05-19T01:14:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,6.389618922470433,54.23560049019608,1610612764,15,9,2021-05-19T01:14:44Z,790000,-21.0,8.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612764.0,WAS,driving,,,Westbrook,R. Westbrook,,,,,,2.25,Missed,,,,,,,,,,,,,,,,,
