actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,value,stealPlayerName,stealPersonId
264,PT01M54.00S,2021-02-24T01:37:34.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203939,94.1688567674113,55.951286764705884,1610612742,53,54,2021-02-24T01:37:38Z,2620000,30.0,2.0,1,right,MISS D. Powell cutting Layup,[203939],1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,2.99,Missed,,,,,,,,,,,,,,,,,,,
265,PT01M52.00S,2021-02-24T01:37:36.3Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,53,54,2021-02-24T01:37:38Z,2630000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,264.0,3.0,3.0,0.0,,,,,,,,,,,,,,
266,PT01M50.00S,2021-02-24T01:37:47.0Z,2,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,53,54,2021-02-24T01:37:56Z,2640000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (2 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1627964.0,,,,,2.0,,,,,
267,PT01M50.00S,2021-02-24T01:37:56.1Z,2,REGULAR,substitution,out,[],203939,,,1610612742,53,54,2021-02-24T01:38:05Z,2650000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT01M50.00S,2021-02-24T01:37:56.1Z,2,REGULAR,substitution,in,[],1626246,,,1610612742,53,54,2021-02-24T01:38:05Z,2660000,,,0,,SUB in: B. Marjanovic,[1626246],1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT01M35.00S,2021-02-24T01:39:00.8Z,2,REGULAR,jumpball,recovered,[],1626196,,,1610612742,53,54,2021-02-24T01:39:00Z,2670000,,,0,,Jump Ball B. Marjanovic vs. G. Williams: Tip to J. Richardson,"[1626196, 1626246, 1629684]",1610612742.0,DAL,heldball,J. Richardson,1626196.0,Richardson,J. Richardson,Marjanovic,1626246.0,Williams,1629684.0,,,,,,,,,,,,,,,,,,,,,
272,PT01M31.00S,2021-02-24T01:39:03.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626196,93.51182654402102,46.63756127450981,1610612742,55,54,2021-02-24T01:39:10Z,2700000,-17.0,8.0,1,right,J. Richardson driving finger roll Layup (14 PTS) (B. Marjanovic 1 AST),"[1626196, 1626246]",1610612742.0,DAL,driving finger roll,,,Richardson,J. Richardson,,,,,1.88,Made,14.0,,,,,B. Marjanovic,1626246.0,1.0,,,,,,,,,,,
273,PT01M18.00S,2021-02-24T01:39:17.5Z,2,REGULAR,2pt,Jump Shot,[],1630202,6.652431011826544,74.82383578431373,1610612738,55,54,2021-02-24T01:39:30Z,2710000,-124.0,10.0,1,left,MISS P. Pritchard 12' Jump Shot,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,12.45,Missed,,,,,,,,,,,,,,,,,,,
274,PT01M16.00S,2021-02-24T01:39:19.5Z,2,REGULAR,rebound,offensive,[],202684,,,1610612738,55,54,2021-02-24T01:39:30Z,2720000,,,0,,T. Thompson REBOUND (Off:2 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,273.0,5.0,3.0,2.0,,,,,,,,,,,,,,
275,PT01M12.00S,2021-02-24T01:39:23.2Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",202684,8.229303547963205,50.314031862745104,1610612738,55,56,2021-02-24T01:39:36Z,2730000,-2.0,25.0,1,left,T. Thompson turnaround Hook (4 PTS),[202684],1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,2.5,Made,4.0,,,,,,,,,,,,,,,,,,
276,PT00M56.20S,2021-02-24T01:39:42.3Z,2,REGULAR,turnover,out-of-bounds,[],1626246,,,1610612742,55,56,2021-02-24T01:39:48Z,2740000,,,0,,B. Marjanovic lost ball out-of-bounds TURNOVER (1 TO),[1626246],1610612742.0,DAL,lost ball,,,Marjanovic,B. Marjanovic,,,,,,,,,,,,,,,2882.0,,,,,1.0,,,,,
277,PT00M38.60S,2021-02-24T01:40:07.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,21.895532194480946,89.5297181372549,1610612738,55,56,2021-02-24T01:40:12Z,2750000,-198.0,153.0,1,left,MISS P. Pritchard 25' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,25.01,Missed,,,,,,,,,,,,,,,,,,,
278,PT00M34.80S,2021-02-24T01:40:11.1Z,2,REGULAR,rebound,defensive,[],1628973,,,1610612742,55,56,2021-02-24T01:40:12Z,2760000,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,277.0,2.0,2.0,0.0,,,,,,,,,,,,,,
279,PT00M27.40S,2021-02-24T01:40:18.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,93.51182654402102,37.8140318627451,1610612742,55,56,2021-02-24T01:40:27Z,2770000,-61.0,8.0,1,right,MISS L. Doncic 6' driving Layup - blocked,"[1629029, 1628369]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,6.15,Missed,,,,,,,,,,,,,,,Tatum,1628369.0,,,
280,PT00M27.40S,2021-02-24T01:40:18.3Z,2,REGULAR,block,,[],1628369,,,1610612742,55,56,2021-02-24T01:40:20Z,2780000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT00M24.90S,2021-02-24T01:40:20.8Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,55,56,2021-02-24T01:40:27Z,2790000,,,0,,G. Williams REBOUND (Off:1 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,279.0,2.0,1.0,1.0,,,,,,,,,,,,,,
282,PT00M23.50S,2021-02-24T01:40:24.2Z,2,REGULAR,foul,offensive,[],1629684,,,1610612738,55,56,2021-02-24T01:40:34Z,2800000,,,0,,G. Williams charge offensive FOUL (1 PF),"[1629684, 1628973]",1610612738.0,BOS,charge,,,Williams,G. Williams,,,,,,,,,,,,,,,101284.0,1.0,0.0,Brunson,1628973.0,,,,,,
284,PT00M23.50S,2021-02-24T01:40:24.2Z,2,REGULAR,turnover,offensive foul,[],1629684,,,1610612738,55,56,2021-02-24T01:40:24Z,2820000,,,0,,G. Williams offensive foul TURNOVER (1 TO),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,101284.0,,,,,1.0,,,,,
285,PT00M05.80S,2021-02-24T01:41:08.3Z,2,REGULAR,foul,personal,[],1630202,,,1610612742,55,56,2021-02-24T01:41:25Z,2830000,,,0,,P. Pritchard take personal FOUL (2 PF),"[1630202, 1629029]",1610612738.0,BOS,take,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,2882.0,2.0,0.0,Doncic,1629029.0,,,,,,
287,PT00M05.80S,2021-02-24T01:41:26.1Z,2,REGULAR,substitution,out,[],1630202,,,1610612742,55,56,2021-02-24T01:41:31Z,2850000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT00M05.80S,2021-02-24T01:41:26.1Z,2,REGULAR,substitution,in,[],1628400,,,1610612742,55,56,2021-02-24T01:41:31Z,2860000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT00M01.00S,2021-02-24T01:41:43.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629029,89.83245729303549,53.990502450980394,1610612742,55,56,2021-02-24T01:41:52Z,2870000,20.0,43.0,1,right,MISS L. Doncic driving Layup - blocked,"[1629029, 1628369]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,4.75,Missed,,,,,,,,,,,,,,,Tatum,1628369.0,,,
290,PT00M01.00S,2021-02-24T01:41:43.0Z,2,REGULAR,block,,[],1628369,,,1610612742,55,56,2021-02-24T01:41:45Z,2880000,,,0,,J. Tatum BLOCK (2 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT00M01.00S,2021-02-24T01:41:43.0Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,55,56,2021-02-24T01:41:52Z,2890000,,,0,,T. Thompson REBOUND (Off:2 Def:4),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,289.0,6.0,4.0,2.0,,,,,,,,,,,,,,
292,PT00M00.50S,2021-02-24T01:41:47.1Z,2,REGULAR,3pt,Jump Shot,[],202684,65.51617936925098,54.25857843137255,1610612738,55,56,2021-02-24T01:54:52Z,2900000,-21.0,563.0,1,left,MISS T. Thompson 56' 3PT,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,56.38,Missed,,,,,,,,,,,,,,,,,,,
293,PT00M00.10S,2021-02-24T01:41:47.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,55,56,2021-02-24T01:54:52Z,2910000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,292.0,,,,,,,,,,,,,,,,,
294,PT00M00.00S,2021-02-24T01:41:54.0Z,2,REGULAR,period,end,[],0,,,1610612738,55,56,2021-02-24T01:41:54Z,2920000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,PT12M00.00S,2021-02-24T01:57:24.2Z,3,REGULAR,substitution,out,['startperiod'],1628973,,,1610612738,55,56,2021-02-24T01:58:07Z,2930000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
297,PT12M00.00S,2021-02-24T01:57:24.2Z,3,REGULAR,substitution,out,['startperiod'],1626246,,,1610612738,55,56,2021-02-24T01:58:07Z,2940000,,,0,,SUB out: B. Marjanovic,[1626246],1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT12M00.00S,2021-02-24T01:57:24.2Z,3,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,55,56,2021-02-24T01:58:07Z,2950000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
299,PT12M00.00S,2021-02-24T01:57:24.2Z,3,REGULAR,substitution,out,['startperiod'],1628400,,,1610612738,55,56,2021-02-24T01:58:07Z,2960000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT12M00.00S,2021-02-24T01:57:24.2Z,3,REGULAR,substitution,in,['startperiod'],203939,,,1610612738,55,56,2021-02-24T01:58:07Z,2970000,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT12M00.00S,2021-02-24T01:57:24.2Z,3,REGULAR,substitution,in,['startperiod'],201949,,,1610612738,55,56,2021-02-24T01:58:07Z,2980000,,,0,,SUB in: J. Johnson,[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT12M00.00S,2021-02-24T01:57:24.2Z,3,REGULAR,substitution,in,['startperiod'],202689,,,1610612738,55,56,2021-02-24T01:58:07Z,2990000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
303,PT12M00.00S,2021-02-24T01:57:24.2Z,3,REGULAR,substitution,in,['startperiod'],1628464,,,1610612738,55,56,2021-02-24T01:58:07Z,3000000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT12M00.00S,2021-02-24T01:58:10.3Z,3,REGULAR,period,start,[],0,,,1610612742,55,56,2021-02-24T01:58:10Z,3010000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT11M48.00S,2021-02-24T01:58:22.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203939,6.258212877792378,53.990502450980394,1610612742,55,56,2021-02-24T01:58:27Z,3020000,-20.0,6.0,1,left,MISS D. Powell alley-oop Layup,[203939],1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,2.1,Missed,,,,,,,,,,,,,,,,,,,
306,PT11M43.00S,2021-02-24T01:58:25.6Z,3,REGULAR,rebound,offensive,[],1629029,,,1610612742,55,56,2021-02-24T01:58:25Z,3030000,,,0,,L. Doncic REBOUND (Off:2 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,305.0,4.0,2.0,2.0,,,,,,,,,,,,,,
307,PT11M43.00S,2021-02-24T01:58:25.6Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,5.590000152587891,50.0,1610612742,57,56,2021-02-24T01:58:25Z,3040000,0.0,0.0,1,left,L. Doncic tip Layup (16 PTS),[1629029],1610612742.0,DAL,tip,,,Doncic,L. Doncic,,,,,0.0,Made,16.0,,,,,,,,,,,,,,,,,,
308,PT11M25.00S,2021-02-24T01:58:43.8Z,3,REGULAR,3pt,Jump Shot,[],1628369,79.31997371879106,91.00030637254902,1610612738,57,56,2021-02-24T01:58:50Z,3050000,205.0,142.0,1,right,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.93,Missed,,,,,,,,,,,,,,,,,,,
309,PT11M23.00S,2021-02-24T01:58:45.8Z,3,REGULAR,rebound,offensive,[],1627759,,,1610612738,57,56,2021-02-24T01:58:50Z,3060000,,,0,,J. Brown REBOUND (Off:2 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,308.0,4.0,2.0,2.0,,,,,,,,,,,,,,
310,PT11M22.00S,2021-02-24T01:58:48.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,91.93495400788436,50.80422794117647,1610612738,57,58,2021-02-24T01:58:55Z,3070000,4.0,23.0,1,right,J. Brown putback Layup (16 PTS),[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,2.36,Made,16.0,,,,,,,,,,,,,,,,,,
311,PT11M04.00S,2021-02-24T01:59:04.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203939,6.389618922470433,51.294424019607845,1610612742,57,58,2021-02-24T01:59:08Z,3080000,-6.0,8.0,1,left,MISS D. Powell Layup,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,1.0,Missed,,,,,,,,,,,,,,,,,,,
312,PT11M03.00S,2021-02-24T01:59:05.7Z,3,REGULAR,rebound,defensive,[],202689,,,1610612738,57,58,2021-02-24T01:59:08Z,3090000,,,0,,K. Walker REBOUND (Off:0 Def:3),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,311.0,3.0,3.0,0.0,,,,,,,,,,,,,,
313,PT10M56.00S,2021-02-24T01:59:13.4Z,3,REGULAR,3pt,Jump Shot,[],1627759,69.72733245729303,69.67677696078431,1610612738,57,58,2021-02-24T01:59:18Z,3100000,98.0,232.0,1,right,MISS J. Brown 25' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
314,PT10M52.00S,2021-02-24T01:59:17.4Z,3,REGULAR,rebound,defensive,[],1627827,,,1610612742,57,58,2021-02-24T01:59:18Z,3110000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,313.0,2.0,2.0,0.0,,,,,,,,,,,,,,
315,PT10M44.00S,2021-02-24T01:59:24.4Z,3,REGULAR,3pt,Jump Shot,[],1629029,23.47240473061761,14.284620098039216,1610612742,60,58,2021-02-24T01:59:29Z,3120000,179.0,168.0,1,left,L. Doncic 24' 3PT  (19 PTS) (J. Richardson 1 AST),"[1629029, 1626196]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,24.53,Made,19.0,,,,,J. Richardson,1626196.0,1.0,,,,,,,,,,,
317,PT10M29.00S,2021-02-24T01:59:40.4Z,3,REGULAR,2pt,Jump Shot,[],202689,92.19776609724047,66.24540441176471,1610612738,60,58,2021-02-24T01:59:46Z,3140000,81.0,21.0,1,right,MISS K. Walker 8' fadeaway bank Shot,[202689],1610612738.0,BOS,fadeaway bank,,,Walker,K. Walker,,,,,8.38,Missed,,,,,,,,,,,,,,,,,,,
318,PT10M27.00S,2021-02-24T01:59:42.4Z,3,REGULAR,rebound,defensive,[],1629029,,,1610612742,60,58,2021-02-24T01:59:46Z,3150000,,,0,,L. Doncic REBOUND (Off:2 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,317.0,5.0,3.0,2.0,,,,,,,,,,,,,,
319,PT10M21.00S,2021-02-24T01:59:48.2Z,3,REGULAR,3pt,Jump Shot,[],1629029,31.61957950065703,24.333639705882355,1610612742,60,58,2021-02-24T02:00:08Z,3160000,128.0,245.0,1,left,MISS L. Doncic 27' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,27.63,Missed,,,,,,,,,,,,,,,,,,,
320,PT10M16.00S,2021-02-24T01:59:53.2Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,60,58,2021-02-24T02:00:08Z,3170000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,319.0,4.0,4.0,0.0,,,,,,,,,,,,,,
321,PT10M16.00S,2021-02-24T01:59:57.6Z,3,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,60,58,2021-02-24T02:00:44Z,3180000,,,0,,J. Tatum step out-of-bounds TURNOVER (3 TO),[1628369],1610612738.0,BOS,step,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,3.0,,,,,
322,PT10M15.00S,2021-02-24T02:00:17.2Z,3,REGULAR,foul,personal,[],1628369,,,1610612742,60,58,2021-02-24T02:00:19Z,3190000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1629029]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Doncic,1629029.0,,,,,,
324,PT10M08.00S,2021-02-24T02:00:37.7Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],201949,31.35676741130092,31.196384803921568,1610612742,60,58,2021-02-24T02:00:47Z,3210000,94.0,242.0,1,left,MISS J. Johnson 25' 3PT,[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,25.99,Missed,,,,,,,,,,,,,,,,,,,
325,PT10M04.00S,2021-02-24T02:00:40.9Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,60,58,2021-02-24T02:00:40Z,3220000,,,0,,D. Theis REBOUND (Off:1 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,324.0,3.0,2.0,1.0,,,,,,,,,,,,,,
326,PT09M57.00S,2021-02-24T02:00:53.1Z,3,REGULAR,foul,offensive,[],1628464,,,1610612738,60,58,2021-02-24T02:01:16Z,3230000,,,0,,D. Theis off-the-ball offensive FOUL (1 PF),"[1628464, 1627827]",1610612738.0,BOS,off-the-ball,,,Theis,D. Theis,,,,,,,,,,,,,,,101284.0,1.0,0.0,Finney-Smith,1627827.0,,,,,,
328,PT09M57.00S,2021-02-24T02:00:53.1Z,3,REGULAR,turnover,offensive foul,[],1628464,,,1610612738,60,58,2021-02-24T02:01:16Z,3250000,,,0,,D. Theis offensive foul TURNOVER (1 TO),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,101284.0,,,,,1.0,,,,,
329,PT09M38.00S,2021-02-24T02:01:21.4Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1629029,10.988830486202366,70.65716911764706,1610612742,60,58,2021-02-24T02:01:27Z,3260000,-103.0,51.0,1,left,MISS L. Doncic 11' fadeaway Shot,[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,11.51,Missed,,,,,,,,,,,,,,,,,,,
330,PT09M34.00S,2021-02-24T02:01:24.6Z,3,REGULAR,rebound,defensive,[],202684,,,1610612738,60,58,2021-02-24T02:01:24Z,3270000,,,0,,T. Thompson REBOUND (Off:2 Def:5),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,329.0,7.0,5.0,2.0,,,,,,,,,,,,,,
331,PT09M20.00S,2021-02-24T02:01:39.0Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],202684,92.19776609724047,54.72579656862745,1610612738,60,60,2021-02-24T02:01:46Z,3280000,24.0,21.0,1,right,T. Thompson turnaround bank Hook (6 PTS),[202684],1610612738.0,BOS,turnaround bank,,,Thompson,T. Thompson,,,,,3.15,Made,6.0,,,,,,,,,,,,,,,,,,
332,PT09M02.00S,2021-02-24T02:01:57.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627827,7.835085413929041,56.68658088235294,1610612742,60,60,2021-02-24T02:02:01Z,3290000,-33.0,21.0,1,left,MISS D. Finney-Smith cutting Layup - blocked,"[1627827, 1628464]",1610612742.0,DAL,cutting,,,Finney-Smith,D. Finney-Smith,,,,,3.95,Missed,,,,,,,,,,,,,,,Theis,1628464.0,,,
333,PT09M02.00S,2021-02-24T02:01:57.4Z,3,REGULAR,block,,[],1628464,,,1610612742,60,60,2021-02-24T02:01:59Z,3300000,,,0,,D. Theis BLOCK (2 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT08M59.00S,2021-02-24T02:02:00.4Z,3,REGULAR,rebound,defensive,[],202689,,,1610612738,60,60,2021-02-24T02:02:01Z,3310000,,,0,,K. Walker REBOUND (Off:0 Def:4),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,332.0,4.0,4.0,0.0,,,,,,,,,,,,,,
335,PT08M54.00S,2021-02-24T02:02:05.6Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1628464,66.96780551905388,43.451286764705884,1610612738,60,60,2021-02-24T02:02:10Z,3320000,-33.0,258.0,1,right,MISS D. Theis 26' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,26.01,Missed,,,,,,,,,,,,,,,,,,,
336,PT08M51.00S,2021-02-24T02:02:08.6Z,3,REGULAR,rebound,defensive,[],1626196,,,1610612742,60,60,2021-02-24T02:02:10Z,3330000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,,,,335.0,1.0,1.0,0.0,,,,,,,,,,,,,,
337,PT08M40.00S,2021-02-24T02:02:19.5Z,3,REGULAR,3pt,Jump Shot,[],201949,12.040078843626807,5.215992647058823,1610612742,60,60,2021-02-24T02:02:24Z,3340000,224.0,61.0,1,left,MISS J. Johnson 3PT,[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,23.2,Missed,,,,,,,,,,,,,,,,,,,
338,PT08M37.00S,2021-02-24T02:02:22.5Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,60,60,2021-02-24T02:02:24Z,3350000,,,0,,J. Brown REBOUND (Off:2 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,337.0,5.0,3.0,2.0,,,,,,,,,,,,,,
339,PT08M30.00S,2021-02-24T02:02:32.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,89.70105124835742,47.61795343137255,1610612738,60,62,2021-02-24T02:02:43Z,3360000,-12.0,44.0,1,right,J. Brown driving floating Jump Shot (18 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,4.59,Made,18.0,,,,,,,,,,,,,,,,,,
340,PT08M30.00S,2021-02-24T02:02:35.2Z,3,REGULAR,foul,personal,['1freethrow'],1626196,,,1610612738,60,62,2021-02-24T02:02:41Z,3370000,,,0,,J. Richardson shooting personal FOUL (3 PF) (Brown 1 FT),"[1626196, 1627759]",1610612742.0,DAL,shooting,,,Richardson,J. Richardson,,,,,,,,,,,,,,,2882.0,3.0,0.0,Brown,1627759.0,,,,,,
342,PT08M30.00S,2021-02-24T02:02:54.3Z,3,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,60,63,2021-02-24T02:02:54Z,3390000,,,0,,J. Brown Free Throw 1 of 1 (19 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,19.0,,,,,,,,,,,,,,,,,,
343,PT08M18.00S,2021-02-24T02:03:09.4Z,3,REGULAR,3pt,Jump Shot,[],1626196,33.98488830486202,58.15716911764706,1610612742,60,63,2021-02-24T02:03:17Z,3400000,-41.0,267.0,1,left,MISS J. Richardson 27' 3PT,[1626196],1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,27.01,Missed,,,,,,,,,,,,,,,,,,,
344,PT08M17.00S,2021-02-24T02:03:10.4Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612742,60,63,2021-02-24T02:03:17Z,3410000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,343.0,,,,,,,,,,,,,,,,,
345,PT08M17.00S,2021-02-24T02:03:16.6Z,3,REGULAR,foul,personal,[],1628464,,,1610612742,60,63,2021-02-24T02:03:35Z,3420000,,,0,,D. Theis loose ball personal FOUL (2 PF),"[1628464, 203939]",1610612738.0,BOS,loose ball,,,Theis,D. Theis,,,,,,,,,,,,,,,2882.0,2.0,0.0,Powell,203939.0,,,,,,
347,PT08M17.00S,2021-02-24T02:03:26.3Z,3,REGULAR,substitution,out,[],203939,,,1610612742,60,63,2021-02-24T02:03:38Z,3440000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT08M17.00S,2021-02-24T02:03:26.3Z,3,REGULAR,substitution,out,[],201949,,,1610612742,60,63,2021-02-24T02:03:38Z,3450000,,,0,,SUB out: J. Johnson,[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT08M17.00S,2021-02-24T02:03:26.3Z,3,REGULAR,substitution,in,[],1626161,,,1610612742,60,63,2021-02-24T02:03:38Z,3460000,,,0,,SUB in: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
