actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
68,PT06M27.00S,2021-02-13T01:22:22.3Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,14,5,2021-02-13T01:22:28Z,670000,,,0,,S. Ojeleye REBOUND (Off:0 Def:3),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,67.0,3.0,3.0,0.0,,,,,,,,,,
69,PT06M08.00S,2021-02-13T01:22:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.27792378449409,44.921875,1610612738,14,5,2021-02-13T01:22:46Z,680000,-25.0,29.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,3.89,Missed,,,,,,,,,,,,,,,,,,
70,PT06M06.00S,2021-02-13T01:22:42.7Z,1,REGULAR,rebound,defensive,[],201933,,,1610612765,14,5,2021-02-13T01:22:46Z,690000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612765.0,DET,,,,Griffin,B. Griffin,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,
71,PT06M04.00S,2021-02-13T01:22:44.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626153,5.732588699080158,53.990502450980394,1610612765,14,7,2021-02-13T01:22:55Z,700000,-20.0,1.0,1,left,D. Wright running reverse Layup (2 PTS) (B. Griffin 2 AST),"[1626153, 201933]",1610612765.0,DET,running reverse,,,Wright,D. Wright,,,,,2.0,Made,2.0,B. Griffin,201933.0,2.0,,,,,,,,,,,,,,
73,PT05M48.00S,2021-02-13T01:23:00.5Z,1,REGULAR,3pt,Jump Shot,[],1628464,68.42969776609723,66.26838235294117,1610612738,14,7,2021-02-13T01:23:09Z,720000,81.0,244.0,1,right,MISS D. Theis 25' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,
74,PT05M46.00S,2021-02-13T01:23:02.5Z,1,REGULAR,rebound,defensive,[],1628367,,,1610612765,14,7,2021-02-13T01:23:09Z,730000,,,0,,J. Jackson REBOUND (Off:0 Def:1),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,
75,PT05M41.00S,2021-02-13T01:23:08.6Z,1,REGULAR,turnover,bad pass,[],1628367,,,1610612765,14,7,2021-02-13T01:23:12Z,740000,,,0,,J. Jackson bad pass TURNOVER (1 TO),"[1628367, 1627759]",1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0
76,PT05M41.00S,2021-02-13T01:23:08.6Z,1,REGULAR,steal,,[],1627759,,,1610612738,14,7,2021-02-13T01:27:36Z,750000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M36.00S,2021-02-13T01:23:12.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,92.46057818659659,49.08854166666667,1610612738,16,7,2021-02-13T01:23:19Z,760000,-5.0,18.0,1,right,J. Brown running Layup (7 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,1.9,Made,7.0,,,,,,,,,,,,,,,,,
78,PT05M18.00S,2021-02-13T01:23:31.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626153,8.09789750328515,51.049325980392155,1610612765,16,7,2021-02-13T01:28:51Z,770000,-5.0,24.0,1,left,MISS D. Wright driving floating Shot,[1626153],1610612765.0,DET,driving floating,,,Wright,D. Wright,,,,,2.42,Missed,,,,,,,,,,,,,,,,,,
79,PT05M17.00S,2021-02-13T01:23:32.3Z,1,REGULAR,rebound,offensive,[],1626153,,,1610612765,16,7,2021-02-13T01:23:40Z,780000,,,0,,D. Wright REBOUND (Off:1 Def:1),[1626153],1610612765.0,DET,,,,Wright,D. Wright,,,,,,,,,,,78.0,2.0,1.0,1.0,,,,,,,,,,
