actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
367,PT00M00.70S,2021-04-14T03:20:01.5Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,60,57,2021-04-14T03:20:27Z,3650000,,,0,,MISS J. Tatum Free Throw 2 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
368,PT00M00.10S,2021-04-14T03:20:02.1Z,2,REGULAR,rebound,defensive,[],203496,,,1610612757,60,57,2021-04-14T03:20:46Z,3660000,,,0,,R. Covington REBOUND (Off:0 Def:2),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,367.0,2.0,2.0,0.0,,,,,
369,PT00M00.00S,2021-04-14T03:20:25.4Z,2,REGULAR,period,end,[],0,,,1610612757,60,57,2021-04-14T03:20:46Z,3670000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,PT12M00.00S,2021-04-14T03:36:19.8Z,3,REGULAR,period,start,[],0,,,1610612757,60,57,2021-04-14T03:36:19Z,3680000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,PT11M43.00S,2021-04-14T03:36:36.6Z,3,REGULAR,3pt,Jump Shot,[],203496,66.70499342969777,19.676776960784316,1610612757,60,57,2021-04-14T03:36:40Z,3690000,-152.0,260.0,1,right,MISS R. Covington 30' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,30.14,Missed,,,,,,,,,,,,,,,,,,,
372,PT11M41.00S,2021-04-14T03:36:38.6Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612757,60,57,2021-04-14T03:36:40Z,3700000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,371.0,,,,,,,,
373,PT11M41.00S,2021-04-14T03:36:41.2Z,3,REGULAR,foul,personal,[],1629057,,,1610612757,60,57,2021-04-14T03:36:47Z,3710000,,,0,,R. Williams III loose ball personal FOUL (2 PF),"[1629057, 203994]",1610612738.0,BOS,loose ball,,,Williams III,R. Williams III,,,,,,,,,,,2002.0,2.0,0.0,Nurkic,203994.0,,,,,,,,,,
375,PT11M32.00S,2021-04-14T03:37:03.6Z,3,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203994,91.40932982917214,48.84344362745098,1610612757,60,57,2021-04-14T03:37:06Z,3730000,-6.0,28.0,1,right,MISS J. Nurkic driving Hook,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,2.89,Missed,,,,,,,,,,,,,,,,,,,
376,PT11M31.00S,2021-04-14T03:37:04.6Z,3,REGULAR,rebound,defensive,[],203935,,,1610612738,60,57,2021-04-14T03:37:06Z,3740000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,375.0,1.0,1.0,0.0,,,,,
377,PT11M25.00S,2021-04-14T03:37:11.5Z,3,REGULAR,3pt,Jump Shot,[],202689,23.99802890932983,84.87285539215686,1610612738,60,57,2021-04-14T03:37:15Z,3750000,-174.0,173.0,1,left,MISS K. Walker 24' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,24.57,Missed,,,,,,,,,,,,,,,,,,,
378,PT11M22.00S,2021-04-14T03:37:14.5Z,3,REGULAR,rebound,defensive,[],203496,,,1610612757,60,57,2021-04-14T03:37:15Z,3760000,,,0,,R. Covington REBOUND (Off:0 Def:3),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,377.0,3.0,3.0,0.0,,,,,
379,PT11M15.00S,2021-04-14T03:37:20.6Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],203994,92.85479632063075,49.333639705882355,1610612757,62,57,2021-04-14T03:37:24Z,3770000,-3.0,15.0,1,right,J. Nurkic turnaround Hook (8 PTS) (D. Lillard 5 AST),"[203994, 203081]",1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,1.51,Made,8.0,D. Lillard,203081.0,5.0,,,,,,,,,,,,,,,
381,PT10M53.00S,2021-04-14T03:37:43.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,5.995400788436268,46.14736519607843,1610612738,62,57,2021-04-14T03:37:46Z,3790000,19.0,4.0,1,left,MISS R. Williams III alley-oop Layup,[1629057],1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.97,Missed,,,,,,,,,,,,,,,,,,,
382,PT10M52.00S,2021-04-14T03:37:44.0Z,3,REGULAR,rebound,defensive,[],203994,,,1610612757,62,57,2021-04-14T03:37:46Z,3800000,,,0,,J. Nurkic REBOUND (Off:0 Def:7),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,381.0,7.0,7.0,0.0,,,,,
383,PT10M43.00S,2021-04-14T03:37:53.2Z,3,REGULAR,2pt,Jump Shot,[],203081,93.38042049934296,20.412071078431374,1610612757,64,57,2021-04-14T03:37:59Z,3810000,-148.0,10.0,1,right,D. Lillard 14' fadeaway Jump Shot (13 PTS) (J. Nurkic 3 AST),"[203081, 203994]",1610612757.0,POR,fadeaway,,,Lillard,D. Lillard,,,,,14.82,Made,13.0,J. Nurkic,203994.0,3.0,,,,,,,,,,,,,,,
385,PT10M25.00S,2021-04-14T03:38:10.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203935,8.886333771353483,42.470894607843135,1610612738,64,59,2021-04-14T03:40:26Z,3830000,38.0,31.0,1,left,M. Smart driving finger roll Layup (10 PTS) (R. Williams III 2 AST),"[203935, 1629057]",1610612738.0,BOS,driving finger roll,,,Smart,M. Smart,,,,,4.87,Made,10.0,R. Williams III,1629057.0,2.0,,,,,,,,,,,,,,,
386,PT10M07.00S,2021-04-14T03:38:28.8Z,3,REGULAR,2pt,Jump Shot,[],203468,73.9323258869908,41.73560049019608,1610612757,64,59,2021-04-14T03:38:31Z,3840000,-41.0,193.0,1,right,MISS C. McCollum 19' pullup Shot,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,19.69,Missed,,,,,,,,,,,,,,,,,,,
387,PT10M05.00S,2021-04-14T03:38:30.8Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,64,59,2021-04-14T03:38:31Z,3850000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,386.0,3.0,2.0,1.0,,,,,
388,PT09M57.00S,2021-04-14T03:38:41.6Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,64,59,2021-04-14T03:38:41Z,3860000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,PT09M57.00S,2021-04-14T03:38:50.2Z,3,REGULAR,substitution,out,[],1629057,,,1610612738,64,59,2021-04-14T03:38:57Z,3870000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
390,PT09M57.00S,2021-04-14T03:38:50.2Z,3,REGULAR,substitution,in,[],202684,,,1610612738,64,59,2021-04-14T03:38:57Z,3880000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
391,PT09M52.00S,2021-04-14T03:39:08.8Z,3,REGULAR,foul,personal,['2freethrow'],203496,,,1610612738,64,59,2021-04-14T03:39:16Z,3890000,,,0,,R. Covington shooting personal FOUL (2 PF) (Brown 2 FT),"[203496, 1627759]",1610612757.0,POR,shooting,,,Covington,R. Covington,,,,,,,,,,,2002.0,2.0,0.0,Brown,1627759.0,,,,,,,,,,
393,PT09M52.00S,2021-04-14T03:39:32.3Z,3,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,64,60,2021-04-14T03:39:32Z,3910000,,,0,,J. Brown Free Throw 1 of 2 (14 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,14.0,,,,,,,,,,,,,,,,,,
394,PT09M52.00S,2021-04-14T03:39:46.7Z,3,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,64,61,2021-04-14T03:39:46Z,3920000,,,0,,J. Brown Free Throw 2 of 2 (15 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,15.0,,,,,,,,,,,,,,,,,,
395,PT09M39.00S,2021-04-14T03:40:03.6Z,3,REGULAR,turnover,out-of-bounds,[],203081,,,1610612757,64,61,2021-04-14T03:40:09Z,3930000,,,0,,D. Lillard bad pass out-of-bounds TURNOVER (4 TO),[203081],1610612757.0,POR,bad pass,,,Lillard,D. Lillard,,,,,,,,,,,2002.0,,,,,4.0,,,,,,,,,
396,PT09M25.00S,2021-04-14T03:40:25.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,5.469776609724048,48.59834558823529,1610612738,64,63,2021-04-14T03:40:27Z,3940000,7.0,-1.0,1,left,J. Tatum driving Layup (9 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,0.71,Made,9.0,,,,,,,,,,,,,,,,,,
398,PT09M10.00S,2021-04-14T03:40:38.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,91.27792378449409,42.96109068627451,1610612757,64,63,2021-04-14T03:40:44Z,3950000,-35.0,29.0,1,right,MISS N. Powell fadeaway bank Shot,[1626181],1610612757.0,POR,fadeaway bank,,,Powell,N. Powell,,,,,4.59,Missed,,,,,,,,,,,,,,,,,,,
399,PT09M08.00S,2021-04-14T03:40:40.9Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,64,63,2021-04-14T03:40:44Z,3960000,,,0,,J. Tatum REBOUND (Off:1 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,398.0,7.0,6.0,1.0,,,,,
400,PT08M59.00S,2021-04-14T03:40:49.6Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1627759,8.886333771353483,50.80422794117647,1610612738,64,65,2021-04-14T03:40:54Z,3970000,-4.0,31.0,1,left,J. Brown driving Hook (17 PTS) (J. Tatum 4 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,3.13,Made,17.0,J. Tatum,1628369.0,4.0,,,,,,,,,,,,,,,
402,PT08M38.00S,2021-04-14T03:41:10.5Z,3,REGULAR,2pt,Jump Shot,[],1626181,70.77858081471747,54.23560049019608,1610612757,66,65,2021-04-14T03:41:14Z,3990000,21.0,222.0,1,right,N. Powell 22' pullup Jump Shot (17 PTS) (J. Nurkic 4 AST),"[1626181, 203994]",1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,22.32,Made,17.0,J. Nurkic,203994.0,4.0,,,,,,,,,,,,,,,
404,PT08M24.00S,2021-04-14T03:41:26.1Z,3,REGULAR,3pt,Jump Shot,[],203935,16.376478318002626,94.67677696078431,1610612738,66,68,2021-04-14T03:41:29Z,4010000,-223.0,101.0,1,left,M. Smart 24' 3PT  (13 PTS) (K. Walker 6 AST),"[203935, 202689]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.53,Made,13.0,K. Walker,202689.0,6.0,,,,,,,,,,,,,,,
406,PT08M09.00S,2021-04-14T03:41:41.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203081,93.11760840998686,52.029718137254896,1610612757,68,68,2021-04-14T03:41:44Z,4030000,10.0,12.0,1,right,D. Lillard Layup (15 PTS) (J. Nurkic 5 AST),"[203081, 203994]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,1.58,Made,15.0,J. Nurkic,203994.0,5.0,,,,,,,,,,,,,,,
408,PT07M43.00S,2021-04-14T03:42:06.3Z,3,REGULAR,3pt,Jump Shot,[],1628369,16.245072273324574,95.90226715686273,1610612738,68,68,2021-04-14T03:42:09Z,4050000,-230.0,100.0,1,left,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,,
409,PT07M41.00S,2021-04-14T03:42:08.3Z,3,REGULAR,rebound,defensive,[],1626181,,,1610612757,68,68,2021-04-14T03:42:09Z,4060000,,,0,,N. Powell REBOUND (Off:0 Def:3),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,408.0,3.0,3.0,0.0,,,,,
410,PT07M35.00S,2021-04-14T03:42:15.3Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],203496,67.7562417871222,78.74540441176471,1610612757,71,68,2021-04-14T03:42:24Z,4070000,144.0,251.0,1,right,R. Covington 28' 3PT running (9 PTS) (D. Lillard 6 AST),"[203496, 203081]",1610612757.0,POR,running,,,Covington,R. Covington,,,,,28.89,Made,9.0,D. Lillard,203081.0,6.0,,,,,,,,,,,,,,,
412,PT07M11.00S,2021-04-14T03:42:38.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.258212877792378,48.10814950980392,1610612738,71,70,2021-04-14T03:42:43Z,4090000,9.0,6.0,1,left,J. Tatum driving Layup (11 PTS) (M. Smart 6 AST),"[1628369, 203935]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.14,Made,11.0,M. Smart,203935.0,6.0,,,,,,,,,,,,,,,
413,PT06M54.00S,2021-04-14T03:42:54.5Z,3,REGULAR,3pt,Jump Shot,[],203468,87.33574244415243,95.65716911764706,1610612757,74,70,2021-04-14T03:42:58Z,4100000,228.0,67.0,1,right,C. McCollum 3PT  (9 PTS) (D. Lillard 7 AST),"[203468, 203081]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,23.78,Made,9.0,D. Lillard,203081.0,7.0,,,,,,,,,,,,,,,
415,PT06M36.00S,2021-04-14T03:43:13.3Z,3,REGULAR,3pt,Jump Shot,[],202689,3.892904073587385,96.6375612745098,1610612738,74,70,2021-04-14T03:43:17Z,4120000,-233.0,-16.0,1,left,MISS K. Walker 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,23.37,Missed,,,,,,,,,,,,,,,,,,,
416,PT06M33.00S,2021-04-14T03:43:16.3Z,3,REGULAR,rebound,defensive,[],203496,,,1610612757,74,70,2021-04-14T03:43:17Z,4130000,,,0,,R. Covington REBOUND (Off:0 Def:4),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,415.0,4.0,4.0,0.0,,,,,
417,PT06M27.00S,2021-04-14T03:43:22.4Z,3,REGULAR,2pt,Jump Shot,['fastbreak'],203081,72.7496714848883,42.470894607843135,1610612757,76,70,2021-04-14T03:43:31Z,4140000,-38.0,204.0,1,right,D. Lillard 20' running pullup Jump Shot (17 PTS),[203081],1610612757.0,POR,running pullup,,,Lillard,D. Lillard,,,,,20.71,Made,17.0,,,,,,,,,,,,,,,,,,
418,PT06M18.00S,2021-04-14T03:43:34.4Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,76,70,2021-04-14T03:43:34Z,4150000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,PT06M18.00S,2021-04-14T03:46:09.3Z,3,REGULAR,substitution,out,[],1626181,,,1610612738,76,70,2021-04-14T03:46:37Z,4160000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
421,PT06M18.00S,2021-04-14T03:46:09.3Z,3,REGULAR,substitution,out,[],203994,,,1610612738,76,70,2021-04-14T03:46:37Z,4170000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
422,PT06M18.00S,2021-04-14T03:46:09.3Z,3,REGULAR,substitution,in,[],202683,,,1610612738,76,70,2021-04-14T03:46:37Z,4180000,,,0,,SUB in: E. Kanter,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
423,PT06M18.00S,2021-04-14T03:46:09.3Z,3,REGULAR,substitution,in,[],1627884,,,1610612738,76,70,2021-04-14T03:46:37Z,4190000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612757.0,POR,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
424,PT06M11.00S,2021-04-14T03:47:04.0Z,3,REGULAR,2pt,Jump Shot,[],1628369,9.017739816031538,22.127757352941178,1610612738,76,72,2021-04-14T03:47:12Z,4200000,139.0,32.0,1,left,J. Tatum 14' turnaround fadeaway Jump Shot (13 PTS) (M. Smart 7 AST),"[1628369, 203935]",1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,14.31,Made,13.0,M. Smart,203935.0,7.0,,,,,,,,,,,,,,,
426,PT05M52.00S,2021-04-14T03:47:22.9Z,3,REGULAR,3pt,Jump Shot,[],203081,87.33574244415243,95.16697303921569,1610612757,76,72,2021-04-14T03:47:31Z,4220000,226.0,67.0,1,right,MISS D. Lillard fadeaway 3PT,[203081],1610612757.0,POR,fadeaway,,,Lillard,D. Lillard,,,,,23.54,Missed,,,,,,,,,,,,,,,,,,,
427,PT05M50.00S,2021-04-14T03:47:24.9Z,3,REGULAR,rebound,defensive,[],202684,,,1610612738,76,72,2021-04-14T03:47:31Z,4230000,,,0,,T. Thompson REBOUND (Off:3 Def:4),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,426.0,7.0,4.0,3.0,,,,,
428,PT05M39.00S,2021-04-14T03:47:36.5Z,3,REGULAR,3pt,Jump Shot,[],1627759,25.969119579500656,18.45128676470588,1610612738,76,75,2021-04-14T03:47:40Z,4240000,158.0,192.0,1,left,J. Brown 24' 3PT  (20 PTS) (K. Walker 7 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.82,Made,20.0,K. Walker,202689.0,7.0,,,,,,,,,,,,,,,
430,PT05M27.00S,2021-04-14T03:47:48.1Z,3,REGULAR,2pt,Jump Shot,[],203468,91.67214191852825,78.99050245098039,1610612757,78,75,2021-04-14T03:47:53Z,4260000,145.0,26.0,1,right,C. McCollum 14' pullup Jump Shot (11 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,14.73,Made,11.0,,,,,,,,,,,,,,,,,,
431,PT05M11.00S,2021-04-14T03:48:03.2Z,3,REGULAR,2pt,Jump Shot,[],202689,19.530223390275953,68.2061887254902,1610612738,78,75,2021-04-14T03:48:07Z,4270000,-91.0,131.0,1,left,MISS K. Walker 15' step back Shot,[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,15.96,Missed,,,,,,,,,,,,,,,,,,,
432,PT05M09.00S,2021-04-14T03:48:05.2Z,3,REGULAR,rebound,defensive,[],203468,,,1610612757,78,75,2021-04-14T03:48:07Z,4280000,,,0,,C. McCollum REBOUND (Off:1 Def:4),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,431.0,5.0,4.0,1.0,,,,,
433,PT05M03.00S,2021-04-14T03:48:14.9Z,3,REGULAR,foul,personal,[],202689,,,1610612757,78,75,2021-04-14T03:48:29Z,4290000,,,0,,K. Walker personal FOUL (1 PF),"[202689, 203081]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,2715.0,1.0,0.0,Lillard,203081.0,,,,,,,,,,
435,PT05M03.00S,2021-04-14T03:48:29.5Z,3,REGULAR,substitution,out,[],203496,,,1610612757,78,75,2021-04-14T03:48:39Z,4310000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
436,PT05M03.00S,2021-04-14T03:48:29.5Z,3,REGULAR,substitution,out,[],1627759,,,1610612757,78,75,2021-04-14T03:48:39Z,4320000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
437,PT05M03.00S,2021-04-14T03:48:29.5Z,3,REGULAR,substitution,out,[],202684,,,1610612757,78,75,2021-04-14T03:48:39Z,4330000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
438,PT05M03.00S,2021-04-14T03:48:29.5Z,3,REGULAR,substitution,in,[],2546,,,1610612757,78,75,2021-04-14T03:48:39Z,4340000,,,0,,SUB in: C. Anthony,[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
439,PT05M03.00S,2021-04-14T03:48:29.5Z,3,REGULAR,substitution,in,[],1629057,,,1610612757,78,75,2021-04-14T03:48:39Z,4350000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
440,PT05M03.00S,2021-04-14T03:48:29.5Z,3,REGULAR,substitution,in,[],1629684,,,1610612757,78,75,2021-04-14T03:48:39Z,4360000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
441,PT04M59.00S,2021-04-14T03:48:55.1Z,3,REGULAR,3pt,Jump Shot,[],203468,92.50985545335085,97.21200980392157,1610612757,78,75,2021-04-14T03:53:56Z,4370000,236.0,18.0,1,right,MISS C. McCollum 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,23.68,Missed,,,,,,,,,,,,,,,,,,,
442,PT04M57.00S,2021-04-14T03:48:57.1Z,3,REGULAR,rebound,defensive,[],1629684,,,1610612738,78,75,2021-04-14T03:48:58Z,4380000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,441.0,1.0,1.0,0.0,,,,,
443,PT04M48.00S,2021-04-14T03:49:08.9Z,3,REGULAR,foul,personal,['2freethrow'],203081,,,1610612738,78,75,2021-04-14T03:49:16Z,4390000,,,0,,D. Lillard shooting personal FOUL (2 PF) (Tatum 2 FT),"[203081, 1628369]",1610612757.0,POR,shooting,,,Lillard,D. Lillard,,,,,,,,,,,1626300.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,
445,PT04M48.00S,2021-04-14T03:49:36.3Z,3,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,78,76,2021-04-14T03:49:36Z,4410000,,,0,,J. Tatum Free Throw 1 of 2 (14 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,14.0,,,,,,,,,,,,,,,,,,
446,PT04M48.00S,2021-04-14T03:49:58.2Z,3,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,78,77,2021-04-14T03:49:58Z,4420000,,,0,,J. Tatum Free Throw 2 of 2 (15 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,15.0,,,,,,,,,,,,,,,,,,
447,PT04M37.00S,2021-04-14T03:50:16.6Z,3,REGULAR,foul,personal,[],203935,,,1610612757,78,77,2021-04-14T03:50:23Z,4430000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 203081]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,2715.0,1.0,0.0,Lillard,203081.0,,,,,,,,,,
449,PT04M33.00S,2021-04-14T03:50:42.3Z,3,REGULAR,3pt,Jump Shot,[],203081,66.5735873850197,21.637561274509803,1610612757,78,77,2021-04-14T03:50:45Z,4450000,-142.0,262.0,1,right,MISS D. Lillard 29' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,29.76,Missed,,,,,,,,,,,,,,,,,,,
450,PT04M31.00S,2021-04-14T03:50:44.3Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,78,77,2021-04-14T03:50:45Z,4460000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,449.0,4.0,3.0,1.0,,,,,
451,PT04M24.00S,2021-04-14T03:50:52.0Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,5.732588699080158,51.049325980392155,1610612738,78,79,2021-04-14T03:50:55Z,4470000,-5.0,1.0,1,left,J. Tatum driving DUNK (17 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,0.54,Made,17.0,,,,,,,,,,,,,,,,,,
452,PT04M09.00S,2021-04-14T03:51:05.7Z,3,REGULAR,2pt,Jump Shot,[],2546,77.34888304862024,47.61795343137255,1610612757,80,79,2021-04-14T03:51:09Z,4480000,-12.0,160.0,1,right,C. Anthony 16' pullup Jump Shot (14 PTS) (C. McCollum 3 AST),"[2546, 203468]",1610612757.0,POR,pullup,,,Anthony,C. Anthony,,,,,16.08,Made,14.0,C. McCollum,203468.0,3.0,,,,,,,,,,,,,,,
454,PT03M44.00S,2021-04-14T03:51:31.1Z,3,REGULAR,3pt,Jump Shot,[],1628369,31.882391590013142,49.08854166666667,1610612738,80,82,2021-04-14T03:51:36Z,4500000,5.0,247.0,1,left,J. Tatum 24' 3PT pullup (20 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,24.72,Made,20.0,,,,,,,,,,,,,,,,,,
455,PT03M21.00S,2021-04-14T03:51:53.9Z,3,REGULAR,2pt,Jump Shot,[],2546,79.05716162943496,46.14736519607843,1610612757,82,82,2021-04-14T03:51:57Z,4510000,-19.0,144.0,1,right,C. Anthony 14' pullup Jump Shot (16 PTS) (D. Jones Jr. 1 AST),"[2546, 1627884]",1610612757.0,POR,pullup,,,Anthony,C. Anthony,,,,,14.57,Made,16.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,,,,,,,,
457,PT03M03.00S,2021-04-14T03:52:11.9Z,3,REGULAR,3pt,Jump Shot,[],202689,30.962549277266753,64.5297181372549,1610612738,82,82,2021-04-14T03:52:15Z,4530000,-73.0,239.0,1,left,MISS K. Walker 24' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,24.93,Missed,,,,,,,,,,,,,,,,,,,
458,PT03M00.00S,2021-04-14T03:52:14.9Z,3,REGULAR,rebound,defensive,[],202683,,,1610612757,82,82,2021-04-14T03:52:15Z,4540000,,,0,,E. Kanter REBOUND (Off:2 Def:5),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,457.0,7.0,5.0,2.0,,,,,
459,PT02M54.00S,2021-04-14T03:52:22.6Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",202683,92.9862023653088,47.86305147058824,1610612757,84,82,2021-04-14T03:52:35Z,4550000,-11.0,13.0,1,right,E. Kanter running DUNK (6 PTS) (D. Lillard 8 AST),"[202683, 203081]",1610612757.0,POR,running,,,Kanter,E. Kanter,,,,,1.71,Made,6.0,D. Lillard,203081.0,8.0,,,,,,,,,,,,,,,
