actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
42,PT08M51.00S,2021-03-26T23:54:01.6Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612738,6,12,2021-03-26T23:54:08Z,420000,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 201950]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,1.0,Holiday,201950.0,,,,,,,,,,
43,PT08M51.00S,2021-03-26T23:54:01.6Z,1,REGULAR,steal,,[],201950,,,1610612749,6,12,2021-03-26T23:54:04Z,430000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M47.00S,2021-03-26T23:54:06.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201950,94.30026281208936,50.55912990196079,1610612749,8,12,2021-03-26T23:54:14Z,440000,3.0,1.0,1,right,J. Holiday running reverse Layup (2 PTS) (G. Antetokounmpo 3 AST),"[201950, 203507]",1610612749.0,MIL,running reverse,,,Holiday,J. Holiday,,,,,,,,,,Made,2.0,,,,0.3,G. Antetokounmpo,203507.0,3.0,,,,,,
46,PT08M29.00S,2021-03-26T23:54:23.6Z,1,REGULAR,3pt,Jump Shot,[],203935,23.73521681997372,88.05912990196079,1610612738,8,15,2021-03-26T23:54:28Z,460000,-190.0,171.0,1,left,M. Smart 25' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,Made,3.0,,,,25.56,J. Tatum,1628369.0,1.0,,,,,,
48,PT08M16.00S,2021-03-26T23:54:36.9Z,1,REGULAR,3pt,Jump Shot,[],1628978,66.44218134034165,24.823835784313726,1610612749,8,15,2021-03-26T23:54:42Z,480000,-126.0,263.0,1,right,MISS D. DiVincenzo 29' 3PT,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,Missed,,,,,29.15,,,,,,,,,
49,PT08M13.00S,2021-03-26T23:54:39.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,8,15,2021-03-26T23:54:42Z,490000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,48.0,1.0,1.0,0.0,,
50,PT08M07.00S,2021-03-26T23:54:47.9Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,8,15,2021-03-26T23:54:54Z,500000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,1198.0,,,,,,,1.0,,,,,,,,,,,,
426,PT08M07.00S,2021-03-26T23:54:51.1Z,1,REGULAR,substitution,out,[],201572,,,1610612749,8,15,2021-03-27T01:12:22Z,505000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,
427,PT08M07.00S,2021-03-26T23:54:51.1Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,8,15,2021-03-27T01:12:22Z,507500,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M54.00S,2021-03-26T23:55:20.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628978,93.77463863337714,50.80422794117647,1610612749,10,15,2021-03-26T23:55:26Z,530000,4.0,6.0,1,right,D. DiVincenzo cutting finger roll Layup (5 PTS) (J. Holiday 1 AST),"[1628978, 201950]",1610612749.0,MIL,cutting finger roll,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,Made,5.0,,,,0.72,J. Holiday,201950.0,1.0,,,,,,
