actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
55,PT06M37.00S,2021-05-09T17:23:02.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629134,6.389618922470433,47.372855392156865,1610612748,8,14,2021-05-09T17:23:22Z,550000,13.0,8.0,1,left,K. Nunn cutting Layup (7 PTS) (J. Butler 3 AST),"[1629134, 202710]",1610612748.0,MIA,cutting,,,Nunn,K. Nunn,,,,,1.51,Made,,,,,,,,,,,,,7.0,J. Butler,202710.0,3.0,,,
57,PT06M37.00S,2021-05-09T17:23:29.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,8,14,2021-05-09T17:23:29Z,570000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M25.00S,2021-05-09T17:26:38.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,8,14,2021-05-09T17:26:38Z,580000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M17.00S,2021-05-09T17:26:58.4Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,8,14,2021-05-09T17:27:02Z,590000,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 1628389]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,2.0,Adebayo,1628389.0,,,,,,,,,,,,
60,PT06M17.00S,2021-05-09T17:26:58.4Z,1,REGULAR,steal,,[],1628389,,,1610612748,8,14,2021-05-09T17:27:00Z,600000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M13.00S,2021-05-09T17:27:01.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629130,28.465834428383708,26.53952205882353,1610612748,8,17,2021-05-09T17:27:35Z,610000,117.0,215.0,1,left,D. Robinson 24' 3PT running pullup (8 PTS),[1629130],1610612748.0,MIA,running pullup,,,Robinson,D. Robinson,,,,,24.5,Made,,,,,,,,,,,,,8.0,,,,,,
62,PT06M05.00S,2021-05-09T17:27:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,91.80354796320631,46.392463235294116,1610612738,8,17,2021-05-09T17:27:18Z,620000,-18.0,25.0,1,right,MISS M. Smart running Layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,3.04,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M02.00S,2021-05-09T17:27:12.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,8,17,2021-05-09T17:27:12Z,630000,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,62.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
64,PT06M01.00S,2021-05-09T17:27:17.6Z,1,REGULAR,foul,personal,['2freethrow'],203095,,,1610612748,8,17,2021-05-09T17:27:29Z,640000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Adebayo 2 FT),"[203095, 1628389]",1610612738.0,BOS,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,,,1162.0,1.0,0.0,Adebayo,1628389.0,,,,,,,
66,PT06M01.00S,2021-05-09T17:27:47.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628389,,,1610612748,8,18,2021-05-09T17:27:47Z,660000,,,0,,B. Adebayo Free Throw 1 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,,,,,,,3.0,,,,,,
