actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
59,PT05M51.00S,2021-04-25T17:26:52.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,31.882391590013142,36.833639705882355,1610612766,26,12,2021-04-25T17:26:57Z,580000,66.0,247.0,1,left,M. Bridges 25' 3PT  (8 PTS) (P. Washington 1 AST),"[1628970, 1629023]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,25.58,Made,8.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,,
61,PT05M30.00S,2021-04-25T17:27:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.27792378449409,50.80422794117647,1610612738,26,12,2021-04-25T17:33:08Z,600000,4.0,29.0,1,right,MISS J. Brown driving reverse Layup,[1627759],1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,2.98,Missed,,,,,,,,,,,,,,,,,,,
62,PT05M28.00S,2021-04-25T17:27:16.2Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,26,12,2021-04-25T17:27:18Z,610000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,
63,PT05M25.00S,2021-04-25T17:27:22.1Z,1,REGULAR,foul,offensive,[],1626179,,,1610612766,26,12,2021-04-25T17:27:34Z,620000,,,0,,T. Rozier charge offensive FOUL (1 PF),"[1626179, 202689]",1610612766.0,CHA,charge,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,202901.0,1.0,0.0,Walker,202689.0,,,,
65,PT05M25.00S,2021-04-25T17:27:22.1Z,1,REGULAR,turnover,offensive foul,[],1626179,,,1610612766,26,12,2021-04-25T17:27:22Z,640000,,,0,,T. Rozier offensive foul TURNOVER (1 TO),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,202901.0,,,,,1.0,,,
66,PT05M25.00S,2021-04-25T17:27:30.1Z,1,REGULAR,substitution,out,[],1628984,,,1610612738,26,12,2021-04-25T17:27:48Z,650000,,,0,,SUB out: D. Graham,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M25.00S,2021-04-25T17:27:30.1Z,1,REGULAR,substitution,out,[],1628998,,,1610612738,26,12,2021-04-25T17:27:48Z,660000,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M25.00S,2021-04-25T17:27:30.1Z,1,REGULAR,substitution,out,[],1629023,,,1610612738,26,12,2021-04-25T17:27:48Z,670000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M25.00S,2021-04-25T17:27:30.1Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,26,12,2021-04-25T17:27:48Z,680000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M25.00S,2021-04-25T17:27:30.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,26,12,2021-04-25T17:27:48Z,690000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M25.00S,2021-04-25T17:27:30.1Z,1,REGULAR,substitution,in,[],202954,,,1610612738,26,12,2021-04-25T17:27:48Z,700000,,,0,,SUB in: B. Wanamaker,[202954],1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M25.00S,2021-04-25T17:27:30.1Z,1,REGULAR,substitution,in,[],1629667,,,1610612738,26,12,2021-04-25T17:27:48Z,710000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M25.00S,2021-04-25T17:27:30.1Z,1,REGULAR,substitution,in,[],202687,,,1610612738,26,12,2021-04-25T17:27:48Z,720000,,,0,,SUB in: B. Biyombo,[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,
