actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
59,PT05M26.00S,2021-03-03T01:03:41.5Z,1,REGULAR,2pt,Jump Shot,[],202704,5.206964520367937,71.8826593137255,1610612746,20,19,2021-03-03T01:03:48Z,580000,-109.0,-4.0,1,left,MISS R. Jackson 10' driving floating Shot,[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,,,,,,10.95,Missed,,,,,,,,,,,,,,
60,PT05M23.00S,2021-03-03T01:03:44.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,20,19,2021-03-03T01:03:48Z,590000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,
61,PT05M15.00S,2021-03-03T01:03:52.4Z,1,REGULAR,2pt,Jump Shot,[],1628369,70.25295663600527,62.07873774509803,1610612738,20,19,2021-03-03T01:08:15Z,600000,60.0,227.0,1,right,MISS J. Tatum 23' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,23.5,Missed,,,,,,,,,,,,,,
62,PT05M13.00S,2021-03-03T01:03:54.4Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,20,19,2021-03-03T01:04:56Z,610000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,61.0,2.0,1.0,1.0,,,
63,PT05M12.00S,2021-03-03T01:03:57.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628464,94.40999984741211,50.0,1610612738,20,19,2021-03-03T01:05:05Z,620000,0.0,0.0,1,right,MISS D. Theis tip Layup,[1628464],1610612738.0,BOS,tip,,,Theis,D. Theis,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,,
64,PT05M10.00S,2021-03-03T01:03:59.1Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,20,19,2021-03-03T01:05:05Z,630000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,63.0,2.0,1.0,1.0,,,
65,PT05M09.00S,2021-03-03T01:03:59.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,74.45795006570303,11.833639705882353,1610612738,23,19,2021-03-03T01:04:09Z,640000,-191.0,188.0,1,right,J. Brown 26' 3PT  (12 PTS) (K. Walker 3 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,26.76,Made,12.0,K. Walker,202689.0,3.0,,,,,,,,,,
67,PT04M54.00S,2021-03-03T01:04:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201587,7.35873850197109,47.50689338235294,1610612746,23,21,2021-03-03T01:04:25Z,660000,12.0,17.0,1,left,N. Batum driving Layup (7 PTS),[201587],1610612746.0,LAC,driving,,,Batum,N. Batum,,,,,,,,,,2.09,Made,7.0,,,,,,,,,,,,,
68,PT04M43.00S,2021-03-03T01:04:25.3Z,1,REGULAR,turnover,lost ball,[],202684,,,1610612738,23,21,2021-03-03T01:04:30Z,670000,,,0,,T. Thompson lost ball TURNOVER (1 TO),"[202684, 201976]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,1.0,Beverley,201976.0,,,,,,,
69,PT04M43.00S,2021-03-03T01:04:25.3Z,1,REGULAR,steal,,[],201976,,,1610612746,23,21,2021-03-03T01:06:56Z,680000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612746.0,LAC,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
