actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
67,PT07M21.00S,2021-03-29T23:49:56.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,13,12,2021-03-29T23:50:01Z,670000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,66.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
68,PT07M09.00S,2021-03-29T23:50:07.7Z,1,REGULAR,3pt,Jump Shot,[],202689,72.88107752956637,85.60814950980392,1610612738,16,12,2021-03-29T23:50:12Z,680000,178.0,202.0,1,right,K. Walker 26' 3PT  (3 PTS) (J. Tatum 2 AST),"[202689, 1628369]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.95,Made,,3.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,
70,PT06M56.00S,2021-03-29T23:50:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,6.915243101182654,47.127757352941174,1610612740,16,14,2021-03-29T23:50:24Z,700000,14.0,13.0,1,left,Z. Williamson driving Layup (4 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,1.91,Made,,4.0,,,,,,,,,,,,,,,,,
71,PT06M47.00S,2021-03-29T23:50:30.9Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,16,14,2021-03-29T23:50:35Z,710000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203500]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,1.0,Adams,203500.0,
72,PT06M47.00S,2021-03-29T23:50:30.9Z,1,REGULAR,steal,,[],203500,,,1610612740,16,14,2021-03-29T23:50:33Z,720000,,,0,,S. Adams STEAL (1 STL),[203500],1610612740.0,NOP,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M38.00S,2021-03-29T23:50:42.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612740,16,14,2021-03-29T23:51:01Z,730000,,,0,,G. Williams personal FOUL (2 PF) (Williamson 2 FT),"[1629684, 1629627]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,202056.0,2.0,0.0,Williamson,1629627.0,,,,,,,,,
75,PT06M38.00S,2021-03-29T23:51:06.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,16,14,2021-03-29T23:51:06Z,750000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M38.00S,2021-03-29T23:53:15.7Z,1,REGULAR,substitution,out,[],203935,,,1610612740,16,14,2021-03-29T23:53:43Z,760000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M38.00S,2021-03-29T23:53:15.7Z,1,REGULAR,substitution,out,[],1629684,,,1610612740,16,14,2021-03-29T23:53:43Z,770000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M38.00S,2021-03-29T23:53:15.7Z,1,REGULAR,substitution,in,[],203095,,,1610612740,16,14,2021-03-29T23:53:43Z,780000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M38.00S,2021-03-29T23:53:15.7Z,1,REGULAR,substitution,in,[],1629021,,,1610612740,16,14,2021-03-29T23:53:43Z,790000,,,0,,SUB in: M. Wagner,[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M38.00S,2021-03-29T23:54:07.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629627,,,1610612740,16,14,2021-03-29T23:54:07Z,800000,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
81,PT06M38.00S,2021-03-29T23:54:07.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,16,14,2021-03-29T23:54:07Z,810000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,
82,PT06M38.00S,2021-03-29T23:54:21.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629627,,,1610612740,16,15,2021-03-29T23:54:21Z,820000,,,0,,Z. Williamson Free Throw 2 of 2 (5 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,Made,,5.0,,,,,,,,,,,,,,,,,
83,PT06M24.00S,2021-03-29T23:54:36.2Z,1,REGULAR,3pt,Jump Shot,[],203095,66.17936925098554,65.75520833333334,1610612738,16,15,2021-03-29T23:54:43Z,830000,79.0,265.0,1,right,MISS E. Fournier 27' 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,27.69,Missed,,,,,,,,,,,,,,,,,,,
84,PT06M22.00S,2021-03-29T23:54:38.2Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,16,15,2021-03-29T23:54:43Z,840000,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,83.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
85,PT06M06.00S,2021-03-29T23:54:53.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,13.222733245729303,48.59834558823529,1610612740,16,15,2021-03-29T23:54:58Z,850000,7.0,72.0,1,left,MISS B. Ingram 7' fadeaway Shot,[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,7.21,Missed,,,,,,,,,,,,,,,,,,,
