actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
60,PT06M37.00S,2021-02-18T00:48:12.7Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,15,17,2021-02-18T00:48:12Z,590000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT06M24.00S,2021-02-18T00:48:26.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,5.732588699080158,50.55912990196079,1610612737,15,19,2021-02-18T00:48:30Z,600000,-3.0,1.0,1,left,C. Capela cutting DUNK (4 PTS) (C. Reddish 1 AST),"[203991, 1629629]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,0.31,Made,,,,,4.0,C. Reddish,1629629.0,1.0,,,,,,,,,,
63,PT06M24.00S,2021-02-18T00:48:31.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,19,2021-02-18T00:48:31Z,620000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M24.00S,2021-02-18T00:50:47.1Z,1,REGULAR,substitution,out,[],1629750,,,1610612738,15,19,2021-02-18T00:51:07Z,630000,,,0,,SUB out: J. Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M24.00S,2021-02-18T00:50:47.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,15,19,2021-02-18T00:51:07Z,640000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M24.00S,2021-02-18T00:50:47.1Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,15,19,2021-02-18T00:51:07Z,650000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M24.00S,2021-02-18T00:50:47.1Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,15,19,2021-02-18T00:51:07Z,660000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M09.00S,2021-02-18T00:51:33.4Z,1,REGULAR,3pt,Jump Shot,[],1628400,92.85479632063075,4.4806985294117645,1610612738,18,19,2021-02-18T00:51:40Z,670000,-228.0,15.0,1,right,S. Ojeleye 3PT  (6 PTS) (J. Brown 3 AST),"[1628400, 1627759]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,22.81,Made,,,,,6.0,J. Brown,1627759.0,3.0,,,,,,,,,,
72,PT06M04.00S,2021-02-18T00:51:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612737,18,19,2021-02-18T00:51:51Z,690000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Reddish 2 FT),"[1630202, 1629629]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Reddish,1629629.0,,
74,PT06M04.00S,2021-02-18T00:52:07.8Z,1,REGULAR,freethrow,1 of 2,[],1629629,,,1610612737,18,20,2021-02-18T00:52:07Z,710000,,,0,,C. Reddish Free Throw 1 of 2 (5 PTS),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
