actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
70,PT06M39.00S,2020-12-19T01:17:25.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,91.93495400788436,50.80422794117647,1610612738,11,14,2020-12-19T01:17:30Z,690000,4.0,23.0,1,right,D. Theis DUNK (4 PTS) (J. Tatum 2 AST),"[1628464, 1628369]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,2.36,Made,,,,,4.0,,,,,,J. Tatum,1628369.0,2.0,,,
72,PT06M22.00S,2020-12-19T01:17:41.2Z,1,REGULAR,2pt,Jump Shot,[],202681,16.507884362680684,28.010110294117645,1610612751,11,16,2020-12-19T01:17:48Z,710000,110.0,103.0,1,left,K. Irving 15' pullup Jump Shot (4 PTS),[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,,,,15.04,Made,,,,,4.0,,,,,,,,,,,
73,PT06M15.00S,2020-12-19T01:17:52.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,11,16,2020-12-19T01:17:53Z,720000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M15.00S,2020-12-19T01:20:32.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,11,16,2020-12-19T01:21:01Z,730000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M15.00S,2020-12-19T01:20:32.2Z,1,REGULAR,substitution,out,[],1629750,,,1610612738,11,16,2020-12-19T01:21:01Z,740000,,,0,,SUB out: J. Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M15.00S,2020-12-19T01:20:32.2Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,11,16,2020-12-19T01:21:01Z,750000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M15.00S,2020-12-19T01:20:32.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,11,16,2020-12-19T01:21:01Z,760000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M15.00S,2020-12-19T01:20:32.2Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,11,16,2020-12-19T01:21:01Z,770000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M15.00S,2020-12-19T01:20:32.2Z,1,REGULAR,substitution,in,[],201952,,,1610612738,11,16,2020-12-19T01:21:01Z,780000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M10.00S,2020-12-19T01:21:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.9862023653088,54.48069852941176,1610612738,11,16,2020-12-19T01:21:29Z,790000,22.0,13.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 203925]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,2.61,Missed,,,,,,,,,,,,,,Harris,203925.0,
