actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
60,PT06M54.00S,2021-05-02T23:46:52.3Z,1,REGULAR,block,,[],202684,,,1610612757,7,16,2021-05-02T23:46:54Z,600000,,,0,,T. Thompson BLOCK (1 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M52.00S,2021-05-02T23:46:54.3Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,7,16,2021-05-02T23:47:04Z,610000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,
62,PT06M47.00S,2021-05-02T23:47:00.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,92.06636005256242,46.14736519607843,1610612738,9,16,2021-05-02T23:47:10Z,620000,-19.0,22.0,1,right,J. Tatum driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.93,Made,2.0,,,,,,,,,,,,,,,,,,
63,PT06M28.00S,2021-05-02T23:47:18.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,6.258212877792378,55.4610906862745,1610612757,9,16,2021-05-02T23:47:47Z,630000,-27.0,6.0,1,left,MISS J. Nurkic driving Hook - blocked,"[203994, 202684]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,2.8,Missed,,,,,,,,,,,,Thompson,202684.0,,,,,,
125,PT06M28.00S,2021-05-02T23:47:18.8Z,1,REGULAR,block,,[],202684,,,1610612757,9,16,2021-05-02T23:58:22Z,635000,,,0,,T. Thompson BLOCK (2 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M26.00S,2021-05-02T23:47:20.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,16,2021-05-02T23:47:47Z,640000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,
65,PT06M24.00S,2021-05-02T23:47:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,95.22010512483574,63.549325980392155,1610612738,9,16,2021-05-02T23:47:57Z,650000,68.0,-8.0,1,right,MISS J. Brown 6' running Layup - blocked,"[1627759, 203081]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,6.81,Missed,,,,,,,,,,,,Lillard,203081.0,,,,,,
66,PT06M24.00S,2021-05-02T23:47:28.3Z,1,REGULAR,block,,[],203081,,,1610612738,9,16,2021-05-02T23:47:30Z,660000,,,0,,D. Lillard BLOCK (1 BLK),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M24.00S,2021-05-02T23:47:28.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,9,16,2021-05-02T23:47:57Z,670000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,
68,PT06M24.00S,2021-05-02T23:47:38.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,9,16,2021-05-02T23:47:38Z,680000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
