actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
72,PT05M22.00S,2021-06-01T23:58:21.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,15,16,2021-06-01T23:58:37Z,720000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,
73,PT05M22.00S,2021-06-01T23:58:26.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,15,16,2021-06-01T23:58:26Z,730000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M22.00S,2021-06-01T23:58:27.1Z,1,REGULAR,substitution,out,[],201935,,,1610612738,15,16,2021-06-01T23:58:35Z,740000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M22.00S,2021-06-01T23:58:27.1Z,1,REGULAR,substitution,out,[],203095,,,1610612738,15,16,2021-06-01T23:58:35Z,750000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M22.00S,2021-06-01T23:58:27.1Z,1,REGULAR,substitution,in,[],204020,,,1610612738,15,16,2021-06-01T23:58:35Z,760000,,,0,,SUB in: T. Johnson,[204020],1610612751.0,BKN,,,,Johnson,T. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M22.00S,2021-06-01T23:58:27.1Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,15,16,2021-06-01T23:58:35Z,770000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M20.00S,2021-06-01T23:58:42.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,84.31340341655716,3.7454044117647056,1610612738,15,16,2021-06-01T23:58:47Z,780000,-231.0,95.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.0,Missed,,,,,,,,,,,,,,,,,,,
79,PT05M15.00S,2021-06-01T23:58:47.7Z,1,REGULAR,rebound,defensive,[],204020,,,1610612751,15,16,2021-06-01T23:58:47Z,790000,,,0,,T. Johnson REBOUND (Off:0 Def:1),[204020],1610612751.0,BKN,,,,Johnson,T. Johnson,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
80,PT05M11.00S,2021-06-01T23:58:51.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202681,4.812746386333772,46.88265931372549,1610612751,17,16,2021-06-01T23:59:05Z,800000,16.0,-7.0,1,left,K. Irving running Layup (4 PTS),[202681],1610612751.0,BKN,running,,,Irving,K. Irving,,,,,1.72,Made,,,,,,,4.0,,,,,,,,,,,,
81,PT04M55.00S,2021-06-01T23:59:06.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.82982917214193,20.412071078431374,1610612738,17,19,2021-06-01T23:59:17Z,810000,-148.0,212.0,1,right,J. Tatum 25' 3PT  (5 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.87,Made,,,,,,,5.0,M. Smart,203935.0,1.0,,,,,,,,,
