actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
59,PT06M36.00S,2021-02-21T20:51:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626195,7.440867279894875,56.44148284313726,1610612740,16,12,2021-02-21T20:51:31Z,570000,-32.0,17.0,1,left,MISS W. Hernangomez Layup,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,3.66,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M36.00S,2021-02-21T20:51:25.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,16,12,2021-02-21T20:51:31Z,590000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,
62,PT06M36.00S,2021-02-21T20:51:30.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,16,12,2021-02-21T20:51:30Z,600000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M30.00S,2021-02-21T20:51:47.6Z,1,REGULAR,foul,personal,[],1630174,,,1610612740,16,12,2021-02-21T20:52:02Z,610000,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 1626195]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,2148.0,1.0,0.0,Hernangomez,1626195.0,,,
65,PT06M19.00S,2021-02-21T20:52:06.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628366,25.57490144546649,84.1375612745098,1610612740,19,12,2021-02-21T20:52:10Z,630000,-171.0,188.0,1,left,L. Ball 25' 3PT  (8 PTS) (Z. Williamson 1 AST),"[1628366, 1629627]",1610612740.0,NOP,,,,Ball,L. Ball,,,,,25.39,Made,8.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,,,,,,
67,PT06M05.00S,2021-02-21T20:52:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,94.43166885676742,51.78462009803921,1610612738,19,14,2021-02-21T20:52:26Z,650000,9.0,0.0,1,right,T. Thompson driving Layup (2 PTS) (K. Walker 2 AST),"[202684, 202689]",1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,0.89,Made,2.0,K. Walker,202689.0,2.0,,,,,,,,,,,,,,,
68,PT05M54.00S,2021-02-21T20:52:32.6Z,1,REGULAR,turnover,lost ball,[],1628366,,,1610612740,19,14,2021-02-21T20:52:43Z,660000,,,0,,L. Ball lost ball TURNOVER (1 TO),"[1628366, 1630174]",1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,,,,,,,,1.0,Nesmith,1630174.0,,,,,,,,
69,PT05M54.00S,2021-02-21T20:52:32.6Z,1,REGULAR,steal,,[],1630174,,,1610612738,19,14,2021-02-21T20:52:35Z,670000,,,0,,A. Nesmith STEAL (1 STL),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M48.00S,2021-02-21T20:52:38.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,92.06636005256242,3.990502450980392,1610612738,19,17,2021-02-21T20:52:45Z,680000,-230.0,22.0,1,right,J. Brown 3PT  (9 PTS) (K. Walker 3 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.11,Made,9.0,K. Walker,202689.0,3.0,,,,,,,,,,,,,,,
72,PT05M25.00S,2021-02-21T20:53:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626195,15.456636005256241,38.549325980392155,1610612740,19,17,2021-02-21T20:53:04Z,700000,57.0,93.0,1,left,MISS W. Hernangomez 10' floating Shot,[1626195],1610612740.0,NOP,floating,,,Hernangomez,W. Hernangomez,,,,,10.91,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M23.00S,2021-02-21T20:53:02.8Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,19,17,2021-02-21T20:53:04Z,710000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,
74,PT05M19.00S,2021-02-21T20:53:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,94.03745072273325,50.80422794117647,1610612738,19,19,2021-02-21T20:53:22Z,720000,4.0,4.0,1,right,K. Walker driving Layup (4 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,0.53,Made,4.0,,,,,,,,,,,,,,,,,,
75,PT05M19.00S,2021-02-21T20:53:13.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,19,19,2021-02-21T20:53:13Z,730000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
