actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
69,PT05M55.00S,2021-03-18T00:20:22.6Z,1,REGULAR,foul,personal,[],1629636,,,1610612738,13,8,2021-03-18T00:20:34Z,690000,,,0,,D. Garland personal FOUL (1 PF),"[1629636, 1627759]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,1627529.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,,
71,PT05M55.00S,2021-03-18T00:20:37.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,8,2021-03-18T00:20:37Z,710000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M55.00S,2021-03-18T00:22:43.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,13,8,2021-03-18T00:23:23Z,720000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M55.00S,2021-03-18T00:22:43.3Z,1,REGULAR,substitution,out,[],203935,,,1610612738,13,8,2021-03-18T00:23:23Z,730000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M55.00S,2021-03-18T00:22:43.3Z,1,REGULAR,substitution,out,[],1628400,,,1610612738,13,8,2021-03-18T00:23:23Z,740000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2021-03-18T00:22:43.3Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,13,8,2021-03-18T00:23:23Z,750000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2021-03-18T00:22:43.3Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,13,8,2021-03-18T00:23:23Z,760000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2021-03-18T00:22:43.3Z,1,REGULAR,substitution,in,[],201952,,,1610612738,13,8,2021-03-18T00:23:23Z,770000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M44.00S,2021-03-18T00:23:31.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,95.6143232588699,96.39246323529412,1610612738,13,8,2021-03-18T00:23:35Z,780000,232.0,-11.0,1,right,MISS P. Pritchard 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,23.23,Missed,,,,,,,,,,,,,,
79,PT05M41.00S,2021-03-18T00:23:33.9Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612739,13,8,2021-03-18T00:23:34Z,790000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:4),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,78.0,4.0,4.0,0.0,,,,,,,,,,
