actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
212,PT07M09.00S,2023-05-10T00:16:36.6Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,34,42,2023-05-10T00:17:03Z,2120000,False,,,0,,MISS J. Tatum Free Throw 2 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
213,PT07M07.00S,2023-05-10T00:16:38.6Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,34,42,2023-05-10T00:17:03Z,2130000,False,,,0,,J. Embiid REBOUND (Off:2 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,212.0,4.0,2.0,2.0,,,,,,,,,,,,,,
214,PT06M55.00S,2023-05-10T00:17:13.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,10.64388961892247,40.04672181372549,1610612755,34,42,2023-05-10T00:17:19Z,2140000,False,50.0,48.0,1,left,MISS T. Maxey 6' driving Layup,[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,6.89,Missed,,,,,,,,,,,,,,,,,,
215,PT06M52.00S,2023-05-10T00:17:16.1Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,34,42,2023-05-10T00:17:19Z,2150000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,214.0,3.0,3.0,0.0,,,,,,,,,,,,,,
216,PT06M50.00S,2023-05-10T00:17:24.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",200782,,,1610612738,34,42,2023-05-10T00:17:33Z,2160000,False,,,0,,P. Tucker personal FOUL (2 PF) (Smart 2 FT),"[200782, 203935]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,16-24 Right Center,,,,,,,,201639.0,2.0,0.0,Smart,203935.0,,,,,,,,
218,PT06M50.00S,2023-05-10T00:18:00.3Z,2,REGULAR,foul,technical,"['inpenalty', '1freethrow']",2515,,,1610612738,34,42,2023-05-10T00:37:35Z,2180000,False,,,0,,TEAM foul technical,[2515],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,1830.0,,,,,,,,,,,,
219,PT06M50.00S,2023-05-10T00:18:15.0Z,2,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,35,42,2023-05-10T00:18:15Z,2190000,False,,,0,,J. Tatum technical Free Throw 1 of 1 (4 PTS),[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
220,PT06M50.00S,2023-05-10T00:18:41.7Z,2,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,36,42,2023-05-10T00:18:41Z,2200000,False,,,0,,M. Smart Free Throw 1 of 2 (8 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
221,PT06M50.00S,2023-05-10T00:18:42.5Z,2,REGULAR,substitution,out,[],1627759,,,1610612738,36,42,2023-05-10T00:18:50Z,2210000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M50.00S,2023-05-10T00:18:42.5Z,2,REGULAR,substitution,in,[],1629684,,,1610612738,36,42,2023-05-10T00:18:50Z,2220000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M50.00S,2023-05-10T00:19:05.8Z,2,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,37,42,2023-05-10T00:19:05Z,2230000,False,,,0,,M. Smart Free Throw 2 of 2 (9 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
