actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
460,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,in,['startperiod'],201143,,,1610612738,79,88,2023-05-24T02:20:55Z,4520000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
461,PT12M00.00S,2023-05-24T02:20:06.1Z,4,REGULAR,substitution,in,['startperiod'],1628401,,,1610612738,79,88,2023-05-24T02:20:55Z,4530000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
462,PT12M00.00S,2023-05-24T02:21:05.6Z,4,REGULAR,period,start,[],0,,,1610612748,79,88,2023-05-24T02:21:05Z,4540000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,PT11M39.00S,2023-05-24T02:21:25.4Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,19.136005256241788,50.0,1610612748,79,88,2023-05-24T02:21:30Z,4550000,False,0.0,127.0,1,left,MISS K. Lowry 12' fadeaway Shot,[200768],1610612748.0,MIA,fadeaway,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,12.74,Missed,,,,,,,,,,,,,,,,,,
464,PT11M37.00S,2023-05-24T02:21:27.4Z,4,REGULAR,rebound,defensive,[],201143,,,1610612738,79,88,2023-05-24T02:21:30Z,4560000,False,,,0,,A. Horford REBOUND (Off:1 Def:6),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,463.0,7.0,6.0,1.0,,,,,,,,,,,,,,
465,PT11M20.00S,2023-05-24T02:21:44.6Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,89.70105124835742,52.450980392156865,1610612738,79,88,2023-05-24T02:21:49Z,4570000,False,12.0,44.0,1,right,MISS J. Brown driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,4.6,Missed,,,,,,,,,,,,,,,,,,
466,PT11M18.00S,2023-05-24T02:21:46.6Z,4,REGULAR,rebound,defensive,[],1628997,,,1610612748,79,88,2023-05-24T02:21:49Z,4580000,False,,,0,,C. Martin REBOUND (Off:0 Def:3),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,465.0,3.0,3.0,0.0,,,,,,,,,,,,,,
467,PT11M03.00S,2023-05-24T02:22:01.5Z,4,REGULAR,3pt,Jump Shot,[],1629130,34.510512483574246,46.568627450980394,1610612748,79,88,2023-05-24T02:22:05Z,4590000,False,17.0,272.0,1,left,MISS D. Robinson 27' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,27.24,Missed,,,,,,,,,,,,,,,,,,
468,PT11M01.00S,2023-05-24T02:22:03.5Z,4,REGULAR,rebound,defensive,[],1629684,,,1610612738,79,88,2023-05-24T02:22:05Z,4600000,False,,,0,,G. Williams REBOUND (Off:2 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,,,467.0,4.0,2.0,2.0,,,,,,,,,,,,,,
469,PT10M47.00S,2023-05-24T02:22:17.9Z,4,REGULAR,3pt,Jump Shot,[],1627759,90.09526938239159,2.941176470588235,1610612738,79,88,2023-05-24T02:22:23Z,4610000,False,-235.0,41.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,23.88,Missed,,,,,,,,,,,,,,,,,,
470,PT10M43.00S,2023-05-24T02:22:21.9Z,4,REGULAR,rebound,defensive,[],1628389,,,1610612748,79,88,2023-05-24T02:22:23Z,4620000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,,469.0,4.0,3.0,1.0,,,,,,,,,,,,,,
471,PT10M37.00S,2023-05-24T02:22:30.9Z,4,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612748,79,88,2023-05-24T02:22:38Z,4630000,False,,,0,,D. White shooting personal FOUL (3 PF) (Vincent 2 FT),"[1628401, 1629216]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2004.0,3.0,0.0,Vincent,1629216.0,,,,,
473,PT10M37.00S,2023-05-24T02:23:01.0Z,4,REGULAR,freethrow,1 of 2,[],1629216,,,1610612748,80,88,2023-05-24T02:23:01Z,4650000,False,,,0,,G. Vincent Free Throw 1 of 2 (14 PTS),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,Made,,,,,14.0,,,,,,,,,,,,,
474,PT10M37.00S,2023-05-24T02:23:18.4Z,4,REGULAR,freethrow,2 of 2,[],1629216,,,1610612748,81,88,2023-05-24T02:23:18Z,4660000,False,,,0,,G. Vincent Free Throw 2 of 2 (15 PTS),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,Made,,,,,15.0,,,,,,,,,,,,,
