actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
528,PT01M25.00S,2023-05-26T02:39:09.0Z,4,REGULAR,rebound,defensive,[],1629130,,,1610612748,107,95,2023-05-26T02:39:16Z,5180000,False,,,0,,D. Robinson REBOUND (Off:1 Def:3),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,527.0,4.0,3.0,1.0,,,,,,,
529,PT01M14.00S,2023-05-26T02:39:21.2Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,92.32917214191852,53.18627450980392,1610612748,107,97,2023-05-26T02:41:54Z,5190000,False,16.0,20.0,1,right,D. Robinson driving finger roll Layup (18 PTS),[1629130],1610612748.0,MIA,driving finger roll,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,2.52,Made,18.0,,,,,,,,,,,,,,
530,PT00M51.00S,2023-05-26T02:39:48.1Z,4,REGULAR,3pt,Jump Shot,[],1630573,33.327858081471746,68.62745098039215,1610612738,110,97,2023-05-26T02:39:55Z,5200000,False,-93.0,261.0,1,left,S. Hauser 27' 3PT  (3 PTS) (P. Pritchard 1 AST),"[1630573, 1630202]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,27.69,Made,3.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,
532,PT00M43.50S,2023-05-26T02:39:59.4Z,4,REGULAR,3pt,Jump Shot,[],200768,73.14388961892247,82.35294117647058,1610612748,110,97,2023-05-26T02:40:06Z,5220000,False,162.0,200.0,1,right,MISS K. Lowry 25' step back 3PT,[200768],1610612748.0,MIA,step back,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,,,,25.72,Missed,,,,,,,,,,,,,,,
533,PT00M42.50S,2023-05-26T02:40:00.4Z,4,REGULAR,rebound,defensive,[],1630202,,,1610612738,110,97,2023-05-26T02:40:06Z,5230000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,532.0,1.0,1.0,0.0,,,,,,,
534,PT00M17.40S,2023-05-26T02:40:32.3Z,4,REGULAR,turnover,shot clock,['team'],0,,,1610612738,110,97,2023-05-26T02:40:40Z,5240000,False,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,2714.0,,,,
536,PT00M03.90S,2023-05-26T02:41:05.7Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1630209,71.04139290407359,79.90196078431373,1610612748,110,97,2023-05-26T02:41:11Z,5260000,False,150.0,220.0,1,right,MISS O. Yurtseven 26' 3PT,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,Above the Break 3,24+ Right Center,,,,26.57,Missed,,,,,,,,,,,,,,,
537,PT00M03.50S,2023-05-26T02:41:09.1Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612738,110,97,2023-05-26T02:41:09Z,5270000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,536.0,,,,,,,,,,
539,PT00M00.00S,2023-05-26T02:41:20.1Z,4,REGULAR,period,end,[],0,,,1610612738,110,97,2023-05-26T02:41:20Z,5290000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,PT00M00.00S,2023-05-26T02:41:24.2Z,4,REGULAR,game,end,[],0,,,0,110,97,2023-05-26T02:41:24Z,5300000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
